xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,3.82E-01,9.54E-02,9.54E-02
5.00E+00,1.00E+01,5.96E-01,1.19E-01,1.19E-01
1.00E+01,1.50E+01,1.07E+00,1.60E-01,1.60E-01
1.50E+01,2.00E+01,1.12E+00,1.63E-01,1.63E-01
2.00E+01,2.50E+01,2.00E+00,2.19E-01,2.19E-01
2.50E+01,3.00E+01,3.86E+00,3.04E-01,3.04E-01
3.00E+01,3.50E+01,9.13E+00,4.67E-01,4.67E-01
3.50E+01,4.00E+01,1.36E+02,1.80E+00,1.80E+00
4.00E+01,4.50E+01,9.00E+02,4.63E+00,4.63E+00
4.50E+01,5.00E+01,1.73E+03,6.42E+00,6.42E+00
5.00E+01,5.50E+01,2.49E+03,7.71E+00,7.71E+00
5.50E+01,6.00E+01,3.17E+03,8.69E+00,8.69E+00
6.00E+01,6.50E+01,3.78E+03,9.49E+00,9.49E+00
6.50E+01,7.00E+01,4.21E+03,1.00E+01,1.00E+01
7.00E+01,7.50E+01,3.83E+03,9.56E+00,9.56E+00
7.50E+01,8.00E+01,2.21E+03,7.26E+00,7.26E+00
8.00E+01,8.50E+01,0.00E+00,0.00E+00,0.00E+00
8.50E+01,9.00E+01,0.00E+00,0.00E+00,0.00E+00
9.00E+01,9.50E+01,0.00E+00,0.00E+00,0.00E+00
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
