xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.88E+04,1.53E+02,1.53E+02
5.00E+00,1.00E+01,3.09E+03,3.86E+01,3.86E+01
1.00E+01,1.50E+01,1.09E+03,2.29E+01,2.29E+01
1.50E+01,2.00E+01,5.49E+02,1.63E+01,1.63E+01
2.00E+01,2.50E+01,3.32E+02,1.27E+01,1.27E+01
2.50E+01,3.00E+01,2.16E+02,1.02E+01,1.02E+01
3.00E+01,3.50E+01,1.56E+02,8.67E+00,8.67E+00
3.50E+01,4.00E+01,1.15E+02,7.46E+00,7.46E+00
4.00E+01,4.50E+01,8.73E+01,6.49E+00,6.49E+00
4.50E+01,5.00E+01,7.57E+01,6.04E+00,6.04E+00
5.00E+01,5.50E+01,4.29E+01,4.55E+00,4.55E+00
5.50E+01,6.00E+01,3.76E+01,4.26E+00,4.26E+00
6.00E+01,6.50E+01,3.14E+01,3.89E+00,3.89E+00
6.50E+01,7.00E+01,2.85E+01,3.71E+00,3.71E+00
7.00E+01,7.50E+01,1.93E+01,3.05E+00,3.05E+00
7.50E+01,8.00E+01,1.45E+00,8.36E-01,8.36E-01
8.00E+01,8.50E+01,0.00E+00,0.00E+00,0.00E+00
8.50E+01,9.00E+01,0.00E+00,0.00E+00,0.00E+00
9.00E+01,9.50E+01,0.00E+00,0.00E+00,0.00E+00
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
