xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,9.86E+00,1.42E+00,1.42E+00
5.00E+00,1.00E+01,3.64E+01,2.73E+00,2.73E+00
1.00E+01,1.50E+01,8.71E+01,4.23E+00,4.23E+00
1.50E+01,2.00E+01,7.71E+02,1.26E+01,1.26E+01
2.00E+01,2.50E+01,2.10E+03,2.08E+01,2.08E+01
2.50E+01,3.00E+01,3.28E+03,2.59E+01,2.59E+01
3.00E+01,3.50E+01,4.32E+03,2.98E+01,2.98E+01
3.50E+01,4.00E+01,5.38E+03,3.32E+01,3.32E+01
4.00E+01,4.50E+01,6.43E+03,3.63E+01,3.63E+01
4.50E+01,5.00E+01,7.99E+03,4.05E+01,4.05E+01
5.00E+01,5.50E+01,1.03E+04,4.60E+01,4.60E+01
5.50E+01,6.00E+01,1.40E+04,5.36E+01,5.36E+01
6.00E+01,6.50E+01,2.01E+04,6.42E+01,6.42E+01
6.50E+01,7.00E+01,2.97E+04,7.81E+01,7.81E+01
7.00E+01,7.50E+01,3.29E+04,8.22E+01,8.22E+01
7.50E+01,8.00E+01,2.67E+04,7.40E+01,7.40E+01
8.00E+01,8.50E+01,1.77E+04,6.04E+01,6.04E+01
8.50E+01,9.00E+01,7.89E+03,4.03E+01,4.03E+01
9.00E+01,9.50E+01,4.38E+02,9.49E+00,9.49E+00
9.50E+01,1.00E+02,3.25E+01,2.58E+00,2.58E+00
1.00E+02,1.05E+02,4.11E-01,2.90E-01,2.90E-01
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
