xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,5.45E+00,1.73E-01,1.73E-01
5.00E+00,1.00E+01,1.72E+01,3.06E-01,3.06E-01
1.00E+01,1.50E+01,3.23E+01,4.20E-01,4.20E-01
1.50E+01,2.00E+01,6.49E+01,5.96E-01,5.96E-01
2.00E+01,2.50E+01,1.01E+02,7.43E-01,7.43E-01
2.50E+01,3.00E+01,1.36E+02,8.61E-01,8.61E-01
3.00E+01,3.50E+01,1.73E+02,9.74E-01,9.74E-01
3.50E+01,4.00E+01,2.14E+02,1.08E+00,1.08E+00
4.00E+01,4.50E+01,2.60E+02,1.19E+00,1.19E+00
4.50E+01,5.00E+01,3.04E+02,1.29E+00,1.29E+00
5.00E+01,5.50E+01,3.47E+02,1.38E+00,1.38E+00
5.50E+01,6.00E+01,3.99E+02,1.48E+00,1.48E+00
6.00E+01,6.50E+01,4.59E+02,1.58E+00,1.58E+00
6.50E+01,7.00E+01,5.42E+02,1.72E+00,1.72E+00
7.00E+01,7.50E+01,5.96E+02,1.81E+00,1.81E+00
7.50E+01,8.00E+01,5.61E+02,1.75E+00,1.75E+00
8.00E+01,8.50E+01,4.16E+02,1.51E+00,1.51E+00
8.50E+01,9.00E+01,2.91E+02,1.26E+00,1.26E+00
9.00E+01,9.50E+01,1.97E+02,1.04E+00,1.04E+00
9.50E+01,1.00E+02,1.15E+02,7.93E-01,7.93E-01
1.00E+02,1.05E+02,4.66E+01,5.04E-01,5.04E-01
1.05E+02,1.10E+02,1.29E+01,2.65E-01,2.65E-01
1.10E+02,1.15E+02,2.30E+00,1.12E-01,1.12E-01
1.15E+02,1.20E+02,1.69E-01,3.04E-02,3.04E-02
