xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.35E+01,8.29E-01,8.29E-01
5.00E+00,1.00E+01,1.27E+02,1.42E+00,1.42E+00
1.00E+01,1.50E+01,2.12E+02,1.83E+00,1.83E+00
1.50E+01,2.00E+01,2.96E+02,2.16E+00,2.16E+00
2.00E+01,2.50E+01,3.87E+02,2.47E+00,2.47E+00
2.50E+01,3.00E+01,4.75E+02,2.74E+00,2.74E+00
3.00E+01,3.50E+01,5.76E+02,3.02E+00,3.02E+00
3.50E+01,4.00E+01,6.71E+02,3.25E+00,3.25E+00
4.00E+01,4.50E+01,7.94E+02,3.54E+00,3.54E+00
4.50E+01,5.00E+01,9.26E+02,3.82E+00,3.82E+00
5.00E+01,5.50E+01,1.09E+03,4.15E+00,4.15E+00
5.50E+01,6.00E+01,1.31E+03,4.54E+00,4.54E+00
6.00E+01,6.50E+01,1.61E+03,5.04E+00,5.04E+00
6.50E+01,7.00E+01,2.19E+03,5.88E+00,5.88E+00
7.00E+01,7.50E+01,3.75E+03,7.70E+00,7.70E+00
7.50E+01,8.00E+01,3.95E+02,2.50E+00,2.50E+00
8.00E+01,8.50E+01,3.66E+01,7.60E-01,7.60E-01
8.50E+01,9.00E+01,8.62E+00,3.69E-01,3.69E-01
9.00E+01,9.50E+01,5.37E-01,9.21E-02,9.21E-02
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
