xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,2.89E+01,1.27E+00,1.27E+00
5.00E+00,1.00E+01,3.55E+01,1.41E+00,1.41E+00
1.00E+01,1.50E+01,3.23E+01,1.34E+00,1.34E+00
1.50E+01,2.00E+01,3.35E+01,1.37E+00,1.37E+00
2.00E+01,2.50E+01,3.50E+01,1.39E+00,1.39E+00
2.50E+01,3.00E+01,3.26E+01,1.35E+00,1.35E+00
3.00E+01,3.50E+01,3.08E+01,1.31E+00,1.31E+00
3.50E+01,4.00E+01,2.55E+01,1.19E+00,1.19E+00
4.00E+01,4.50E+01,2.05E+01,1.07E+00,1.07E+00
4.50E+01,5.00E+01,1.72E+01,9.79E-01,9.79E-01
5.00E+01,5.50E+01,1.45E+01,8.98E-01,8.98E-01
5.50E+01,6.00E+01,1.32E+01,8.58E-01,8.58E-01
6.00E+01,6.50E+01,4.56E+00,5.04E-01,5.04E-01
6.50E+01,7.00E+01,2.34E+00,3.60E-01,3.60E-01
7.00E+01,7.50E+01,2.11E+00,3.43E-01,3.43E-01
7.50E+01,8.00E+01,1.11E-01,7.87E-02,7.87E-02
8.00E+01,8.50E+01,1.11E-01,7.87E-02,7.87E-02
8.50E+01,9.00E+01,0.00E+00,0.00E+00,0.00E+00
9.00E+01,9.50E+01,0.00E+00,0.00E+00,0.00E+00
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
