xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,5.01E+01,1.04E+00,1.04E+00
5.00E+00,1.00E+01,1.69E+02,1.90E+00,1.90E+00
1.00E+01,1.50E+01,3.25E+02,2.64E+00,2.64E+00
1.50E+01,2.00E+01,4.86E+02,3.23E+00,3.23E+00
2.00E+01,2.50E+01,6.34E+02,3.69E+00,3.69E+00
2.50E+01,3.00E+01,7.87E+02,4.10E+00,4.10E+00
3.00E+01,3.50E+01,9.36E+02,4.48E+00,4.48E+00
3.50E+01,4.00E+01,1.09E+03,4.82E+00,4.82E+00
4.00E+01,4.50E+01,1.25E+03,5.18E+00,5.18E+00
4.50E+01,5.00E+01,1.49E+03,5.64E+00,5.64E+00
5.00E+01,5.50E+01,1.66E+03,5.96E+00,5.96E+00
5.50E+01,6.00E+01,1.85E+03,6.29E+00,6.29E+00
6.00E+01,6.50E+01,2.15E+03,6.78E+00,6.78E+00
6.50E+01,7.00E+01,2.73E+03,7.64E+00,7.64E+00
7.00E+01,7.50E+01,4.42E+03,9.72E+00,9.72E+00
7.50E+01,8.00E+01,4.33E+02,3.04E+00,3.04E+00
8.00E+01,8.50E+01,4.86E+01,1.02E+00,1.02E+00
8.50E+01,9.00E+01,2.01E+01,6.57E-01,6.57E-01
9.00E+01,9.50E+01,1.10E+01,4.85E-01,4.85E-01
9.50E+01,1.00E+02,5.31E+00,3.37E-01,3.37E-01
1.00E+02,1.05E+02,2.57E+00,2.34E-01,2.34E-01
1.05E+02,1.10E+02,5.99E-01,1.13E-01,1.13E-01
1.10E+02,1.15E+02,2.14E-02,2.14E-02,2.14E-02
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
