xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,2.77E+03,4.58E+00,4.58E+00
5.00E+00,1.00E+01,1.73E+03,3.62E+00,3.62E+00
1.00E+01,1.50E+01,9.48E+02,2.68E+00,2.68E+00
1.50E+01,2.00E+01,5.90E+02,2.11E+00,2.11E+00
2.00E+01,2.50E+01,4.04E+02,1.75E+00,1.75E+00
2.50E+01,3.00E+01,2.91E+02,1.48E+00,1.48E+00
3.00E+01,3.50E+01,2.16E+02,1.28E+00,1.28E+00
3.50E+01,4.00E+01,1.63E+02,1.11E+00,1.11E+00
4.00E+01,4.50E+01,1.26E+02,9.78E-01,9.78E-01
4.50E+01,5.00E+01,9.89E+01,8.66E-01,8.66E-01
5.00E+01,5.50E+01,7.23E+01,7.40E-01,7.40E-01
5.50E+01,6.00E+01,4.39E+01,5.77E-01,5.77E-01
6.00E+01,6.50E+01,3.15E+01,4.88E-01,4.88E-01
6.50E+01,7.00E+01,2.26E+01,4.14E-01,4.14E-01
7.00E+01,7.50E+01,1.35E+01,3.19E-01,3.19E-01
7.50E+01,8.00E+01,7.06E+00,2.31E-01,2.31E-01
8.00E+01,8.50E+01,5.25E+00,1.99E-01,1.99E-01
8.50E+01,9.00E+01,3.85E+00,1.71E-01,1.71E-01
9.00E+01,9.50E+01,3.54E+00,1.64E-01,1.64E-01
9.50E+01,1.00E+02,2.29E+00,1.32E-01,1.32E-01
1.00E+02,1.05E+02,1.39E+00,1.02E-01,1.02E-01
1.05E+02,1.10E+02,5.68E-01,6.56E-02,6.56E-02
1.10E+02,1.15E+02,2.04E-01,3.94E-02,3.94E-02
1.15E+02,1.20E+02,7.57E-03,7.57E-03,7.57E-03
