xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,2.15E-01,7.15E-02,7.15E-02
5.00E+00,1.00E+01,1.12E+00,1.63E-01,1.63E-01
1.00E+01,1.50E+01,2.29E+00,2.34E-01,2.34E-01
1.50E+01,2.00E+01,3.67E+00,2.96E-01,2.96E-01
2.00E+01,2.50E+01,3.89E+00,3.04E-01,3.04E-01
2.50E+01,3.00E+01,5.51E+00,3.62E-01,3.62E-01
3.00E+01,3.50E+01,6.70E+00,4.00E-01,4.00E-01
3.50E+01,4.00E+01,8.25E+00,4.44E-01,4.44E-01
4.00E+01,4.50E+01,9.61E+00,4.79E-01,4.79E-01
4.50E+01,5.00E+01,1.29E+01,5.55E-01,5.55E-01
5.00E+01,5.50E+01,1.57E+01,6.13E-01,6.13E-01
5.50E+01,6.00E+01,1.96E+01,6.83E-01,6.83E-01
6.00E+01,6.50E+01,2.36E+01,7.50E-01,7.50E-01
6.50E+01,7.00E+01,2.80E+01,8.18E-01,8.18E-01
7.00E+01,7.50E+01,3.35E+01,8.94E-01,8.94E-01
7.50E+01,8.00E+01,4.26E+01,1.01E+00,1.01E+00
8.00E+01,8.50E+01,5.91E+01,1.19E+00,1.19E+00
8.50E+01,9.00E+01,7.97E+01,1.38E+00,1.38E+00
9.00E+01,9.50E+01,1.18E+02,1.68E+00,1.68E+00
9.50E+01,1.00E+02,2.07E+02,2.22E+00,2.22E+00
1.00E+02,1.05E+02,4.72E+02,3.35E+00,3.35E+00
1.05E+02,1.10E+02,2.15E+03,7.17E+00,7.17E+00
1.10E+02,1.15E+02,1.76E+04,2.05E+01,2.05E+01
1.15E+02,1.20E+02,2.69E+03,8.01E+00,8.01E+00
