xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.16E+04,1.42E+02,1.42E+02
5.00E+00,1.00E+01,6.21E+03,5.47E+01,5.47E+01
1.00E+01,1.50E+01,2.11E+03,3.19E+01,3.19E+01
1.50E+01,2.00E+01,1.06E+03,2.26E+01,2.26E+01
2.00E+01,2.50E+01,6.72E+02,1.80E+01,1.80E+01
2.50E+01,3.00E+01,4.29E+02,1.44E+01,1.44E+01
3.00E+01,3.50E+01,3.46E+02,1.29E+01,1.29E+01
3.50E+01,4.00E+01,2.54E+02,1.11E+01,1.11E+01
4.00E+01,4.50E+01,2.11E+02,1.01E+01,1.01E+01
4.50E+01,5.00E+01,1.74E+02,9.17E+00,9.17E+00
5.00E+01,5.50E+01,1.48E+02,8.44E+00,8.44E+00
5.50E+01,6.00E+01,1.29E+02,7.88E+00,7.88E+00
6.00E+01,6.50E+01,1.10E+02,7.28E+00,7.28E+00
6.50E+01,7.00E+01,1.05E+02,7.11E+00,7.11E+00
7.00E+01,7.50E+01,9.46E+01,6.75E+00,6.75E+00
7.50E+01,8.00E+01,7.38E+01,5.97E+00,5.97E+00
8.00E+01,8.50E+01,6.46E+01,5.58E+00,5.58E+00
8.50E+01,9.00E+01,5.93E+01,5.35E+00,5.35E+00
9.00E+01,9.50E+01,5.16E+01,4.99E+00,4.99E+00
9.50E+01,1.00E+02,3.96E+01,4.37E+00,4.37E+00
1.00E+02,1.05E+02,3.81E+01,4.29E+00,4.29E+00
1.05E+02,1.10E+02,1.83E+01,2.97E+00,2.97E+00
1.10E+02,1.15E+02,1.78E+01,2.93E+00,2.93E+00
1.15E+02,1.20E+02,2.89E+00,1.18E+00,1.18E+00
