xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.12E+03,2.91E+01,2.91E+01
5.00E+00,1.00E+01,1.30E+04,5.16E+01,5.16E+01
1.00E+01,1.50E+01,2.30E+04,6.87E+01,6.87E+01
1.50E+01,2.00E+01,2.86E+04,7.67E+01,7.67E+01
2.00E+01,2.50E+01,2.51E+04,7.18E+01,7.18E+01
2.50E+01,3.00E+01,2.05E+04,6.48E+01,6.48E+01
3.00E+01,3.50E+01,1.63E+04,5.79E+01,5.79E+01
3.50E+01,4.00E+01,1.26E+04,5.08E+01,5.08E+01
4.00E+01,4.50E+01,9.91E+03,4.51E+01,4.51E+01
4.50E+01,5.00E+01,7.77E+03,4.00E+01,4.00E+01
5.00E+01,5.50E+01,6.16E+03,3.56E+01,3.56E+01
5.50E+01,6.00E+01,4.93E+03,3.18E+01,3.18E+01
6.00E+01,6.50E+01,4.01E+03,2.87E+01,2.87E+01
6.50E+01,7.00E+01,3.32E+03,2.61E+01,2.61E+01
7.00E+01,7.50E+01,2.84E+03,2.41E+01,2.41E+01
7.50E+01,8.00E+01,2.38E+03,2.21E+01,2.21E+01
8.00E+01,8.50E+01,1.98E+03,2.01E+01,2.01E+01
8.50E+01,9.00E+01,1.53E+03,1.77E+01,1.77E+01
9.00E+01,9.50E+01,1.18E+03,1.55E+01,1.55E+01
9.50E+01,1.00E+02,7.01E+02,1.20E+01,1.20E+01
1.00E+02,1.05E+02,2.08E+02,6.54E+00,6.54E+00
1.05E+02,1.10E+02,6.16E-01,3.56E-01,3.56E-01
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
