xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.09E+02,7.72E-01,7.72E-01
5.00E+00,1.00E+01,2.76E+02,1.23E+00,1.23E+00
1.00E+01,1.50E+01,3.95E+02,1.47E+00,1.47E+00
1.50E+01,2.00E+01,5.74E+02,1.77E+00,1.77E+00
2.00E+01,2.50E+01,6.91E+02,1.94E+00,1.94E+00
2.50E+01,3.00E+01,6.41E+02,1.87E+00,1.87E+00
3.00E+01,3.50E+01,5.51E+02,1.74E+00,1.74E+00
3.50E+01,4.00E+01,4.54E+02,1.58E+00,1.58E+00
4.00E+01,4.50E+01,3.72E+02,1.43E+00,1.43E+00
4.50E+01,5.00E+01,2.99E+02,1.28E+00,1.28E+00
5.00E+01,5.50E+01,2.40E+02,1.15E+00,1.15E+00
5.50E+01,6.00E+01,1.90E+02,1.02E+00,1.02E+00
6.00E+01,6.50E+01,1.47E+02,8.96E-01,8.96E-01
6.50E+01,7.00E+01,1.11E+02,7.78E-01,7.78E-01
7.00E+01,7.50E+01,8.21E+01,6.70E-01,6.70E-01
7.50E+01,8.00E+01,5.67E+01,5.57E-01,5.57E-01
8.00E+01,8.50E+01,3.70E+01,4.50E-01,4.50E-01
8.50E+01,9.00E+01,2.35E+01,3.59E-01,3.59E-01
9.00E+01,9.50E+01,1.88E+01,3.21E-01,3.21E-01
9.50E+01,1.00E+02,1.59E+01,2.95E-01,2.95E-01
1.00E+02,1.05E+02,8.01E+00,2.09E-01,2.09E-01
1.05E+02,1.10E+02,1.75E-01,3.09E-02,3.09E-02
1.10E+02,1.15E+02,5.47E-03,5.47E-03,5.47E-03
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
