xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.11E+02,1.32E+00,1.32E+00
5.00E+00,1.00E+01,3.34E+02,2.29E+00,2.29E+00
1.00E+01,1.50E+01,5.60E+02,2.97E+00,2.97E+00
1.50E+01,2.00E+01,7.95E+02,3.54E+00,3.54E+00
2.00E+01,2.50E+01,1.06E+03,4.08E+00,4.08E+00
2.50E+01,3.00E+01,1.37E+03,4.65E+00,4.65E+00
3.00E+01,3.50E+01,1.76E+03,5.28E+00,5.28E+00
3.50E+01,4.00E+01,2.39E+03,6.14E+00,6.14E+00
4.00E+01,4.50E+01,4.24E+03,8.19E+00,8.19E+00
4.50E+01,5.00E+01,2.05E+03,5.70E+00,5.70E+00
5.00E+01,5.50E+01,1.41E+02,1.49E+00,1.49E+00
5.50E+01,6.00E+01,5.11E+01,8.98E-01,8.98E-01
6.00E+01,6.50E+01,1.49E+01,4.85E-01,4.85E-01
6.50E+01,7.00E+01,2.53E-01,6.32E-02,6.32E-02
7.00E+01,7.50E+01,1.26E-01,4.47E-02,4.47E-02
7.50E+01,8.00E+01,9.47E-02,3.87E-02,3.87E-02
8.00E+01,8.50E+01,3.16E-02,2.23E-02,2.23E-02
8.50E+01,9.00E+01,4.74E-02,2.73E-02,2.73E-02
9.00E+01,9.50E+01,1.58E-02,1.58E-02,1.58E-02
9.50E+01,1.00E+02,1.58E-02,1.58E-02,1.58E-02
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
