xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,6.62E+00,6.07E-01,6.07E-01
5.00E+00,1.00E+01,6.73E+00,6.12E-01,6.12E-01
1.00E+01,1.50E+01,9.18E+00,7.14E-01,7.14E-01
1.50E+01,2.00E+01,1.03E+01,7.58E-01,7.58E-01
2.00E+01,2.50E+01,1.11E+01,7.87E-01,7.87E-01
2.50E+01,3.00E+01,1.16E+01,8.04E-01,8.04E-01
3.00E+01,3.50E+01,1.43E+01,8.93E-01,8.93E-01
3.50E+01,4.00E+01,1.46E+01,9.02E-01,9.02E-01
4.00E+01,4.50E+01,1.88E+01,1.02E+00,1.02E+00
4.50E+01,5.00E+01,1.82E+01,1.01E+00,1.01E+00
5.00E+01,5.50E+01,1.57E+01,9.34E-01,9.34E-01
5.50E+01,6.00E+01,2.06E+01,1.07E+00,1.07E+00
6.00E+01,6.50E+01,2.41E+01,1.16E+00,1.16E+00
6.50E+01,7.00E+01,2.43E+01,1.16E+00,1.16E+00
7.00E+01,7.50E+01,2.37E+01,1.15E+00,1.15E+00
7.50E+01,8.00E+01,2.43E+01,1.16E+00,1.16E+00
8.00E+01,8.50E+01,2.40E+01,1.16E+00,1.16E+00
8.50E+01,9.00E+01,1.82E+01,1.01E+00,1.01E+00
9.00E+01,9.50E+01,1.46E+01,9.00E-01,9.00E-01
9.50E+01,1.00E+02,9.40E+00,7.23E-01,7.23E-01
1.00E+02,1.05E+02,5.12E+00,5.33E-01,5.33E-01
1.05E+02,1.10E+02,2.56E+00,3.77E-01,3.77E-01
1.10E+02,1.15E+02,5.01E-01,1.67E-01,1.67E-01
1.15E+02,1.20E+02,1.11E-01,7.87E-02,7.87E-02
