xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.32E+02,1.68E+00,1.68E+00
5.00E+00,1.00E+01,4.80E+02,3.21E+00,3.21E+00
1.00E+01,1.50E+01,8.65E+02,4.30E+00,4.30E+00
1.50E+01,2.00E+01,1.23E+03,5.13E+00,5.13E+00
2.00E+01,2.50E+01,1.56E+03,5.78E+00,5.78E+00
2.50E+01,3.00E+01,1.92E+03,6.41E+00,6.41E+00
3.00E+01,3.50E+01,2.37E+03,7.12E+00,7.12E+00
3.50E+01,4.00E+01,3.08E+03,8.12E+00,8.12E+00
4.00E+01,4.50E+01,5.16E+03,1.05E+01,1.05E+01
4.50E+01,5.00E+01,2.71E+03,7.61E+00,7.61E+00
5.00E+01,5.50E+01,4.02E+02,2.93E+00,2.93E+00
5.50E+01,6.00E+01,2.63E+02,2.37E+00,2.37E+00
6.00E+01,6.50E+01,1.93E+02,2.03E+00,2.03E+00
6.50E+01,7.00E+01,1.28E+02,1.66E+00,1.66E+00
7.00E+01,7.50E+01,4.75E+01,1.01E+00,1.01E+00
7.50E+01,8.00E+01,4.86E+00,3.23E-01,3.23E-01
8.00E+01,8.50E+01,1.09E+00,1.53E-01,1.53E-01
8.50E+01,9.00E+01,3.21E-01,8.29E-02,8.29E-02
9.00E+01,9.50E+01,1.71E-01,6.05E-02,6.05E-02
9.50E+01,1.00E+02,0.00E+00,0.00E+00,0.00E+00
1.00E+02,1.05E+02,2.14E-02,2.14E-02,2.14E-02
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,2.14E-02,2.14E-02,2.14E-02
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
