xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,6.97E+00,2.30E-01,2.30E-01
5.00E+00,1.00E+01,2.20E+01,4.08E-01,4.08E-01
1.00E+01,1.50E+01,3.92E+01,5.45E-01,5.45E-01
1.50E+01,2.00E+01,6.08E+01,6.79E-01,6.79E-01
2.00E+01,2.50E+01,8.40E+01,7.98E-01,7.98E-01
2.50E+01,3.00E+01,1.06E+02,8.98E-01,8.98E-01
3.00E+01,3.50E+01,1.30E+02,9.91E-01,9.91E-01
3.50E+01,4.00E+01,1.59E+02,1.10E+00,1.10E+00
4.00E+01,4.50E+01,1.89E+02,1.20E+00,1.20E+00
4.50E+01,5.00E+01,2.23E+02,1.30E+00,1.30E+00
5.00E+01,5.50E+01,2.50E+02,1.37E+00,1.37E+00
5.50E+01,6.00E+01,2.80E+02,1.46E+00,1.46E+00
6.00E+01,6.50E+01,3.13E+02,1.54E+00,1.54E+00
6.50E+01,7.00E+01,3.40E+02,1.60E+00,1.60E+00
7.00E+01,7.50E+01,3.64E+02,1.66E+00,1.66E+00
7.50E+01,8.00E+01,3.92E+02,1.72E+00,1.72E+00
8.00E+01,8.50E+01,4.21E+02,1.78E+00,1.78E+00
8.50E+01,9.00E+01,4.61E+02,1.87E+00,1.87E+00
9.00E+01,9.50E+01,4.99E+02,1.94E+00,1.94E+00
9.50E+01,1.00E+02,5.51E+02,2.04E+00,2.04E+00
1.00E+02,1.05E+02,6.11E+02,2.15E+00,2.15E+00
1.05E+02,1.10E+02,6.83E+02,2.27E+00,2.27E+00
1.10E+02,1.15E+02,7.75E+02,2.42E+00,2.42E+00
1.15E+02,1.20E+02,5.77E+02,2.09E+00,2.09E+00
