xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,2.15E-01,7.15E-02,7.15E-02
5.00E+00,1.00E+01,1.05E+00,1.58E-01,1.58E-01
1.00E+01,1.50E+01,1.93E+00,2.15E-01,2.15E-01
1.50E+01,2.00E+01,3.22E+00,2.77E-01,2.77E-01
2.00E+01,2.50E+01,4.08E+00,3.12E-01,3.12E-01
2.50E+01,3.00E+01,5.13E+00,3.50E-01,3.50E-01
3.00E+01,3.50E+01,5.77E+00,3.71E-01,3.71E-01
3.50E+01,4.00E+01,7.32E+00,4.18E-01,4.18E-01
4.00E+01,4.50E+01,9.06E+00,4.65E-01,4.65E-01
4.50E+01,5.00E+01,1.13E+01,5.19E-01,5.19E-01
5.00E+01,5.50E+01,1.43E+01,5.85E-01,5.85E-01
5.50E+01,6.00E+01,1.68E+01,6.32E-01,6.32E-01
6.00E+01,6.50E+01,2.11E+01,7.09E-01,7.09E-01
6.50E+01,7.00E+01,2.45E+01,7.65E-01,7.65E-01
7.00E+01,7.50E+01,2.94E+01,8.37E-01,8.37E-01
7.50E+01,8.00E+01,3.47E+01,9.09E-01,9.09E-01
8.00E+01,8.50E+01,4.61E+01,1.05E+00,1.05E+00
8.50E+01,9.00E+01,5.93E+01,1.19E+00,1.19E+00
9.00E+01,9.50E+01,8.33E+01,1.41E+00,1.41E+00
9.50E+01,1.00E+02,1.22E+02,1.70E+00,1.70E+00
1.00E+02,1.05E+02,2.06E+02,2.21E+00,2.21E+00
1.05E+02,1.10E+02,4.61E+02,3.32E+00,3.32E+00
1.10E+02,1.15E+02,2.07E+03,7.03E+00,7.03E+00
1.15E+02,1.20E+02,2.04E+04,2.20E+01,2.20E+01
