xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,3.56E+04,1.31E+02,1.31E+02
5.00E+00,1.00E+01,9.22E+03,6.67E+01,6.67E+01
1.00E+01,1.50E+01,3.08E+03,3.85E+01,3.85E+01
1.50E+01,2.00E+01,1.53E+03,2.71E+01,2.71E+01
2.00E+01,2.50E+01,9.32E+02,2.12E+01,2.12E+01
2.50E+01,3.00E+01,6.36E+02,1.75E+01,1.75E+01
3.00E+01,3.50E+01,4.67E+02,1.50E+01,1.50E+01
3.50E+01,4.00E+01,3.40E+02,1.28E+01,1.28E+01
4.00E+01,4.50E+01,2.66E+02,1.13E+01,1.13E+01
4.50E+01,5.00E+01,2.27E+02,1.05E+01,1.05E+01
5.00E+01,5.50E+01,1.84E+02,9.43E+00,9.43E+00
5.50E+01,6.00E+01,1.66E+02,8.96E+00,8.96E+00
6.00E+01,6.50E+01,1.41E+02,8.24E+00,8.24E+00
6.50E+01,7.00E+01,1.26E+02,7.79E+00,7.79E+00
7.00E+01,7.50E+01,1.09E+02,7.24E+00,7.24E+00
7.50E+01,8.00E+01,1.10E+02,7.27E+00,7.27E+00
8.00E+01,8.50E+01,9.50E+01,6.77E+00,6.77E+00
8.50E+01,9.00E+01,9.17E+01,6.65E+00,6.65E+00
9.00E+01,9.50E+01,9.46E+01,6.75E+00,6.75E+00
9.50E+01,1.00E+02,8.39E+01,6.36E+00,6.36E+00
1.00E+02,1.05E+02,7.62E+01,6.06E+00,6.06E+00
1.05E+02,1.10E+02,1.01E+02,6.97E+00,6.97E+00
1.10E+02,1.15E+02,9.94E+01,6.92E+00,6.92E+00
1.15E+02,1.20E+02,2.04E+02,9.92E+00,9.92E+00
