xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.64E+00,5.81E-01,5.81E-01
5.00E+00,1.00E+01,6.98E+00,1.20E+00,1.20E+00
1.00E+01,1.50E+01,1.36E+01,1.67E+00,1.67E+00
1.50E+01,2.00E+01,1.58E+01,1.80E+00,1.80E+00
2.00E+01,2.50E+01,2.05E+01,2.05E+00,2.05E+00
2.50E+01,3.00E+01,2.28E+01,2.16E+00,2.16E+00
3.00E+01,3.50E+01,3.41E+01,2.65E+00,2.65E+00
3.50E+01,4.00E+01,4.99E+01,3.20E+00,3.20E+00
4.00E+01,4.50E+01,6.82E+01,3.74E+00,3.74E+00
4.50E+01,5.00E+01,9.26E+01,4.36E+00,4.36E+00
5.00E+01,5.50E+01,1.45E+02,5.45E+00,5.45E+00
5.50E+01,6.00E+01,2.34E+02,6.93E+00,6.93E+00
6.00E+01,6.50E+01,3.91E+02,8.96E+00,8.96E+00
6.50E+01,7.00E+01,7.34E+02,1.23E+01,1.23E+01
7.00E+01,7.50E+01,1.80E+03,1.92E+01,1.92E+01
7.50E+01,8.00E+01,9.32E+03,4.38E+01,4.38E+01
8.00E+01,8.50E+01,3.64E+04,8.65E+01,8.65E+01
8.50E+01,9.00E+01,2.72E+04,7.48E+01,7.48E+01
9.00E+01,9.50E+01,2.30E+04,6.87E+01,6.87E+01
9.50E+01,1.00E+02,2.04E+04,6.48E+01,6.48E+01
1.00E+02,1.05E+02,1.85E+04,6.17E+01,6.17E+01
1.05E+02,1.10E+02,1.68E+04,5.87E+01,5.87E+01
1.10E+02,1.15E+02,1.57E+04,5.68E+01,5.68E+01
1.15E+02,1.20E+02,1.91E+04,6.27E+01,6.27E+01
