xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.59E+00,9.31E-02,9.31E-02
5.00E+00,1.00E+01,4.66E+00,1.60E-01,1.60E-01
1.00E+01,1.50E+01,8.20E+00,2.12E-01,2.12E-01
1.50E+01,2.00E+01,1.20E+01,2.56E-01,2.56E-01
2.00E+01,2.50E+01,1.64E+01,2.99E-01,2.99E-01
2.50E+01,3.00E+01,2.23E+01,3.49E-01,3.49E-01
3.00E+01,3.50E+01,2.88E+01,3.97E-01,3.97E-01
3.50E+01,4.00E+01,3.56E+01,4.41E-01,4.41E-01
4.00E+01,4.50E+01,4.36E+01,4.88E-01,4.88E-01
4.50E+01,5.00E+01,5.17E+01,5.32E-01,5.32E-01
5.00E+01,5.50E+01,5.97E+01,5.71E-01,5.71E-01
5.50E+01,6.00E+01,6.89E+01,6.14E-01,6.14E-01
6.00E+01,6.50E+01,8.26E+01,6.72E-01,6.72E-01
6.50E+01,7.00E+01,1.04E+02,7.54E-01,7.54E-01
7.00E+01,7.50E+01,1.33E+02,8.53E-01,8.53E-01
7.50E+01,8.00E+01,2.01E+02,1.05E+00,1.05E+00
8.00E+01,8.50E+01,3.35E+02,1.35E+00,1.35E+00
8.50E+01,9.00E+01,3.91E+02,1.46E+00,1.46E+00
9.00E+01,9.50E+01,4.39E+02,1.55E+00,1.55E+00
9.50E+01,1.00E+02,4.82E+02,1.62E+00,1.62E+00
1.00E+02,1.05E+02,5.32E+02,1.71E+00,1.71E+00
1.05E+02,1.10E+02,6.01E+02,1.81E+00,1.81E+00
1.10E+02,1.15E+02,6.78E+02,1.93E+00,1.93E+00
1.15E+02,1.20E+02,9.60E+02,2.29E+00,2.29E+00
