xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.60E+01,5.03E-01,5.03E-01
5.00E+00,1.00E+01,4.88E+01,8.78E-01,8.78E-01
1.00E+01,1.50E+01,8.00E+01,1.12E+00,1.12E+00
1.50E+01,2.00E+01,1.14E+02,1.34E+00,1.34E+00
2.00E+01,2.50E+01,1.44E+02,1.51E+00,1.51E+00
2.50E+01,3.00E+01,1.74E+02,1.66E+00,1.66E+00
3.00E+01,3.50E+01,2.15E+02,1.84E+00,1.84E+00
3.50E+01,4.00E+01,2.44E+02,1.96E+00,1.96E+00
4.00E+01,4.50E+01,2.77E+02,2.09E+00,2.09E+00
4.50E+01,5.00E+01,3.14E+02,2.23E+00,2.23E+00
5.00E+01,5.50E+01,3.50E+02,2.35E+00,2.35E+00
5.50E+01,6.00E+01,3.89E+02,2.48E+00,2.48E+00
6.00E+01,6.50E+01,4.25E+02,2.59E+00,2.59E+00
6.50E+01,7.00E+01,4.73E+02,2.73E+00,2.73E+00
7.00E+01,7.50E+01,5.20E+02,2.87E+00,2.87E+00
7.50E+01,8.00E+01,5.77E+02,3.02E+00,3.02E+00
8.00E+01,8.50E+01,6.28E+02,3.15E+00,3.15E+00
8.50E+01,9.00E+01,6.93E+02,3.31E+00,3.31E+00
9.00E+01,9.50E+01,7.75E+02,3.50E+00,3.50E+00
9.50E+01,1.00E+02,8.72E+02,3.71E+00,3.71E+00
1.00E+02,1.05E+02,1.00E+03,3.98E+00,3.98E+00
1.05E+02,1.10E+02,1.22E+03,4.39E+00,4.39E+00
1.10E+02,1.15E+02,1.62E+03,5.06E+00,5.06E+00
1.15E+02,1.20E+02,3.72E+03,7.66E+00,7.66E+00
