xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,7.23E-01,2.01E-01,2.01E-01
5.00E+00,1.00E+01,3.23E+00,4.24E-01,4.24E-01
1.00E+01,1.50E+01,5.28E+00,5.42E-01,5.42E-01
1.50E+01,2.00E+01,6.34E+00,5.94E-01,5.94E-01
2.00E+01,2.50E+01,7.34E+00,6.39E-01,6.39E-01
2.50E+01,3.00E+01,7.23E+00,6.34E-01,6.34E-01
3.00E+01,3.50E+01,7.79E+00,6.58E-01,6.58E-01
3.50E+01,4.00E+01,7.29E+00,6.37E-01,6.37E-01
4.00E+01,4.50E+01,7.12E+00,6.29E-01,6.29E-01
4.50E+01,5.00E+01,8.84E+00,7.01E-01,7.01E-01
5.00E+01,5.50E+01,8.95E+00,7.06E-01,7.06E-01
5.50E+01,6.00E+01,9.07E+00,7.10E-01,7.10E-01
6.00E+01,6.50E+01,9.96E+00,7.44E-01,7.44E-01
6.50E+01,7.00E+01,1.08E+01,7.77E-01,7.77E-01
7.00E+01,7.50E+01,1.04E+01,7.61E-01,7.61E-01
7.50E+01,8.00E+01,1.06E+01,7.67E-01,7.67E-01
8.00E+01,8.50E+01,1.20E+01,8.17E-01,8.17E-01
8.50E+01,9.00E+01,1.33E+01,8.62E-01,8.62E-01
9.00E+01,9.50E+01,1.65E+01,9.58E-01,9.58E-01
9.50E+01,1.00E+02,1.77E+01,9.93E-01,9.93E-01
1.00E+02,1.05E+02,2.26E+01,1.12E+00,1.12E+00
1.05E+02,1.10E+02,2.66E+01,1.22E+00,1.22E+00
1.10E+02,1.15E+02,3.19E+01,1.33E+00,1.33E+00
1.15E+02,1.20E+02,6.70E+01,1.93E+00,1.93E+00
