xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.73E+01,6.09E-01,6.09E-01
5.00E+00,1.00E+01,5.64E+01,1.10E+00,1.10E+00
1.00E+01,1.50E+01,1.02E+02,1.48E+00,1.48E+00
1.50E+01,2.00E+01,1.58E+02,1.84E+00,1.84E+00
2.00E+01,2.50E+01,2.18E+02,2.16E+00,2.16E+00
2.50E+01,3.00E+01,2.77E+02,2.44E+00,2.44E+00
3.00E+01,3.50E+01,3.32E+02,2.67E+00,2.67E+00
3.50E+01,4.00E+01,3.84E+02,2.87E+00,2.87E+00
4.00E+01,4.50E+01,4.37E+02,3.06E+00,3.06E+00
4.50E+01,5.00E+01,4.95E+02,3.25E+00,3.25E+00
5.00E+01,5.50E+01,5.45E+02,3.42E+00,3.42E+00
5.50E+01,6.00E+01,5.89E+02,3.55E+00,3.55E+00
6.00E+01,6.50E+01,6.50E+02,3.73E+00,3.73E+00
6.50E+01,7.00E+01,6.98E+02,3.87E+00,3.87E+00
7.00E+01,7.50E+01,7.51E+02,4.01E+00,4.01E+00
7.50E+01,8.00E+01,8.24E+02,4.20E+00,4.20E+00
8.00E+01,8.50E+01,8.90E+02,4.37E+00,4.37E+00
8.50E+01,9.00E+01,9.83E+02,4.59E+00,4.59E+00
9.00E+01,9.50E+01,1.08E+03,4.80E+00,4.80E+00
9.50E+01,1.00E+02,1.20E+03,5.06E+00,5.06E+00
1.00E+02,1.05E+02,1.35E+03,5.38E+00,5.38E+00
1.05E+02,1.10E+02,1.61E+03,5.87E+00,5.87E+00
1.10E+02,1.15E+02,2.11E+03,6.72E+00,6.72E+00
1.15E+02,1.20E+02,4.79E+03,1.01E+01,1.01E+01
