xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.68E+00,1.13E-01,1.13E-01
5.00E+00,1.00E+01,5.72E+00,2.08E-01,2.08E-01
1.00E+01,1.50E+01,1.14E+01,2.94E-01,2.94E-01
1.50E+01,2.00E+01,1.88E+01,3.77E-01,3.77E-01
2.00E+01,2.50E+01,3.09E+01,4.84E-01,4.84E-01
2.50E+01,3.00E+01,4.51E+01,5.85E-01,5.85E-01
3.00E+01,3.50E+01,6.34E+01,6.93E-01,6.93E-01
3.50E+01,4.00E+01,8.08E+01,7.82E-01,7.82E-01
4.00E+01,4.50E+01,1.02E+02,8.77E-01,8.77E-01
4.50E+01,5.00E+01,1.24E+02,9.69E-01,9.69E-01
5.00E+01,5.50E+01,1.47E+02,1.06E+00,1.06E+00
5.50E+01,6.00E+01,1.70E+02,1.13E+00,1.13E+00
6.00E+01,6.50E+01,1.96E+02,1.22E+00,1.22E+00
6.50E+01,7.00E+01,2.23E+02,1.30E+00,1.30E+00
7.00E+01,7.50E+01,2.51E+02,1.38E+00,1.38E+00
7.50E+01,8.00E+01,2.83E+02,1.46E+00,1.46E+00
8.00E+01,8.50E+01,3.16E+02,1.55E+00,1.55E+00
8.50E+01,9.00E+01,3.51E+02,1.63E+00,1.63E+00
9.00E+01,9.50E+01,4.00E+02,1.74E+00,1.74E+00
9.50E+01,1.00E+02,4.60E+02,1.87E+00,1.87E+00
1.00E+02,1.05E+02,5.36E+02,2.02E+00,2.02E+00
1.05E+02,1.10E+02,6.56E+02,2.23E+00,2.23E+00
1.10E+02,1.15E+02,8.81E+02,2.58E+00,2.58E+00
1.15E+02,1.20E+02,2.18E+03,4.07E+00,4.07E+00
