xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.39E+01,1.02E+00,1.02E+00
5.00E+00,1.00E+01,1.23E+02,1.71E+00,1.71E+00
1.00E+01,1.50E+01,2.06E+02,2.21E+00,2.21E+00
1.50E+01,2.00E+01,2.85E+02,2.61E+00,2.61E+00
2.00E+01,2.50E+01,3.72E+02,2.98E+00,2.98E+00
2.50E+01,3.00E+01,4.56E+02,3.30E+00,3.30E+00
3.00E+01,3.50E+01,5.35E+02,3.57E+00,3.57E+00
3.50E+01,4.00E+01,6.17E+02,3.84E+00,3.84E+00
4.00E+01,4.50E+01,6.99E+02,4.08E+00,4.08E+00
4.50E+01,5.00E+01,7.86E+02,4.33E+00,4.33E+00
5.00E+01,5.50E+01,8.66E+02,4.54E+00,4.54E+00
5.50E+01,6.00E+01,9.53E+02,4.77E+00,4.77E+00
6.00E+01,6.50E+01,1.03E+03,4.95E+00,4.95E+00
6.50E+01,7.00E+01,1.11E+03,5.14E+00,5.14E+00
7.00E+01,7.50E+01,1.19E+03,5.33E+00,5.33E+00
7.50E+01,8.00E+01,1.28E+03,5.52E+00,5.52E+00
8.00E+01,8.50E+01,1.36E+03,5.70E+00,5.70E+00
8.50E+01,9.00E+01,1.44E+03,5.85E+00,5.85E+00
9.00E+01,9.50E+01,1.53E+03,6.03E+00,6.03E+00
9.50E+01,1.00E+02,1.61E+03,6.19E+00,6.19E+00
1.00E+02,1.05E+02,1.70E+03,6.36E+00,6.36E+00
1.05E+02,1.10E+02,1.80E+03,6.55E+00,6.55E+00
1.10E+02,1.15E+02,2.18E+03,7.22E+00,7.22E+00
1.15E+02,1.20E+02,1.01E+02,1.56E+00,1.56E+00
