xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,5.40E+04,1.61E+02,1.61E+02
5.00E+00,1.00E+01,3.86E+00,1.36E+00,1.36E+00
1.00E+01,1.50E+01,2.89E+00,1.18E+00,1.18E+00
1.50E+01,2.00E+01,9.65E-01,6.82E-01,6.82E-01
2.00E+01,2.50E+01,2.89E+00,1.18E+00,1.18E+00
2.50E+01,3.00E+01,9.65E-01,6.82E-01,6.82E-01
3.00E+01,3.50E+01,4.82E-01,4.82E-01,4.82E-01
3.50E+01,4.00E+01,1.45E+00,8.36E-01,8.36E-01
4.00E+01,4.50E+01,4.82E-01,4.82E-01,4.82E-01
4.50E+01,5.00E+01,0.00E+00,0.00E+00,0.00E+00
5.00E+01,5.50E+01,0.00E+00,0.00E+00,0.00E+00
5.50E+01,6.00E+01,9.65E-01,6.82E-01,6.82E-01
6.00E+01,6.50E+01,4.82E-01,4.82E-01,4.82E-01
6.50E+01,7.00E+01,0.00E+00,0.00E+00,0.00E+00
7.00E+01,7.50E+01,0.00E+00,0.00E+00,0.00E+00
7.50E+01,8.00E+01,0.00E+00,0.00E+00,0.00E+00
8.00E+01,8.50E+01,0.00E+00,0.00E+00,0.00E+00
8.50E+01,9.00E+01,4.82E-01,4.82E-01,4.82E-01
9.00E+01,9.50E+01,1.45E+00,8.36E-01,8.36E-01
9.50E+01,1.00E+02,4.82E-01,4.82E-01,4.82E-01
1.00E+02,1.05E+02,0.00E+00,0.00E+00,0.00E+00
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
