xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,1.02E+03,1.45E+01,1.45E+01
5.00E+00,1.00E+01,3.02E+03,2.49E+01,2.49E+01
1.00E+01,1.50E+01,4.97E+03,3.20E+01,3.20E+01
1.50E+01,2.00E+01,6.83E+03,3.75E+01,3.75E+01
2.00E+01,2.50E+01,8.57E+03,4.20E+01,4.20E+01
2.50E+01,3.00E+01,1.02E+04,4.57E+01,4.57E+01
3.00E+01,3.50E+01,1.16E+04,4.88E+01,4.88E+01
3.50E+01,4.00E+01,1.28E+04,5.12E+01,5.12E+01
4.00E+01,4.50E+01,1.37E+04,5.31E+01,5.31E+01
4.50E+01,5.00E+01,1.45E+04,5.45E+01,5.45E+01
5.00E+01,5.50E+01,1.49E+04,5.53E+01,5.53E+01
5.50E+01,6.00E+01,1.51E+04,5.57E+01,5.57E+01
6.00E+01,6.50E+01,1.53E+04,5.61E+01,5.61E+01
6.50E+01,7.00E+01,1.53E+04,5.61E+01,5.61E+01
7.00E+01,7.50E+01,1.57E+04,5.67E+01,5.67E+01
7.50E+01,8.00E+01,1.88E+04,6.21E+01,6.21E+01
8.00E+01,8.50E+01,6.93E+03,3.77E+01,3.77E+01
8.50E+01,9.00E+01,7.45E+02,1.24E+01,1.24E+01
9.00E+01,9.50E+01,1.93E+02,6.30E+00,6.30E+00
9.50E+01,1.00E+02,4.17E+01,2.93E+00,2.93E+00
1.00E+02,1.05E+02,4.72E+00,9.85E-01,9.85E-01
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
