xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,2.29E+01,3.54E-01,3.54E-01
5.00E+00,1.00E+01,7.11E+01,6.24E-01,6.24E-01
1.00E+01,1.50E+01,1.15E+02,7.93E-01,7.93E-01
1.50E+01,2.00E+01,1.60E+02,9.35E-01,9.35E-01
2.00E+01,2.50E+01,2.00E+02,1.05E+00,1.05E+00
2.50E+01,3.00E+01,2.39E+02,1.14E+00,1.14E+00
3.00E+01,3.50E+01,2.75E+02,1.23E+00,1.23E+00
3.50E+01,4.00E+01,3.07E+02,1.30E+00,1.30E+00
4.00E+01,4.50E+01,3.35E+02,1.35E+00,1.35E+00
4.50E+01,5.00E+01,3.60E+02,1.40E+00,1.40E+00
5.00E+01,5.50E+01,3.72E+02,1.43E+00,1.43E+00
5.50E+01,6.00E+01,3.75E+02,1.43E+00,1.43E+00
6.00E+01,6.50E+01,3.65E+02,1.41E+00,1.41E+00
6.50E+01,7.00E+01,3.47E+02,1.38E+00,1.38E+00
7.00E+01,7.50E+01,3.22E+02,1.33E+00,1.33E+00
7.50E+01,8.00E+01,3.05E+02,1.29E+00,1.29E+00
8.00E+01,8.50E+01,2.76E+02,1.23E+00,1.23E+00
8.50E+01,9.00E+01,2.54E+02,1.18E+00,1.18E+00
9.00E+01,9.50E+01,2.29E+02,1.12E+00,1.12E+00
9.50E+01,1.00E+02,1.76E+02,9.82E-01,9.82E-01
1.00E+02,1.05E+02,1.11E+02,7.78E-01,7.78E-01
1.05E+02,1.10E+02,5.25E+01,5.36E-01,5.36E-01
1.10E+02,1.15E+02,1.98E+01,3.29E-01,3.29E-01
1.15E+02,1.20E+02,3.09E+00,1.30E-01,1.30E-01
