xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,4.00E+01,7.94E-01,7.94E-01
5.00E+00,1.00E+01,1.18E+02,1.36E+00,1.36E+00
1.00E+01,1.50E+01,1.97E+02,1.76E+00,1.76E+00
1.50E+01,2.00E+01,2.74E+02,2.08E+00,2.08E+00
2.00E+01,2.50E+01,3.60E+02,2.38E+00,2.38E+00
2.50E+01,3.00E+01,4.38E+02,2.63E+00,2.63E+00
3.00E+01,3.50E+01,5.31E+02,2.89E+00,2.89E+00
3.50E+01,4.00E+01,6.25E+02,3.14E+00,3.14E+00
4.00E+01,4.50E+01,7.31E+02,3.40E+00,3.40E+00
4.50E+01,5.00E+01,8.60E+02,3.69E+00,3.69E+00
5.00E+01,5.50E+01,1.00E+03,3.98E+00,3.98E+00
5.50E+01,6.00E+01,1.16E+03,4.28E+00,4.28E+00
6.00E+01,6.50E+01,1.37E+03,4.66E+00,4.66E+00
6.50E+01,7.00E+01,1.71E+03,5.19E+00,5.19E+00
7.00E+01,7.50E+01,2.36E+03,6.11E+00,6.11E+00
7.50E+01,8.00E+01,2.70E+03,6.53E+00,6.53E+00
8.00E+01,8.50E+01,3.32E+02,2.29E+00,2.29E+00
8.50E+01,9.00E+01,6.05E+01,9.77E-01,9.77E-01
9.00E+01,9.50E+01,1.46E+01,4.80E-01,4.80E-01
9.50E+01,1.00E+02,6.79E-01,1.04E-01,1.04E-01
1.00E+02,1.05E+02,3.16E-02,2.23E-02,2.23E-02
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
