xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,7.56E+00,6.49E-01,6.49E-01
5.00E+00,1.00E+01,2.42E+01,1.16E+00,1.16E+00
1.00E+01,1.50E+01,3.14E+01,1.32E+00,1.32E+00
1.50E+01,2.00E+01,3.06E+01,1.30E+00,1.30E+00
2.00E+01,2.50E+01,2.74E+01,1.23E+00,1.23E+00
2.50E+01,3.00E+01,2.40E+01,1.15E+00,1.15E+00
3.00E+01,3.50E+01,2.11E+01,1.08E+00,1.08E+00
3.50E+01,4.00E+01,2.04E+01,1.06E+00,1.06E+00
4.00E+01,4.50E+01,1.86E+01,1.02E+00,1.02E+00
4.50E+01,5.00E+01,2.44E+01,1.17E+00,1.17E+00
5.00E+01,5.50E+01,2.27E+01,1.12E+00,1.12E+00
5.50E+01,6.00E+01,1.72E+01,9.78E-01,9.78E-01
6.00E+01,6.50E+01,1.57E+01,9.34E-01,9.34E-01
6.50E+01,7.00E+01,1.13E+01,7.92E-01,7.92E-01
7.00E+01,7.50E+01,1.05E+01,7.65E-01,7.65E-01
7.50E+01,8.00E+01,8.95E+00,7.06E-01,7.06E-01
8.00E+01,8.50E+01,5.78E+00,5.67E-01,5.67E-01
8.50E+01,9.00E+01,4.45E+00,4.97E-01,4.97E-01
9.00E+01,9.50E+01,1.84E+00,3.19E-01,3.19E-01
9.50E+01,1.00E+02,6.12E-01,1.84E-01,1.84E-01
1.00E+02,1.05E+02,5.56E-02,5.56E-02,5.56E-02
1.05E+02,1.10E+02,0.00E+00,0.00E+00,0.00E+00
1.10E+02,1.15E+02,0.00E+00,0.00E+00,0.00E+00
1.15E+02,1.20E+02,0.00E+00,0.00E+00,0.00E+00
