xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,5.39E+01,1.07E+00,1.07E+00
5.00E+00,1.00E+01,1.63E+02,1.87E+00,1.87E+00
1.00E+01,1.50E+01,2.86E+02,2.47E+00,2.47E+00
1.50E+01,2.00E+01,4.16E+02,2.98E+00,2.98E+00
2.00E+01,2.50E+01,5.39E+02,3.40E+00,3.40E+00
2.50E+01,3.00E+01,6.66E+02,3.77E+00,3.77E+00
3.00E+01,3.50E+01,7.83E+02,4.09E+00,4.09E+00
3.50E+01,4.00E+01,8.91E+02,4.37E+00,4.37E+00
4.00E+01,4.50E+01,9.97E+02,4.62E+00,4.62E+00
4.50E+01,5.00E+01,1.10E+03,4.86E+00,4.86E+00
5.00E+01,5.50E+01,1.21E+03,5.09E+00,5.09E+00
5.50E+01,6.00E+01,1.35E+03,5.38E+00,5.38E+00
6.00E+01,6.50E+01,1.52E+03,5.70E+00,5.70E+00
6.50E+01,7.00E+01,1.77E+03,6.15E+00,6.15E+00
7.00E+01,7.50E+01,2.25E+03,6.94E+00,6.94E+00
7.50E+01,8.00E+01,2.45E+03,7.24E+00,7.24E+00
8.00E+01,8.50E+01,7.38E+02,3.97E+00,3.97E+00
8.50E+01,9.00E+01,6.03E+02,3.59E+00,3.59E+00
9.00E+01,9.50E+01,6.37E+02,3.69E+00,3.69E+00
9.50E+01,1.00E+02,7.12E+02,3.91E+00,3.91E+00
1.00E+02,1.05E+02,7.69E+02,4.06E+00,4.06E+00
1.05E+02,1.10E+02,6.10E+02,3.61E+00,3.61E+00
1.10E+02,1.15E+02,2.79E+01,7.73E-01,7.73E-01
1.15E+02,1.20E+02,1.28E-01,5.24E-02,5.24E-02
