xlow,xhigh,val,errminus,errplus
0.00E+00,5.00E+00,7.82E+01,7.70E-01,7.70E-01
5.00E+00,1.00E+01,2.88E+02,1.48E+00,1.48E+00
1.00E+01,1.50E+01,6.75E+02,2.26E+00,2.26E+00
1.50E+01,2.00E+01,9.26E+02,2.65E+00,2.65E+00
2.00E+01,2.50E+01,9.02E+02,2.61E+00,2.61E+00
2.50E+01,3.00E+01,8.15E+02,2.49E+00,2.49E+00
3.00E+01,3.50E+01,7.14E+02,2.33E+00,2.33E+00
3.50E+01,4.00E+01,6.11E+02,2.15E+00,2.15E+00
4.00E+01,4.50E+01,5.05E+02,1.96E+00,1.96E+00
4.50E+01,5.00E+01,4.15E+02,1.77E+00,1.77E+00
5.00E+01,5.50E+01,3.40E+02,1.60E+00,1.60E+00
5.50E+01,6.00E+01,2.80E+02,1.46E+00,1.46E+00
6.00E+01,6.50E+01,2.31E+02,1.32E+00,1.32E+00
6.50E+01,7.00E+01,1.86E+02,1.19E+00,1.19E+00
7.00E+01,7.50E+01,1.53E+02,1.08E+00,1.08E+00
7.50E+01,8.00E+01,1.26E+02,9.75E-01,9.75E-01
8.00E+01,8.50E+01,9.86E+01,8.64E-01,8.64E-01
8.50E+01,9.00E+01,7.70E+01,7.64E-01,7.64E-01
9.00E+01,9.50E+01,5.47E+01,6.44E-01,6.44E-01
9.50E+01,1.00E+02,3.31E+01,5.01E-01,5.01E-01
1.00E+02,1.05E+02,1.70E+01,3.59E-01,3.59E-01
1.05E+02,1.10E+02,6.77E+00,2.26E-01,2.26E-01
1.10E+02,1.15E+02,3.08E+00,1.53E-01,1.53E-01
1.15E+02,1.20E+02,1.06E+00,8.96E-02,8.96E-02
