mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax,mRCmin(40),mRCmax(40),mRCmin(80),mRCmax(80),mRCmin(110),mRCmax(110)
93.6382,83.6791,47.7947,70.8808,65.3169,24.7405,-1,-1,-1,-1,-1,-1
91.7936,89.6709,47.2885,72.2723,66.7776,27.0094,-1,-1,-1,-1,-1,-1
97.5655,86.441,74.7926,116.372,106.436,41.9587,99.8401,111.213,-1,-1,-1,-1
88.2965,89.7632,67.6435,103.137,95.6388,39.2492,-1,-1,-1,-1,-1,-1
90.5655,91.1924,69.6482,106.652,98.7672,40.5244,95.8627,101.172,-1,-1,-1,-1
92.2139,89.8272,75.8912,116.514,107.568,43.6281,98.5249,113.259,-1,-1,-1,-1
90.6878,90.6973,78.5551,119.961,111.068,45.334,99.7328,117.537,-1,-1,-1,-1
90.4958,87.2688,51.9979,77.3876,71.6819,28.1422,-1,-1,-1,-1,-1,-1
91.7898,94.6684,75.1657,119.384,110.307,47.0911,96.337,117.556,-1,-1,-1,-1
84.9537,93.1868,79.7086,118.946,111.245,46.1843,99.491,117.416,-1,-1,-1,-1
88.0166,93.9129,68.4388,107.32,99.5898,42.6729,92.2395,104.337,-1,-1,-1,-1
92.2009,90.8137,69.8443,107.963,99.6797,40.8528,95.8034,102.742,-1,-1,-1,-1
87.3272,90.95,67.9085,103.322,96.0232,39.7267,-1,-1,-1,-1,-1,-1
91.6494,94.8022,73.7562,117.141,108.265,46.2757,95.3844,115.158,-1,-1,-1,-1
89.3269,89.042,77.7999,116.281,107.927,43.1413,99.941,113.075,-1,-1,-1,-1
90.08,91.1171,78.5549,119.796,111.038,45.481,99.5707,117.505,-1,-1,-1,-1
90.1123,92.1431,57.1439,87.8287,81.4028,33.7201,-1,-1,-1,-1,-1,-1
93.4457,91.2588,61.5561,96.3995,88.796,36.657,-1,-1,-1,-1,-1,-1
102.467,90.8557,69.7308,117.535,106.409,44.5469,94.7014,113.616,-1,-1,-1,-1
71.7132,87.5213,10.6561,14.2408,13.5906,5.19324,-1,-1,-1,-1,-1,-1
89.6053,93.6687,55.4325,85.8564,79.6481,33.5086,-1,-1,-1,-1,-1,-1
93.9478,92.8219,42.2931,67.3437,61.9705,26.046,-1,-1,-1,-1,-1,-1
91.0042,91.2791,64.5939,99.2999,91.8844,37.7667,-1,-1,-1,-1,-1,-1
90.026,92.232,38.7979,59.6323,55.2781,22.9167,-1,-1,-1,-1,-1,-1
90.2871,91.8179,48.5155,74.4834,69.0119,28.4955,-1,-1,-1,-1,-1,-1
91.5193,91.7808,75.9908,117.722,108.827,45.0205,97.7838,115.202,-1,-1,-1,-1
91.9232,94.1784,20.5612,32.5745,30.0893,12.786,-1,-1,-1,-1,-1,-1
90.7574,97.2111,45.8649,73.765,68.2874,29.8782,-1,-1,-1,-1,-1,-1
91.3942,90.9037,75.9694,116.806,108.005,44.2458,98.107,113.973,-1,-1,-1,-1
91.6908,95.3384,74.4387,118.93,109.893,47.281,95.6474,117.191,-1,-1,-1,-1
90.7207,91.9501,37.9245,58.4707,54.1325,22.4016,-1,-1,-1,-1,-1,-1
89.9014,84.4564,62.9129,91.529,84.8867,32.2175,-1,-1,-1,-1,-1,-1
70.567,94.7588,20.1486,28.8957,27.5102,11.8719,-1,-1,-1,-1,-1,-1
91.1593,89.2364,45.1379,68.4334,63.3068,25.4456,-1,-1,-1,-1,-1,-1
87.3925,95.2463,14.0789,21.7037,20.2136,8.61439,-1,-1,-1,-1,-1,-1
89.3171,91.697,76.8387,117.022,108.617,44.7107,98.278,114.623,-1,-1,-1,-1
91.6846,90.5753,49.2173,75.6512,69.9137,28.5517,-1,-1,-1,-1,-1,-1
90.8272,86.8281,74.8313,111.282,103.02,40.266,101.007,104.79,-1,-1,-1,-1
89.7686,89.5924,44.9174,67.6044,62.6972,25.2383,-1,-1,-1,-1,-1,-1
87.8298,90.9634,53.7572,80.7794,75.1534,30.6759,-1,-1,-1,-1,-1,-1
95.5875,93.6951,33.1467,53.912,49.4531,21.0477,-1,-1,-1,-1,-1,-1
90.2889,90.7314,59.329,90.3596,83.7215,34.1602,-1,-1,-1,-1,-1,-1
91.7363,92.2541,31.5191,49.0876,45.3602,18.8689,-1,-1,-1,-1,-1,-1
88.4996,91.9884,63.5915,96.4781,89.6799,36.9799,-1,-1,-1,-1,-1,-1
92.1396,89.6046,46.7243,71.5374,66.0592,26.7102,-1,-1,-1,-1,-1,-1
91.1422,91.5753,49.6025,76.5027,70.7716,29.1907,-1,-1,-1,-1,-1,-1
88.5966,91.0308,55.1483,83.1554,77.2821,31.5404,-1,-1,-1,-1,-1,-1
85.77,93.2506,77.8078,116.858,109.137,45.416,98.2416,115.088,-1,-1,-1,-1
85.2175,90.0942,69.3637,107.514,99.8242,42.2156,93.2998,104.214,-1,-1,-1,-1
92.7315,94.5351,74.1754,118.598,109.388,46.7154,95.7693,116.597,-1,-1,-1,-1
90.3858,91.6938,54.8408,84.1784,77.9806,32.161,-1,-1,-1,-1,-1,-1
90.8567,91.5826,36.8425,56.7198,52.4966,21.6484,-1,-1,-1,-1,-1,-1
82.4364,92.0535,21.8907,31.8822,29.9426,12.2286,-1,-1,-1,-1,-1,-1
79.871,90.0041,82.2923,117.007,110.277,44.0697,101.844,115.177,-1,-1,-1,-1
91.4194,91.6297,76.7703,118.702,109.753,45.3193,98.3129,116.269,-1,-1,-1,-1
91.241,95.0244,73.5335,116.774,107.989,46.278,95.1399,114.84,-1,-1,-1,-1
81.856,79.0347,79.8232,107.893,101.381,35.6635,-1,-1,-1,-1,-1,-1
114.921,101.197,30.8102,70.7313,62.1971,29.873,-1,-1,-1,-1,-1,-1
90.8022,93.2111,59.0948,92.0507,85.2082,35.7506,-1,-1,-1,-1,-1,-1
90.4548,88.6431,72.1667,108.408,100.416,40.0411,99.6587,101.136,-1,-1,-1,-1
89.9807,91.0638,72.2516,110.06,102.032,41.7605,96.3148,106.098,-1,-1,-1,-1
91.203,99.5014,27.2345,44.857,41.492,18.5973,-1,-1,-1,-1,-1,-1
91.6157,96.667,44.4118,71.6183,66.1949,28.8464,-1,-1,-1,-1,-1,-1
92.4288,89.1063,39.1819,59.8948,55.2802,22.2397,-1,-1,-1,-1,-1,-1
92.5283,90.3458,77.652,119.901,110.637,45.1375,99.345,117.204,-1,-1,-1,-1
91.5608,90.525,13.1339,20.1595,18.6352,7.60397,-1,-1,-1,-1,-1,-1
95.7465,92.1583,74.2768,119.522,109.596,45.9344,96.674,116.862,-1,-1,-1,-1
93.2655,62.3511,43.4509,56.599,52.5887,14.8277,-1,-1,-1,-1,-1,-1
90.8638,93.997,45.5532,71.429,66.1119,27.9755,-1,-1,-1,-1,-1,-1
116.548,91.831,57.1477,118.038,103.444,45.8391,87.1463,113.156,-1,-1,-1,-1
89.8779,93.4711,61.9389,95.9887,89.0037,37.384,-1,-1,-1,-1,-1,-1
91.8424,91.2459,75.1452,116.223,107.377,44.1873,97.5051,113.347,-1,-1,-1,-1
91.3729,91.6359,28.7687,44.4679,41.1192,16.9786,-1,-1,-1,-1,-1,-1
95.1626,89.9869,32.6192,51.2528,47.0627,19.2215,-1,-1,-1,-1,-1,-1
92.3102,91.0041,72.7438,112.702,104.034,42.7354,96.3974,109.091,-1,-1,-1,-1
91.8579,91.9255,41.9238,65.1875,60.224,24.9683,-1,-1,-1,-1,-1,-1
95.0645,90.8348,71.2907,112.699,103.497,42.6608,95.7468,108.702,-1,-1,-1,-1
89.093,91.3352,25.7636,41.4906,38.2567,16.4634,-1,-1,-1,-1,-1,-1
89.0116,91.4523,52.7953,80.0847,74.3732,30.5164,-1,-1,-1,-1,-1,-1
91.9201,91.3563,51.0016,78.9948,72.9716,30.0696,-1,-1,-1,-1,-1,-1
91.074,91.1628,34.8954,53.6256,49.6146,20.3694,-1,-1,-1,-1,-1,-1
95.7312,89.3972,64.8168,101.815,93.3975,37.9382,-1,-1,-1,-1,-1,-1
82.9962,89.4869,63.5289,100.478,93.2345,40.3872,90.7942,95.2863,-1,-1,-1,-1
91.9992,93.6553,49.0065,77.3307,71.4236,30.1768,-1,-1,-1,-1,-1,-1
96.1486,91.9228,38.8056,62.6267,57.3716,24.0315,-1,-1,-1,-1,-1,-1
86.5935,91.8468,75.9789,117.174,108.885,45.914,96.9346,115.323,-1,-1,-1,-1
95.9956,91.4544,73.9964,118.479,108.608,45.1593,96.7954,115.514,-1,-1,-1,-1
91.763,94.044,56.3875,89.0873,82.3185,34.9089,-1,-1,-1,-1,-1,-1
90.9764,90.9247,73.937,113.34,104.881,42.9392,97.0294,109.99,-1,-1,-1,-1
80.8748,92.9036,74.3112,114.314,106.927,46.4389,94.7069,113.068,-1,-1,-1,-1
90.9403,89.8645,44.9887,68.4108,63.3101,25.6157,-1,-1,-1,-1,-1,-1
92.9191,92.0444,75.6622,118.739,109.479,45.5395,97.5213,116.246,-1,-1,-1,-1
93.0291,91.4634,76.7494,119.996,110.617,45.731,98.4006,117.502,-1,-1,-1,-1
91.3399,100.382,50.8533,84.5424,78.1799,35.3615,-1,-1,-1,-1,-1,-1
91.8875,87.6762,76.8365,115.788,106.982,42.3059,100.168,111.7,-1,-1,-1,-1
92.5908,90.4023,72.6239,112.238,103.554,42.2793,96.6945,108.268,-1,-1,-1,-1
88.3232,91.6059,78.3496,118.395,110.086,45.1924,99.2167,116.23,-1,-1,-1,-1
92.6878,93.0709,15.8916,25.0994,23.1519,9.73385,-1,-1,-1,-1,-1,-1
92.0628,92.7035,73.4102,115.024,106.225,44.4298,95.9332,112.323,-1,-1,-1,-1
89.1094,72.3185,79.5631,107.255,99.8331,32.3985,-1,-1,-1,-1,-1,-1
90.4055,89.1073,66.9023,100.795,93.3721,37.4239,-1,-1,-1,-1,-1,-1
85.3364,91.2605,61.4223,90.7032,84.7758,34.4901,-1,-1,-1,-1,-1,-1
90.7309,91.7593,8.72836,13.5074,12.4975,5.18386,-1,-1,-1,-1,-1,-1
91.7523,98.1092,67.1481,109.773,101.434,44.8738,90.3779,107.621,-1,-1,-1,-1
89.9354,90.6475,71.9069,109.169,101.214,41.233,96.568,104.704,-1,-1,-1,-1
92.0699,91.1329,52.8317,81.783,75.5264,31.0549,-1,-1,-1,-1,-1,-1
72.4559,92.0896,81.0898,112.323,106.982,43.4988,99.9153,111.009,-1,-1,-1,-1
89.7098,91.6605,63.8995,97.5701,90.4976,37.2638,-1,-1,-1,-1,-1,-1
63.7033,98.2811,79.8957,108.992,105.02,44.9795,96.9874,108.653,-1,-1,-1,-1
91.9192,90.2011,68.0528,104.487,96.5228,39.2713,-1,-1,-1,-1,-1,-1
108.435,90.6804,57.2319,102.232,91.4532,38.733,-1,-1,-1,-1,-1,-1
90.5479,91.6338,78.0802,119.963,111.095,45.8091,99.1082,117.75,-1,-1,-1,-1
91.7545,92.8092,56.9976,89.1657,82.3922,34.4808,-1,-1,-1,-1,-1,-1
85.5376,85.1674,71.4275,101.986,95.2401,36.3196,-1,-1,-1,-1,-1,-1
89.0732,92.756,73.5328,112.66,104.614,43.5414,95.9679,109.939,-1,-1,-1,-1
92.3824,93.8839,75.4499,119.648,110.429,46.8043,96.7745,117.654,-1,-1,-1,-1
91.0734,91.1804,77.7745,119.536,110.595,45.414,99.0858,117.131,-1,-1,-1,-1
91.5762,92.6201,39.2784,61.2698,56.6343,23.6451,-1,-1,-1,-1,-1,-1
83.6195,95.6663,79.7668,119.987,112.468,47.8278,98.8401,118.97,-1,-1,-1,-1
90.3123,89.8221,55.2592,85.1254,78.6922,32.2879,-1,-1,-1,-1,-1,-1
91.2334,88.1608,77.1174,116.08,107.375,42.6441,100.031,112.319,-1,-1,-1,-1
91.2119,95.2084,72.8776,115.714,107.031,45.9039,94.6986,113.707,-1,-1,-1,-1
92.8913,91.7972,74.9898,117.426,108.275,44.9146,97.2073,114.731,-1,-1,-1,-1
125.3,92.7244,38.2793,90.723,78.1001,35.3784,-1,-1,-1,-1,-1,-1
89.17,89.2772,68.7672,102.837,95.4752,38.254,-1,-1,-1,-1,-1,-1
89.9346,94.6469,56.9908,89.1675,82.6704,35.1643,-1,-1,-1,-1,-1,-1
90.7214,90.7755,75.5342,115.444,106.879,43.6657,97.9179,112.449,-1,-1,-1,-1
86.7999,99.4774,75.3665,119.526,111.435,49.5424,95.0588,118.704,-1,-1,-1,-1
70.3765,91.4022,51.2172,73.7383,70.0342,29.9716,-1,-1,-1,-1,-1,-1
90.9865,91.0869,68.788,105.582,97.7006,40.0714,96.6862,98.6466,-1,-1,-1,-1
94.2756,90.4142,62.7201,98.2024,90.3204,37.0002,-1,-1,-1,-1,-1,-1
86.1749,93.5985,12.658,19.1095,17.8347,7.45326,-1,-1,-1,-1,-1,-1
90.6568,88.097,79.9816,119.855,110.982,43.9979,101.596,116.793,-1,-1,-1,-1
92.6788,94.6643,30.9682,49.5457,45.7027,19.5426,-1,-1,-1,-1,-1,-1
94.9689,93.1902,56.0982,90.7834,83.3314,35.3526,-1,-1,-1,-1,-1,-1
91.452,90.4235,66.644,102.14,94.4348,38.483,-1,-1,-1,-1,-1,-1
91.4839,90.9671,45.8688,70.7908,65.4247,26.884,-1,-1,-1,-1,-1,-1
71.7239,91.7887,85.1202,116.284,110.97,44.4731,102.885,115.271,-1,-1,-1,-1
92.2122,93.3,73.021,115.097,106.262,44.7452,95.4773,112.53,-1,-1,-1,-1
89.7897,91.1338,55.0106,85.6318,79.1965,33.0564,-1,-1,-1,-1,-1,-1
90.8692,89.2489,59.7529,90.424,83.6924,33.6299,-1,-1,-1,-1,-1,-1
91.2742,90.9537,76.3089,117.261,108.45,44.4388,98.2845,114.513,-1,-1,-1,-1
90.6506,91.0474,46.0197,70.4385,65.2207,26.7218,-1,-1,-1,-1,-1,-1
86.5352,90.2996,72.6816,110.58,102.785,42.5563,95.7537,107.418,-1,-1,-1,-1
90.3915,91.5308,56.0088,86.0144,79.6644,32.8445,-1,-1,-1,-1,-1,-1
90.4008,90.8513,4.97844,7.59174,7.03338,2.87383,-1,-1,-1,-1,-1,-1
90.1783,59.8232,93.5775,118.934,111.107,29.8943,-1,-1,-1,-1,-1,-1
89.6395,90.6547,74.468,112.822,104.658,42.6161,97.458,109.435,-1,-1,-1,-1
85.8479,89.3306,73.5211,107.559,100.442,40.0346,99.7889,101.064,-1,-1,-1,-1
93.6305,89.6929,42.757,66.2399,60.9994,24.7586,-1,-1,-1,-1,-1,-1
92.2773,80.2023,83.4201,119.816,110.746,40.0915,109.58,111.835,-1,-1,-1,-1
94.4933,91.9814,51.4453,81.7182,75.1217,31.3213,-1,-1,-1,-1,-1,-1
91.9369,90.461,69.7443,107.308,99.1241,40.4473,96.4181,101.404,-1,-1,-1,-1
90.8146,91.1538,61.4729,94.2804,87.2702,35.8084,-1,-1,-1,-1,-1,-1
89.0738,92.5417,78.3591,119.865,111.304,46.2188,98.9554,117.952,-1,-1,-1,-1
92.9149,94.2687,64.0995,102.417,94.4308,40.2282,92.5178,96.1156,-1,-1,-1,-1
90.7281,89.6459,19.6151,29.7396,27.5325,11.1103,-1,-1,-1,-1,-1,-1
123.106,90.8831,53.979,118.139,102.34,45.1459,86.4592,112.229,-1,-1,-1,-1
