mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
186.11,22.2426,59.449,87.5123,75.6275,11.1007
87.7677,121.362,57.1093,116.402,108.339,58.8614
97.3533,43.4716,85.0863,102.394,96.0435,19.0338
149.263,70.1684,43.3098,100.951,83.7301,31.2614
110.805,117.137,37.1034,118.545,105.155,57.8583
163.343,74.5063,9.81099,68.3061,53.8708,22.8271
73.5194,82.035,80.3753,105.543,100.471,36.0782
190.498,47.0704,16.3754,92.4713,70.1513,22.6197
137.238,65.8871,49.9921,89.6163,77.0007,25.7674
172.312,37.9232,57.8365,99.345,83.4639,18.9467
180.816,26.4287,60.1123,91.2606,78.3791,13.1259
93.7853,66.3793,77.1587,104.846,96.7718,29.8609
172.877,15.2503,68.5204,83.2136,76.5437,7.01198
194.161,29.6597,41.5307,83.7826,67.6341,14.2198
84.888,129.577,51.7207,115.23,107.782,62.2139
180.891,50.2158,31.0658,96.6171,75.7024,24.1012
16.4632,125.094,81.1709,100.524,100.287,52.4027
196.469,35.4337,29.8255,85.8612,66.5067,17.0964
164.915,45.4001,49.9427,90.2802,75.5757,19.7303
132.451,33.3769,75.8563,96.8009,88.2617,15.0937
60.7015,75.2535,87.9507,106.726,103.256,33.4651
62.5861,145.948,59.3983,119.997,115.845,72.9729
194.735,42.0982,17.0036,81.4696,61.6952,18.5227
115.877,117.245,21.9422,92.5812,81.0709,45.2357
106.951,95.3074,52.0364,96.5516,86.5366,38.3873
130.964,90.2331,35.3479,90.3695,76.8085,34.5178
160.534,53.6368,42.1887,83.6995,69.4928,20.8925
158.359,40.0714,59.0978,91.4145,78.9448,17.5415
180.274,15.3946,67.3152,84.4748,76.7416,7.457
172.446,47.6564,45.7835,98.3194,80.0278,22.8701
130.089,105.946,16.8807,92.7737,78.3603,41.1629
200.983,25.4769,39.5724,81.5167,65.3179,12.6868
172.198,42.8104,46.5523,88.2421,72.9805,18.6888
175.836,12.7957,74.1065,87.9675,81.5837,6.39297
171.326,28.4767,64.9695,94.36,82.201,13.9494
178.082,33.6953,55.5207,94.2618,79.1101,16.5677
197.011,20.9047,50.0387,81.1344,68.2022,10.4021
94.2045,77.3173,80.9818,115.491,106.486,37.2987
159.191,49.1012,52.5188,93.9428,79.1174,21.6294
130.326,52.8777,74.9655,109.839,97.4474,25.5681
202.589,25.5874,37.1907,81.019,64.3211,12.7903
123.405,52.9746,78.9777,111.331,99.8842,25.7057
112.061,113.331,33.8475,105.542,93.1064,50.2653
121.156,39.5342,70.0186,88.6678,81.3862,15.5376
85.8828,139.739,27.9043,81.8478,76.428,47.6556
143.337,32.8773,63.8976,83.5573,75.4891,12.8931
175.226,13.4243,70.8744,84.6792,78.3454,6.41318
96.4649,112.288,59.1738,119.93,109.816,56.1111
182.178,43.4102,36.752,87.8779,70.1156,19.4828
155.701,39.8576,58.5943,88.522,76.9187,16.786
168.836,38.7204,49.0309,82.0606,69.4063,15.7561
171.162,26.6777,67.7357,95.54,83.8743,13.3002
165.49,57.6036,34.7601,84.2197,68.284,22.6293
169.68,52.7671,45.0035,104.696,84.7823,26.3577
69.5309,144.499,54.0036,119.357,114.239,71.8624
94.2128,57.0686,63.2235,80.4586,74.9027,19.3653
69.9648,119.802,66.9085,109.289,104.542,54.5544
76.6179,116.931,53.1528,89.891,85.1874,43.7959
114.903,78.8713,49.1855,83.8858,74.2995,28.1497
77.3028,136.284,47.318,103.751,98.2219,58.9149
86.8598,86.0463,83.0375,119.733,111.617,42.9278
189.691,29.9786,47.4386,87.9095,72.1504,14.7113
191.81,18.63,57.5754,82.9067,71.9766,9.29567
145.053,58.0414,61.9291,108.332,92.6059,28.113
152.074,16.4127,72.8521,84.3879,79.1411,6.99582
26.1369,166.903,62.6572,105.45,104.823,73.3329
105.645,83.6369,57.2682,92.7548,83.6375,32.4606
130.915,77.3837,49.0731,96.7937,83.1699,32.0724
89.0788,81.2574,75.2933,106.822,99.2447,36.1864
128.865,98.4366,30.3753,93.8724,79.8371,38.8152
162.297,68.017,23.2444,77.6094,62.0985,23.9679
59.3315,75.2676,61.2472,74.6681,72.2558,23.8833
171.298,30.2202,60.3741,89.9392,77.8656,14.0001
175.514,54.0714,23.5344,75.8704,59.6304,20.0172
172.171,37.5867,49.0511,87.6764,73.0398,16.9774
148.98,90.151,10.0282,114.333,92.4591,44.2984
96.4713,55.3696,69.7695,88.7731,82.5017,20.7921
155.1,78.4406,22.6735,93.236,75.0841,32.1574
196.603,41.5121,13.8113,84.2547,63.3203,19.096
158.147,73.7472,25.9578,107.79,86.1519,35.7204
114.408,35.125,81.1343,97.9053,91.1843,15.1811
107.732,129.18,13.629,87.6139,78.277,47.1912
180.601,42.0115,25.1228,88.5897,68.2594,20.4867
133.725,96.2009,24.3187,83.7814,70.4373,34.0008
59.6715,151.296,55.3048,116,112.357,73.1263
194.426,37.034,30.167,86.1376,66.8943,17.6065
145.189,65.5032,44.3866,88.6791,74.7117,25.783
152.781,42.276,67.3319,102.587,89.1247,20.3569
87.6935,142.733,32.5156,117.845,109.678,70.1632
102.719,63.9539,61.6281,84.5266,77.41,22.8239
194.11,44.6635,11.6316,93.7161,70.4019,22.3031
87.5057,129.729,46.938,110.448,102.844,59.7056
162.68,68.904,25.9383,90.9602,72.6508,28.37
52.7218,168.668,29.8397,96.2376,93.7387,69.7063
84.2514,115.53,63.1391,113.94,106.688,54.8475
114.265,69.689,76.3466,116.801,104.532,34.5162
93.9777,135.066,29.1238,97.5013,89.7156,54.8712
100.869,132.409,18.887,81.2522,73.7176,44.8557
106.88,31.0315,69.4356,80.4935,75.9644,10.9699
141.156,52.0399,67.5597,105.73,92.0934,24.6909
155.609,53.6346,40.2711,81.4682,67.5395,20.7885
116.219,31.3164,76.1311,90.2813,84.4509,12.5948
139.192,18.0108,72.0844,82.3441,77.7149,7.15913
162.627,69.653,25.2303,92.5403,73.8169,29.134
139.262,93.4438,28.3872,113.892,94.4956,45.1748
74.7946,142.282,45.2995,106.213,100.923,62.9678
113.798,43.6124,84.3904,106.908,98.4286,20.3152
78.6873,102.488,56.3594,85.9337,81.1838,36.6965
49.9954,140.142,51.3166,86.5898,84.6255,51.4064
131.903,105.65,14.837,117.487,98.6488,52.1527
151.814,87.0336,10.3797,102.092,82.1198,38.4498
30.6698,203.839,25.3618,119.308,118.33,101.335
150.093,9.379,79.9952,86.745,83.5437,4.1931
46.9926,157.514,59.9274,118.438,116.088,78.6838
107.446,81.1243,73.9767,118.866,106.934,40.4228
30.9568,155.081,70.7086,111.95,111.014,72.351
137.151,55.1967,69.4267,109.108,95.2632,26.6981
148.899,80.4839,20.9236,104.328,84.0993,37.5719
129.072,52.2454,78.2085,113.091,100.64,25.9861
202.119,27.1618,35.2305,81.6042,64.2825,13.4918
170.292,68.0947,13.4138,105.644,82.2678,33.1317
141.795,56.3285,48.9127,80.9999,69.9335,20.3465
142.915,40.1657,71.5778,100.052,88.9398,18.5304
208.557,30.5306,7.56066,80.0948,58.897,15.2541
200.399,20.8081,46.4728,79.4735,65.9224,10.3871
59.0857,175.398,24.1982,113.511,110.017,82.9567
22.7117,132.441,72.609,95.1609,94.7348,52.5147
135.816,103.273,10.4272,118.76,98.827,51.5795
109.435,28.617,70.6247,81.2956,76.8401,10.2947
183.948,27.9673,53.2463,88.9506,74.6101,13.8916
173.018,37.8249,55.4446,95.8954,80.4338,18.2917
123.243,88.4237,55.8453,117.226,101.665,43.6519
111.201,67.9075,77.8198,115.069,103.66,33.12
163.921,22.5904,63.0936,81.0347,73.2311,9.43868
183.418,41.0996,36.2484,82.6009,66.1592,17.5672
111.328,126.037,16.3337,110.521,97.9116,58.0409
161.094,17.6893,79.0859,95.0554,87.8715,8.73739
130.683,23.5107,74.0884,86.5073,81.0926,9.47114
72.3991,144.06,43.4943,100.699,96.0075,60.4441
151.171,62.1426,39.8011,97.6769,79.8758,28.5954
54.1323,113.506,59.4533,83.0794,80.9387,39.2918
124.717,27.9542,91.2743,108.254,101.068,13.7785
95.9092,39.5614,65.9079,78.0445,73.4681,13.4226
184.362,34.1522,42.7513,80.707,66.2394,14.7313
139.318,82.1954,42.6668,107.674,90.2699,37.9675
168.642,48.6417,23.282,83.7852,65.1776,21.6127
190.324,37.2632,38.0702,92.3827,73.0668,18.6226
182.561,55.877,11.5627,86.209,65.8886,23.6316
166.023,30.5601,68.7561,98.939,86.5511,15.2617
87.8455,81.4159,56.7906,83.3072,77.0934,29.3387
115.549,46.897,68.5192,89.1927,81.5839,18.1886
164.669,74.7132,8.58138,110.993,87.0952,37.2697
31.012,148.363,68.318,102.829,101.967,63.5667
34.3938,165.894,55.523,100.774,99.7338,69.6574
149.63,78.6639,34.815,107.806,88.2343,36.9892
54.5316,121.34,60.9523,90.8686,88.4333,46.4974
129.286,27.47,70.4553,84.2558,78.3895,10.6496
154.278,20.3647,71.3237,86.2909,79.652,8.82322
130.85,64.8132,62.6299,104.266,90.8704,29.334
202.743,34.6756,16.4439,80.2457,60.1553,16.2411
119.868,79.3757,45.9092,83.6041,73.1906,28.429
50.9282,177.39,35.1069,113.91,111.316,84.1938
41.1572,113.389,75.9599,99.382,97.9057,47.0187
163.089,52.4251,52.7379,106.346,87.9249,26.1793
150.617,55.9939,60.8807,109.961,93.1569,27.916
150.496,65.2297,40.9644,87.3773,72.8141,25.4059
172.482,59.8141,25.0624,88.4897,69.6684,24.9882
116.224,35.3406,70.2318,89.3618,81.7992,15.2344
19.7446,158.831,65.9839,98.7614,98.4266,65.3599
102.185,118.702,40.8178,116.295,104.818,58.5198
168.348,16.1975,76.4854,92.5217,85.2662,8.07414
114.768,95.0613,44.7248,93.5673,82.318,37.3989
96.0047,94.2294,71.4961,117.263,107.476,46.0415
46.2064,180.561,33.3486,101.836,99.9308,76.6149
51.7298,158.69,57.5279,119.667,116.854,79.1357
186.269,31.7888,44.8852,87.3296,71.1337,15.4734
123.789,53.5039,65.0478,92.2768,82.6801,21.5148
53.3371,130.627,64.7434,100.811,98.2898,54.8692
154.578,70.3513,30.0568,84.0495,68.446,26.4762
179.369,55.9503,18.4491,88.6198,68.431,24.2052
137.405,88.1201,38.7753,110.966,92.9608,41.6313
136.946,90.5595,32.3108,99.5486,83.3227,38.2847
121.771,76.6956,52.7442,92.5155,81.1184,30.1606
126.602,27.6486,77.5952,92.2999,86.0613,11.679
180.043,35.9388,38.2445,83.6972,67.1604,16.631
97.4014,81.2516,70.3005,105.545,96.6101,35.9516
187.709,16.6095,62.1424,83.0621,73.8085,8.19737
41.8319,135.02,76.6948,113.482,111.744,63.8583
135.434,51.1962,71.4686,106.439,93.8431,24.2481
62.0299,149.172,45.7408,96.8028,93.5038,60.2579
186.051,13.8049,63.7287,80.1734,72.7218,6.62547
178.33,11.8774,67.9704,80.2949,74.5925,5.51597
126.153,72.2542,65.6641,113.724,99.2823,35.1352
169.932,23.705,70.7866,95.0085,84.6093,11.8343
170.77,53.5734,40.9547,100.649,81.0352,25.7479
118.41,66.52,68.9317,111.238,98.1489,32.7186
131.102,81.194,50.9488,106.846,91.4964,36.9548
166.074,38.7824,50.33,81.899,69.7423,15.611
151.382,39.2706,51.6216,76.0838,66.5535,14.2338
177.566,51.8329,32.4291,93.9767,74.2253,23.8277
123.773,105.352,33.0258,110.643,95.0746,48.7123
167.614,47.78,39.2791,77.1587,63.7376,17.7292
132.43,45.3295,69.6011,96.6607,86.48,19.6211
150.06,41.7098,53.7556,79.8365,69.8132,15.56
149.013,73.4122,45.0238,113.762,93.9612,36.6645
100.252,97.449,65.3876,115.324,104.788,46.8292
178.742,20.7776,66.3868,89.9275,79.7121,10.341
196.877,37.3391,24.3191,83.2585,63.7364,17.3388
167.539,46.8235,41.99,80.7007,66.856,18.2166
184.922,47.2598,15.0759,83.2886,63.3311,20.7049
116.607,82.5206,51.9412,92.1055,81.328,31.9935
133.814,63.4911,68.2188,114.562,99.4684,31.6983
172.279,63.9338,21.1302,106.545,83.1321,31.8083
152.557,82.355,19.9868,108.755,87.498,39.2725
123.469,49.5994,82.1183,112.775,101.641,24.4956
169.125,7.56197,76.0387,83.3609,79.8656,3.61201
143.735,24.2117,75.6709,94.621,86.461,11.6575
157.872,25.5019,73.3406,94.8258,85.623,12.0794
149.113,64.4832,39.7422,81.6897,68.3888,23.4669
129.89,61.4654,65.6447,104.248,91.4565,27.8545
55.5524,164.55,41.6104,104.37,101.536,71.5586
120.977,28.3936,67.7623,79.8722,74.77,10.2422
26.7249,85.2146,65.285,74.5845,74.0858,27.4555
83.0511,154.967,13.2666,119.214,111.817,77.1349
112.784,104.927,49.795,118.942,105.01,52.0933
121.733,71.3946,65.2901,113.002,98.8099,35.3166
145.455,72.1232,45.699,103.101,86.1277,32.5395
85.6187,128.174,37.5733,83.1181,77.634,44.4494
114.343,23.6466,80.1344,90.6789,86.1117,9.64995
144.137,71.9334,52.0331,114,95.5789,35.8281
134.545,45.158,73.32,102.685,91.6168,20.8246
87.1137,148.275,23.3719,119.796,111.626,74.0112
183.457,39.0606,38.2963,81.643,65.9001,16.6353
129.356,54.3274,74.6048,110.105,97.6371,26.239
169.209,68.9433,6.73366,49.3869,38.5491,15.615
179.499,49.4527,23.3538,97.0643,74.7984,24.7255
155.755,34.7346,56.6742,89.2382,76.5024,16.2759
203.328,32.291,22.709,83.7574,63.4315,16.0641
171.852,43.6584,47.133,91.9986,75.7568,19.9112
186.657,49.2312,18.8758,83.9544,64.3706,21.0062
26.955,180.456,55.2933,109.898,109.203,82.6325
97.226,100.229,48.8603,85.9556,78.5866,35.8969
71.3184,103.68,80.7959,118.063,112.73,51.0032
95.1569,140.99,14.8179,83.02,76.2158,48.7707
101.498,93.871,49.3369,84.901,76.9739,33.224
180.876,55.7936,16.6311,85.4914,65.8406,23.2872
126.841,41.2492,80.9077,108.317,97.7803,20.5347
143.733,34.2162,78.9784,104.733,94.2599,16.7805
