mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
93.6382,83.6791,47.7947,70.8808,65.3169,24.7405
91.7936,89.6709,47.2885,72.2723,66.7776,27.0094
97.5655,86.441,74.7926,116.372,106.436,41.9587
88.2965,89.7632,67.6435,103.137,95.6388,39.2492
90.5655,91.1924,69.6482,106.652,98.7672,40.5244
92.2139,89.8272,75.8912,116.514,107.568,43.6281
90.6878,90.6973,78.5551,119.961,111.068,45.334
90.4958,87.2688,51.9979,77.3876,71.6819,28.1422
91.7898,94.6684,75.1657,119.384,110.307,47.0911
84.9537,93.1868,79.7086,118.946,111.245,46.1843
88.0166,93.9129,68.4388,107.32,99.5898,42.6729
92.2009,90.8137,69.8443,107.963,99.6797,40.8528
87.3272,90.95,67.9085,103.322,96.0232,39.7267
91.6494,94.8022,73.7562,117.141,108.265,46.2757
89.3269,89.042,77.7999,116.281,107.927,43.1413
90.08,91.1171,78.5549,119.796,111.038,45.481
90.1123,92.1431,57.1439,87.8287,81.4028,33.7201
93.4457,91.2588,61.5561,96.3995,88.796,36.657
102.467,90.8557,69.7308,117.535,106.409,44.5469
71.7132,87.5213,10.6561,14.2408,13.5906,5.19324
89.6053,93.6687,55.4325,85.8564,79.6481,33.5086
93.9478,92.8219,42.2931,67.3437,61.9705,26.046
91.0042,91.2791,64.5939,99.2999,91.8844,37.7667
90.026,92.232,38.7979,59.6323,55.2781,22.9167
90.2871,91.8179,48.5155,74.4834,69.0119,28.4955
91.5193,91.7808,75.9908,117.722,108.827,45.0205
91.9232,94.1784,20.5612,32.5745,30.0893,12.786
90.7574,97.2111,45.8649,73.765,68.2874,29.8782
91.3942,90.9037,75.9694,116.806,108.005,44.2458
91.6908,95.3384,74.4387,118.93,109.893,47.281
90.7207,91.9501,37.9245,58.4707,54.1325,22.4016
89.9014,84.4564,62.9129,91.529,84.8867,32.2175
70.567,94.7588,20.1486,28.8957,27.5102,11.8719
91.1593,89.2364,45.1379,68.4334,63.3068,25.4456
87.3925,95.2463,14.0789,21.7037,20.2136,8.61439
89.3171,91.697,76.8387,117.022,108.617,44.7107
91.6846,90.5753,49.2173,75.6512,69.9137,28.5517
90.8272,86.8281,74.8313,111.282,103.02,40.266
89.7686,89.5924,44.9174,67.6044,62.6972,25.2383
87.8298,90.9634,53.7572,80.7794,75.1534,30.6759
95.5875,93.6951,33.1467,53.912,49.4531,21.0477
90.2889,90.7314,59.329,90.3596,83.7215,34.1602
91.7363,92.2541,31.5191,49.0876,45.3602,18.8689
88.4996,91.9884,63.5915,96.4781,89.6799,36.9799
92.1396,89.6046,46.7243,71.5374,66.0592,26.7102
91.1422,91.5753,49.6025,76.5027,70.7716,29.1907
88.5966,91.0308,55.1483,83.1554,77.2821,31.5404
85.77,93.2506,77.8078,116.858,109.137,45.416
85.2175,90.0942,69.3637,107.514,99.8242,42.2156
92.7315,94.5351,74.1754,118.598,109.388,46.7154
90.3858,91.6938,54.8408,84.1784,77.9806,32.161
90.8567,91.5826,36.8425,56.7198,52.4966,21.6484
82.4364,92.0535,21.8907,31.8822,29.9426,12.2286
79.871,90.0041,82.2923,117.007,110.277,44.0697
91.4194,91.6297,76.7703,118.702,109.753,45.3193
91.241,95.0244,73.5335,116.774,107.989,46.278
81.856,79.0347,79.8232,107.893,101.381,35.6635
114.921,101.197,30.8102,70.7313,62.1971,29.873
90.8022,93.2111,59.0948,92.0507,85.2082,35.7506
90.4548,88.6431,72.1667,108.408,100.416,40.0411
89.9807,91.0638,72.2516,110.06,102.032,41.7605
91.203,99.5014,27.2345,44.857,41.492,18.5973
91.6157,96.667,44.4118,71.6183,66.1949,28.8464
92.4288,89.1063,39.1819,59.8948,55.2802,22.2397
92.5283,90.3458,77.652,119.901,110.637,45.1375
91.5608,90.525,13.1339,20.1595,18.6352,7.60397
95.7465,92.1583,74.2768,119.522,109.596,45.9344
93.2655,62.3511,43.4509,56.599,52.5887,14.8277
90.8638,93.997,45.5532,71.429,66.1119,27.9755
116.548,91.831,57.1477,118.038,103.444,45.8391
89.8779,93.4711,61.9389,95.9887,89.0037,37.384
91.8424,91.2459,75.1452,116.223,107.377,44.1873
91.3729,91.6359,28.7687,44.4679,41.1192,16.9786
95.1626,89.9869,32.6192,51.2528,47.0627,19.2215
92.3102,91.0041,72.7438,112.702,104.034,42.7354
91.8579,91.9255,41.9238,65.1875,60.224,24.9683
95.0645,90.8348,71.2907,112.699,103.497,42.6608
89.093,91.3352,25.7636,41.4906,38.2567,16.4634
89.0116,91.4523,52.7953,80.0847,74.3732,30.5164
91.9201,91.3563,51.0016,78.9948,72.9716,30.0696
91.074,91.1628,34.8954,53.6256,49.6146,20.3694
95.7312,89.3972,64.8168,101.815,93.3975,37.9382
82.9962,89.4869,63.5289,100.478,93.2345,40.3872
91.9992,93.6553,49.0065,77.3307,71.4236,30.1768
96.1486,91.9228,38.8056,62.6267,57.3716,24.0315
