# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dM_RC
XLabel=${\rm d}m_{\rm RC}$ [GeV]
YLabel=Events / 5 GeV
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dM_RC
RatioPlot=0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=bkgww240
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e+00	7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.000000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.100000e+01	1.939338e-05	1.939338e-05	1.939338e-05
1.100000e+01	1.200000e+01	1.939338e-05	1.939338e-05	1.939338e-05
1.200000e+01	1.300000e+01	3.878675e-05	2.742638e-05	2.742638e-05
1.300000e+01	1.400000e+01	3.878675e-05	2.742638e-05	2.742638e-05
1.400000e+01	1.500000e+01	1.939338e-05	1.939338e-05	1.939338e-05
1.500000e+01	1.600000e+01	9.696688e-05	4.336491e-05	4.336491e-05
1.600000e+01	1.700000e+01	5.818013e-05	3.359031e-05	3.359031e-05
1.700000e+01	1.800000e+01	1.357536e-04	5.131006e-05	5.131006e-05
