# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dR_lm_Recoil
XLabel=${\rm d}R(\ell^-, {\rm Recoil})$
YLabel=Events / 5 GeV
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dR_lm_Recoil
RatioPlot=0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=bkgww240
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
4.000000e-01	6.000000e-01	8.727020e-04	2.909007e-04	2.909007e-04
6.000000e-01	8.000000e-01	3.878675e-04	1.939338e-04	1.939338e-04
8.000000e-01	1.000000e+00	3.102941e-03	5.485276e-04	5.485276e-04
1.000000e+00	1.200000e+00	9.793655e-03	9.745051e-04	9.745051e-04
1.200000e+00	1.400000e+00	1.696921e-02	1.282751e-03	1.282751e-03
1.400000e+00	1.600000e+00	3.296874e-02	1.787981e-03	1.787981e-03
1.600000e+00	1.800000e+00	4.702894e-02	2.135474e-03	2.135474e-03
1.800000e+00	2.000000e+00	5.905285e-02	2.392942e-03	2.392942e-03
2.000000e+00	2.200000e+00	6.690715e-02	2.547112e-03	2.547112e-03
2.200000e+00	2.400000e+00	8.407030e-02	2.855177e-03	2.855177e-03
2.400000e+00	2.600000e+00	1.065666e-01	3.214566e-03	3.214566e-03
2.600000e+00	2.800000e+00	1.160694e-01	3.354830e-03	3.354830e-03
2.800000e+00	3.000000e+00	1.239237e-01	3.466481e-03	3.466481e-03
3.000000e+00	3.200000e+00	9.580330e-02	3.047908e-03	3.047908e-03
3.200000e+00	3.400000e+00	5.633775e-02	2.337284e-03	2.337284e-03
3.400000e+00	3.600000e+00	3.102940e-02	1.734596e-03	1.734596e-03
3.600000e+00	3.800000e+00	1.949035e-02	1.374743e-03	1.374743e-03
3.800000e+00	4.000000e+00	1.435110e-02	1.179653e-03	1.179653e-03
4.000000e+00	4.200000e+00	6.981615e-03	8.227913e-04	8.227913e-04
4.200000e+00	4.400000e+00	6.302850e-03	7.817720e-04	7.817720e-04
4.400000e+00	4.600000e+00	3.878676e-03	6.132724e-04	6.132724e-04
4.600000e+00	4.800000e+00	1.842371e-03	4.226688e-04	4.226688e-04
4.800000e+00	5.000000e+00	1.260569e-03	3.496191e-04	3.496191e-04
5.000000e+00	5.200000e+00	1.260569e-03	3.496191e-04	3.496191e-04
5.200000e+00	5.400000e+00	4.848344e-04	2.168245e-04	2.168245e-04
