# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mLSPmax
XLabel=$m_{\rm LSP}^{\rm max}$ [GeV]
YLabel=Events / 5 GeV
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mLSPmax
RatioPlot=0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=bkgww240
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	9.696688e-05	4.336491e-05	4.336491e-05
1.000000e+00	2.000000e+00	3.490808e-04	8.227913e-05	8.227913e-05
2.000000e+00	3.000000e+00	6.205881e-04	1.097055e-04	1.097055e-04
3.000000e+00	4.000000e+00	1.105422e-03	1.464168e-04	1.464168e-04
4.000000e+00	5.000000e+00	9.696689e-04	1.371319e-04	1.371319e-04
5.000000e+00	6.000000e+00	1.687224e-03	1.808894e-04	1.808894e-04
6.000000e+00	7.000000e+00	1.803584e-03	1.870230e-04	1.870230e-04
7.000000e+00	8.000000e+00	2.443566e-03	2.176901e-04	2.176901e-04
8.000000e+00	9.000000e+00	2.792646e-03	2.327205e-04	2.327205e-04
9.000000e+00	1.000000e+01	2.773253e-03	2.319111e-04	2.319111e-04
1.000000e+01	1.100000e+01	3.432628e-03	2.580121e-04	2.580121e-04
1.100000e+01	1.200000e+01	3.704135e-03	2.680218e-04	2.680218e-04
1.200000e+01	1.300000e+01	4.092003e-03	2.817051e-04	2.817051e-04
1.300000e+01	1.400000e+01	4.925918e-03	3.090796e-04	3.090796e-04
1.400000e+01	1.500000e+01	4.635017e-03	2.998143e-04	2.998143e-04
1.500000e+01	1.600000e+01	5.895587e-03	3.381350e-04	3.381350e-04
