# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mRCmin
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events / 5 GeV
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mRCmin
RatioPlot=0
Legend=1
LogY=0
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/Data/bkgww240.yoda/CEPC_SMUON/hist_mRCmin[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=bkgww240
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.878675e-05	2.742638e-05	2.742638e-05
1.000000e+00	2.000000e+00	1.357536e-04	5.131006e-05	5.131006e-05
2.000000e+00	3.000000e+00	1.551470e-04	5.485276e-05	5.485276e-05
3.000000e+00	4.000000e+00	2.521139e-04	6.992382e-05	6.992382e-05
4.000000e+00	5.000000e+00	3.296874e-04	7.996094e-05	7.996094e-05
5.000000e+00	6.000000e+00	3.684742e-04	8.453377e-05	8.453377e-05
6.000000e+00	7.000000e+00	5.042278e-04	9.888721e-05	9.888721e-05
7.000000e+00	8.000000e+00	5.042278e-04	9.888721e-05	9.888721e-05
8.000000e+00	9.000000e+00	7.175549e-04	1.179653e-04	1.179653e-04
9.000000e+00	1.000000e+01	8.920953e-04	1.315323e-04	1.315323e-04
1.000000e+01	1.100000e+01	8.339152e-04	1.271709e-04	1.271709e-04
1.100000e+01	1.200000e+01	9.502755e-04	1.357536e-04	1.357536e-04
1.200000e+01	1.300000e+01	9.308821e-04	1.343613e-04	1.343613e-04
1.300000e+01	1.400000e+01	1.066636e-03	1.438251e-04	1.438251e-04
1.400000e+01	1.500000e+01	1.376930e-03	1.634115e-04	1.634115e-04
1.500000e+01	1.600000e+01	1.279963e-03	1.575525e-04	1.575525e-04
1.600000e+01	1.700000e+01	1.396323e-03	1.645583e-04	1.645583e-04
1.700000e+01	1.800000e+01	1.318750e-03	1.599219e-04	1.599219e-04
1.800000e+01	1.900000e+01	1.512683e-03	1.712777e-04	1.712777e-04
1.900000e+01	2.000000e+01	1.454503e-03	1.679516e-04	1.679516e-04
2.000000e+01	2.100000e+01	1.648437e-03	1.787981e-04	1.787981e-04
2.100000e+01	2.200000e+01	1.629044e-03	1.777432e-04	1.777432e-04
2.200000e+01	2.300000e+01	1.726011e-03	1.829567e-04	1.829567e-04
2.300000e+01	2.400000e+01	1.609650e-03	1.766821e-04	1.766821e-04
2.400000e+01	2.500000e+01	2.249632e-03	2.088731e-04	2.088731e-04
2.500000e+01	2.600000e+01	2.365992e-03	2.142068e-04	2.142068e-04
2.600000e+01	2.700000e+01	1.939338e-03	1.939338e-04	1.939338e-04
2.700000e+01	2.800000e+01	2.094485e-03	2.015419e-04	2.015419e-04
2.800000e+01	2.900000e+01	1.881158e-03	1.910026e-04	1.910026e-04
2.900000e+01	3.000000e+01	1.978124e-03	1.958635e-04	1.958635e-04
3.000000e+01	3.100000e+01	2.288418e-03	2.106660e-04	2.106660e-04
3.100000e+01	3.200000e+01	2.191452e-03	2.061544e-04	2.061544e-04
3.200000e+01	3.300000e+01	2.210845e-03	2.070646e-04	2.070646e-04
3.300000e+01	3.400000e+01	2.404779e-03	2.159555e-04	2.159555e-04
3.400000e+01	3.500000e+01	2.559926e-03	2.228129e-04	2.228129e-04
3.500000e+01	3.600000e+01	2.676286e-03	2.278206e-04	2.278206e-04
3.600000e+01	3.700000e+01	2.172058e-03	2.052402e-04	2.052402e-04
3.700000e+01	3.800000e+01	2.249632e-03	2.088731e-04	2.088731e-04
3.800000e+01	3.900000e+01	2.288418e-03	2.106660e-04	2.106660e-04
3.900000e+01	4.000000e+01	2.482352e-03	2.194110e-04	2.194110e-04
4.000000e+01	4.100000e+01	2.482352e-03	2.194110e-04	2.194110e-04
4.100000e+01	4.200000e+01	2.365992e-03	2.142068e-04	2.142068e-04
4.200000e+01	4.300000e+01	2.579319e-03	2.236553e-04	2.236553e-04
4.300000e+01	4.400000e+01	3.083547e-03	2.445412e-04	2.445412e-04
4.400000e+01	4.500000e+01	2.579319e-03	2.236553e-04	2.236553e-04
4.500000e+01	4.600000e+01	2.850826e-03	2.351322e-04	2.351322e-04
4.600000e+01	4.700000e+01	2.618106e-03	2.253307e-04	2.253307e-04
4.700000e+01	4.800000e+01	2.967187e-03	2.398828e-04	2.398828e-04
4.800000e+01	4.900000e+01	2.559926e-03	2.228129e-04	2.228129e-04
4.900000e+01	5.000000e+01	2.618106e-03	2.253307e-04	2.253307e-04
5.000000e+01	5.100000e+01	2.792646e-03	2.327205e-04	2.327205e-04
5.100000e+01	5.200000e+01	3.219301e-03	2.498662e-04	2.498662e-04
5.200000e+01	5.300000e+01	2.521139e-03	2.211185e-04	2.211185e-04
5.300000e+01	5.400000e+01	3.083547e-03	2.445412e-04	2.445412e-04
