# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm[Weight_MERGING=0.000]
ScaledBy=2.35590882321545359e+03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	1.761645e+02	1.052784e+01	1.052784e+01
-9.000000e-01	-8.000000e-01	1.874894e+02	1.086097e+01	1.086097e+01
-8.000000e-01	-7.000000e-01	1.818270e+02	1.069570e+01	1.069570e+01
-7.000000e-01	-6.000000e-01	1.390442e+02	9.353122e+00	9.353122e+00
-6.000000e-01	-5.000000e-01	1.214277e+02	8.740557e+00	8.740557e+00
-5.000000e-01	-4.000000e-01	8.556564e+01	7.337193e+00	7.337193e+00
-4.000000e-01	-3.000000e-01	7.172414e+01	6.717581e+00	6.717581e+00
-3.000000e-01	-2.000000e-01	6.732002e+01	6.508072e+00	6.508072e+00
-2.000000e-01	-1.000000e-01	6.039927e+01	6.164475e+00	6.164475e+00
-1.000000e-01	0.000000e+00	3.774955e+01	4.873445e+00	4.873445e+00
0.000000e+00	1.000000e-01	3.900786e+01	4.954003e+00	4.954003e+00
1.000000e-01	2.000000e-01	2.768300e+01	4.173369e+00	4.173369e+00
2.000000e-01	3.000000e-01	2.957048e+01	4.313297e+00	4.313297e+00
3.000000e-01	4.000000e-01	2.076225e+01	3.614244e+00	3.614244e+00
4.000000e-01	5.000000e-01	1.950393e+01	3.503010e+00	3.503010e+00
5.000000e-01	6.000000e-01	1.447066e+01	3.017341e+00	3.017341e+00
6.000000e-01	7.000000e-01	1.572898e+01	3.145795e+00	3.145795e+00
7.000000e-01	8.000000e-01	1.321234e+01	2.883169e+00	2.883169e+00
8.000000e-01	9.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
9.000000e-01	1.000000e+00	6.920750e+00	2.086685e+00	2.086685e+00
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalm
ScaledBy=1.05646135569985300e+00
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	1.761645e+02	1.052784e+01	1.052784e+01
-9.000000e-01	-8.000000e-01	1.874894e+02	1.086097e+01	1.086097e+01
-8.000000e-01	-7.000000e-01	1.818270e+02	1.069570e+01	1.069570e+01
-7.000000e-01	-6.000000e-01	1.390442e+02	9.353122e+00	9.353122e+00
-6.000000e-01	-5.000000e-01	1.214277e+02	8.740557e+00	8.740557e+00
-5.000000e-01	-4.000000e-01	8.556564e+01	7.337193e+00	7.337193e+00
-4.000000e-01	-3.000000e-01	7.172414e+01	6.717581e+00	6.717581e+00
-3.000000e-01	-2.000000e-01	6.732002e+01	6.508072e+00	6.508072e+00
-2.000000e-01	-1.000000e-01	6.039927e+01	6.164475e+00	6.164475e+00
-1.000000e-01	0.000000e+00	3.774955e+01	4.873445e+00	4.873445e+00
0.000000e+00	1.000000e-01	3.900786e+01	4.954003e+00	4.954003e+00
1.000000e-01	2.000000e-01	2.768300e+01	4.173369e+00	4.173369e+00
2.000000e-01	3.000000e-01	2.957048e+01	4.313297e+00	4.313297e+00
3.000000e-01	4.000000e-01	2.076225e+01	3.614244e+00	3.614244e+00
4.000000e-01	5.000000e-01	1.950393e+01	3.503010e+00	3.503010e+00
5.000000e-01	6.000000e-01	1.447066e+01	3.017341e+00	3.017341e+00
6.000000e-01	7.000000e-01	1.572898e+01	3.145795e+00	3.145795e+00
7.000000e-01	8.000000e-01	1.321234e+01	2.883169e+00	2.883169e+00
8.000000e-01	9.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
9.000000e-01	1.000000e+00	6.920750e+00	2.086685e+00	2.086685e+00
# END HISTO1D

