# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp[Weight_MERGING=0.000]
ScaledBy=2.35590882321545359e+03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	8.179068e+00	2.268465e+00	2.268465e+00
-9.000000e-01	-8.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
-8.000000e-01	-7.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
-7.000000e-01	-6.000000e-01	2.013309e+01	3.559062e+00	3.559062e+00
-6.000000e-01	-5.000000e-01	1.384150e+01	2.951018e+00	2.951018e+00
-5.000000e-01	-4.000000e-01	1.509982e+01	3.082237e+00	3.082237e+00
-4.000000e-01	-3.000000e-01	2.202057e+01	3.722155e+00	3.722155e+00
-3.000000e-01	-2.000000e-01	2.264973e+01	3.774954e+00	3.774954e+00
-2.000000e-01	-1.000000e-01	2.202057e+01	3.722155e+00	3.722155e+00
-1.000000e-01	0.000000e+00	3.208711e+01	4.493095e+00	4.493095e+00
0.000000e+00	1.000000e-01	4.404114e+01	5.263922e+00	5.263922e+00
1.000000e-01	2.000000e-01	5.914095e+01	6.099924e+00	6.099924e+00
2.000000e-01	3.000000e-01	6.920750e+01	6.598676e+00	6.598676e+00
3.000000e-01	4.000000e-01	7.990320e+01	7.090263e+00	7.090263e+00
4.000000e-01	5.000000e-01	1.145070e+02	8.487820e+00	8.487820e+00
5.000000e-01	6.000000e-01	1.195402e+02	8.672360e+00	8.672360e+00
6.000000e-01	7.000000e-01	1.440774e+02	9.520905e+00	9.520905e+00
7.000000e-01	8.000000e-01	1.767937e+02	1.054663e+01	1.054663e+01
8.000000e-01	9.000000e-01	1.780520e+02	1.058409e+01	1.058409e+01
9.000000e-01	1.000000e+00	1.635814e+02	1.014489e+01	1.014489e+01
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_CosThetalp
ScaledBy=1.05646135569985300e+00
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	8.179068e+00	2.268465e+00	2.268465e+00
-9.000000e-01	-8.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
-8.000000e-01	-7.000000e-01	1.069570e+01	2.594089e+00	2.594089e+00
-7.000000e-01	-6.000000e-01	2.013309e+01	3.559062e+00	3.559062e+00
-6.000000e-01	-5.000000e-01	1.384150e+01	2.951018e+00	2.951018e+00
-5.000000e-01	-4.000000e-01	1.509982e+01	3.082237e+00	3.082237e+00
-4.000000e-01	-3.000000e-01	2.202057e+01	3.722155e+00	3.722155e+00
-3.000000e-01	-2.000000e-01	2.264973e+01	3.774954e+00	3.774954e+00
-2.000000e-01	-1.000000e-01	2.202057e+01	3.722155e+00	3.722155e+00
-1.000000e-01	0.000000e+00	3.208711e+01	4.493095e+00	4.493095e+00
0.000000e+00	1.000000e-01	4.404114e+01	5.263922e+00	5.263922e+00
1.000000e-01	2.000000e-01	5.914095e+01	6.099924e+00	6.099924e+00
2.000000e-01	3.000000e-01	6.920750e+01	6.598676e+00	6.598676e+00
3.000000e-01	4.000000e-01	7.990320e+01	7.090263e+00	7.090263e+00
4.000000e-01	5.000000e-01	1.145070e+02	8.487820e+00	8.487820e+00
5.000000e-01	6.000000e-01	1.195402e+02	8.672360e+00	8.672360e+00
6.000000e-01	7.000000e-01	1.440774e+02	9.520905e+00	9.520905e+00
7.000000e-01	8.000000e-01	1.767937e+02	1.054663e+01	1.054663e+01
8.000000e-01	9.000000e-01	1.780520e+02	1.058409e+01	1.058409e+01
9.000000e-01	1.000000e+00	1.635814e+02	1.014489e+01	1.014489e+01
# END HISTO1D

