# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss[Weight_MERGING=0.000]
ScaledBy=3.40621111065717287e+03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.500000e+01	8.914554e-01	1.273508e-01	1.273508e-01
2.500000e+01	3.000000e+01	1.892069e+00	1.855326e-01	1.855326e-01
3.000000e+01	3.500000e+01	2.419664e+00	2.098115e-01	2.098115e-01
3.500000e+01	4.000000e+01	3.147384e+00	2.392911e-01	2.392911e-01
4.000000e+01	4.500000e+01	3.201962e+00	2.413570e-01	2.413570e-01
4.500000e+01	5.000000e+01	3.511242e+00	2.527448e-01	2.527448e-01
5.000000e+01	5.500000e+01	3.129190e+00	2.385986e-01	2.385986e-01
5.500000e+01	6.000000e+01	2.528822e+00	2.144920e-01	2.144920e-01
6.000000e+01	6.500000e+01	2.164964e+00	1.984618e-01	1.984618e-01
6.500000e+01	7.000000e+01	1.510016e+00	1.657458e-01	1.657458e-01
7.000000e+01	7.500000e+01	9.460344e-01	1.311914e-01	1.311914e-01
7.500000e+01	8.000000e+01	5.094032e-01	9.626815e-02	9.626815e-02
8.000000e+01	8.500000e+01	3.820524e-01	8.337064e-02	8.337064e-02
8.500000e+01	9.000000e+01	1.273508e-01	4.813407e-02	4.813407e-02
9.000000e+01	9.500000e+01	7.277188e-02	3.638594e-02	3.638594e-02
9.500000e+01	1.000000e+02	3.638594e-02	2.572874e-02	2.572874e-02
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_ETmiss
ScaledBy=1.52744892854276193e+00
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
5.000000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+01	2.500000e+01	8.914554e-01	1.273508e-01	1.273508e-01
2.500000e+01	3.000000e+01	1.892069e+00	1.855326e-01	1.855326e-01
3.000000e+01	3.500000e+01	2.419664e+00	2.098115e-01	2.098115e-01
3.500000e+01	4.000000e+01	3.147384e+00	2.392911e-01	2.392911e-01
4.000000e+01	4.500000e+01	3.201962e+00	2.413570e-01	2.413570e-01
4.500000e+01	5.000000e+01	3.511242e+00	2.527448e-01	2.527448e-01
5.000000e+01	5.500000e+01	3.129190e+00	2.385986e-01	2.385986e-01
5.500000e+01	6.000000e+01	2.528822e+00	2.144920e-01	2.144920e-01
6.000000e+01	6.500000e+01	2.164964e+00	1.984618e-01	1.984618e-01
6.500000e+01	7.000000e+01	1.510016e+00	1.657458e-01	1.657458e-01
7.000000e+01	7.500000e+01	9.460344e-01	1.311914e-01	1.311914e-01
7.500000e+01	8.000000e+01	5.094032e-01	9.626815e-02	9.626815e-02
8.000000e+01	8.500000e+01	3.820524e-01	8.337064e-02	8.337064e-02
8.500000e+01	9.000000e+01	1.273508e-01	4.813407e-02	4.813407e-02
9.000000e+01	9.500000e+01	7.277188e-02	3.638594e-02	3.638594e-02
9.500000e+01	1.000000e+02	3.638594e-02	2.572874e-02	2.572874e-02
# END HISTO1D

