# BEGIN PLOT
LegendOnly=//home/buding/Workshop/mRC-variables/Code/ww.yoda/CEPC_SMUON/hist_dR_lp_Recoil
DrawOnly=//home/buding/Workshop/mRC-variables/Code/ww.yoda/CEPC_SMUON/hist_dR_lp_Recoil
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/mRC-variables/Code/ww.yoda/CEPC_SMUON/hist_dR_lp_Recoil
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/mRC-variables/Code/ww.yoda/CEPC_SMUON/hist_dR_lp_Recoil
ScaledBy=5.04999999999866304e+02
Title=ww
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	1.077477e+03	7.618917e+02	7.618917e+02
2.000000e-01	4.000000e-01	2.693694e+03	1.204657e+03	1.204657e+03
4.000000e-01	6.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
6.000000e-01	8.000000e-01	2.693694e+03	1.204657e+03	1.204657e+03
8.000000e-01	1.000000e+00	1.508469e+04	2.850738e+03	2.850738e+03
1.000000e+00	1.200000e+00	4.794776e+04	5.082453e+03	5.082453e+03
1.200000e+00	1.400000e+00	1.050541e+05	7.523078e+03	7.523078e+03
1.400000e+00	1.600000e+00	1.756288e+05	9.727182e+03	9.727182e+03
1.600000e+00	1.800000e+00	2.348901e+05	1.124920e+04	1.124920e+04
1.800000e+00	2.000000e+00	3.103136e+05	1.292973e+04	1.292973e+04
2.000000e+00	2.200000e+00	4.067478e+05	1.480307e+04	1.480307e+04
2.200000e+00	2.400000e+00	4.703190e+05	1.591788e+04	1.591788e+04
2.400000e+00	2.600000e+00	5.597495e+05	1.736545e+04	1.736545e+04
2.600000e+00	2.800000e+00	6.502575e+05	1.871681e+04	1.871681e+04
2.800000e+00	3.000000e+00	6.529515e+05	1.875554e+04	1.875554e+04
3.000000e+00	3.200000e+00	5.198830e+05	1.673562e+04	1.673562e+04
3.200000e+00	3.400000e+00	3.108523e+05	1.294095e+04	1.294095e+04
3.400000e+00	3.600000e+00	1.810162e+05	9.875246e+03	9.875246e+03
3.600000e+00	3.800000e+00	1.023604e+05	7.426002e+03	7.426002e+03
3.800000e+00	4.000000e+00	7.434595e+04	6.328748e+03	6.328748e+03
4.000000e+00	4.200000e+00	4.471532e+04	4.908144e+03	4.908144e+03
4.200000e+00	4.400000e+00	2.855315e+04	3.922078e+03	3.922078e+03
4.400000e+00	4.600000e+00	1.454595e+04	2.799369e+03	2.799369e+03
4.600000e+00	4.800000e+00	1.077477e+04	2.409313e+03	2.409313e+03
4.800000e+00	5.000000e+00	7.003605e+03	1.942450e+03	1.942450e+03
5.000000e+00	5.200000e+00	3.771171e+03	1.425369e+03	1.425369e+03
5.200000e+00	5.400000e+00	2.154955e+03	1.077478e+03	1.077478e+03
5.400000e+00	5.600000e+00	3.771172e+03	1.425369e+03	1.425369e+03
5.600000e+00	5.800000e+00	1.077477e+03	7.618917e+02	7.618917e+02
5.800000e+00	6.000000e+00	1.616216e+03	9.331230e+02	9.331230e+02
6.000000e+00	6.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.200000e+00	6.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.400000e+00	6.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.600000e+00	6.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
6.800000e+00	7.000000e+00	5.387390e+02	5.387388e+02	5.387388e+02
7.000000e+00	7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.200000e+00	7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.400000e+00	7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.600000e+00	7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7.800000e+00	8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.000000e+00	8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.200000e+00	8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.040000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.040000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.260000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+01	1.280000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.280000e+01	1.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+01	1.320000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+01	1.340000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.340000e+01	1.360000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.360000e+01	1.380000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.420000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.420000e+01	1.440000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+01	1.460000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.460000e+01	1.480000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.480000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.520000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.520000e+01	1.540000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.540000e+01	1.560000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+01	1.580000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.580000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.620000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+01	1.640000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.640000e+01	1.660000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.660000e+01	1.680000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.720000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720000e+01	1.740000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+01	1.760000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+01	1.780000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.780000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.820000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.820000e+01	1.840000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+01	1.860000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.860000e+01	1.880000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.880000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	1.920000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+01	1.940000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.940000e+01	1.960000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+01	1.980000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

