# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2[Weight_MERGING=0.000]
ScaledBy=2.35590882321545359e+03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.000726e+00	1.586679e-01	1.586679e-01
5.000000e+00	1.000000e+01	2.000726e+00	1.586679e-01	1.586679e-01
1.000000e+01	1.500000e+01	2.076224e+00	1.616339e-01	1.616339e-01
1.500000e+01	2.000000e+01	2.101392e+00	1.626105e-01	1.626105e-01
2.000000e+01	2.500000e+01	1.950393e+00	1.566594e-01	1.566594e-01
2.500000e+01	3.000000e+01	2.176890e+00	1.655059e-01	1.655059e-01
3.000000e+01	3.500000e+01	2.415970e+00	1.743577e-01	1.743577e-01
3.500000e+01	4.000000e+01	2.428554e+00	1.748111e-01	1.748111e-01
4.000000e+01	4.500000e+01	2.390804e+00	1.734472e-01	1.734472e-01
4.500000e+01	5.000000e+01	2.076224e+00	1.616339e-01	1.616339e-01
5.000000e+01	5.500000e+01	1.686146e+00	1.456609e-01	1.456609e-01
5.500000e+01	6.000000e+01	1.283485e+00	1.270839e-01	1.270839e-01
6.000000e+01	6.500000e+01	1.006655e+00	1.125474e-01	1.125474e-01
6.500000e+01	7.000000e+01	5.914096e-01	8.626594e-02	8.626594e-02
7.000000e+01	7.500000e+01	2.139140e-01	5.188179e-02	5.188179e-02
7.500000e+01	8.000000e+01	8.808228e-02	3.329197e-02	3.329197e-02
8.000000e+01	8.500000e+01	1.258318e-02	1.258318e-02	1.258318e-02
8.500000e+01	9.000000e+01	2.516636e-02	1.779531e-02	1.779531e-02
9.000000e+01	9.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.150000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.250000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/hist_mT2
ScaledBy=1.05646135569985300e+00
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	5.000000e+00	2.000726e+00	1.586679e-01	1.586679e-01
5.000000e+00	1.000000e+01	2.000726e+00	1.586679e-01	1.586679e-01
1.000000e+01	1.500000e+01	2.076224e+00	1.616339e-01	1.616339e-01
1.500000e+01	2.000000e+01	2.101392e+00	1.626105e-01	1.626105e-01
2.000000e+01	2.500000e+01	1.950393e+00	1.566594e-01	1.566594e-01
2.500000e+01	3.000000e+01	2.176890e+00	1.655059e-01	1.655059e-01
3.000000e+01	3.500000e+01	2.415970e+00	1.743577e-01	1.743577e-01
3.500000e+01	4.000000e+01	2.428554e+00	1.748111e-01	1.748111e-01
4.000000e+01	4.500000e+01	2.390804e+00	1.734472e-01	1.734472e-01
4.500000e+01	5.000000e+01	2.076224e+00	1.616339e-01	1.616339e-01
5.000000e+01	5.500000e+01	1.686146e+00	1.456609e-01	1.456609e-01
5.500000e+01	6.000000e+01	1.283485e+00	1.270839e-01	1.270839e-01
6.000000e+01	6.500000e+01	1.006655e+00	1.125474e-01	1.125474e-01
6.500000e+01	7.000000e+01	5.914096e-01	8.626594e-02	8.626594e-02
7.000000e+01	7.500000e+01	2.139140e-01	5.188179e-02	5.188179e-02
7.500000e+01	8.000000e+01	8.808228e-02	3.329197e-02	3.329197e-02
8.000000e+01	8.500000e+01	1.258318e-02	1.258318e-02	1.258318e-02
8.500000e+01	9.000000e+01	2.516636e-02	1.779531e-02	1.779531e-02
9.000000e+01	9.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
9.500000e+01	1.000000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+02	1.050000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.050000e+02	1.100000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+02	1.150000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.150000e+02	1.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+02	1.250000e+02	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

