# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm[Weight_MERGING=0.000]
ScaledBy=1.77634532118884145e+01
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	1.328273e+00	7.937951e-02	7.937951e-02
-9.000000e-01	-8.000000e-01	1.413662e+00	8.189126e-02	8.189126e-02
-8.000000e-01	-7.000000e-01	1.370968e+00	8.064516e-02	8.064516e-02
-7.000000e-01	-6.000000e-01	1.048387e+00	7.052215e-02	7.052215e-02
-6.000000e-01	-5.000000e-01	9.155598e-01	6.590344e-02	6.590344e-02
-5.000000e-01	-4.000000e-01	6.451613e-01	5.532212e-02	5.532212e-02
-4.000000e-01	-3.000000e-01	5.407970e-01	5.065027e-02	5.065027e-02
-3.000000e-01	-2.000000e-01	5.075901e-01	4.907059e-02	4.907059e-02
-2.000000e-01	-1.000000e-01	4.554080e-01	4.647988e-02	4.647988e-02
-1.000000e-01	0.000000e+00	2.846300e-01	3.674557e-02	3.674557e-02
0.000000e+00	1.000000e-01	2.941176e-01	3.735298e-02	3.735298e-02
1.000000e-01	2.000000e-01	2.087287e-01	3.146703e-02	3.146703e-02
2.000000e-01	3.000000e-01	2.229602e-01	3.252208e-02	3.252208e-02
3.000000e-01	4.000000e-01	1.565465e-01	2.725125e-02	2.725125e-02
4.000000e-01	5.000000e-01	1.470588e-01	2.641254e-02	2.641254e-02
5.000000e-01	6.000000e-01	1.091082e-01	2.275062e-02	2.275062e-02
6.000000e-01	7.000000e-01	1.185958e-01	2.371917e-02	2.371917e-02
7.000000e-01	8.000000e-01	9.962049e-02	2.173897e-02	2.173897e-02
8.000000e-01	9.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
9.000000e-01	1.000000e+00	5.218216e-02	1.573352e-02	1.573352e-02
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalm
ScaledBy=7.96567408603245097e-03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	1.328273e+00	7.937951e-02	7.937951e-02
-9.000000e-01	-8.000000e-01	1.413662e+00	8.189126e-02	8.189126e-02
-8.000000e-01	-7.000000e-01	1.370968e+00	8.064516e-02	8.064516e-02
-7.000000e-01	-6.000000e-01	1.048387e+00	7.052215e-02	7.052215e-02
-6.000000e-01	-5.000000e-01	9.155598e-01	6.590344e-02	6.590344e-02
-5.000000e-01	-4.000000e-01	6.451613e-01	5.532212e-02	5.532212e-02
-4.000000e-01	-3.000000e-01	5.407970e-01	5.065027e-02	5.065027e-02
-3.000000e-01	-2.000000e-01	5.075901e-01	4.907059e-02	4.907059e-02
-2.000000e-01	-1.000000e-01	4.554080e-01	4.647988e-02	4.647988e-02
-1.000000e-01	0.000000e+00	2.846300e-01	3.674557e-02	3.674557e-02
0.000000e+00	1.000000e-01	2.941176e-01	3.735298e-02	3.735298e-02
1.000000e-01	2.000000e-01	2.087287e-01	3.146703e-02	3.146703e-02
2.000000e-01	3.000000e-01	2.229602e-01	3.252208e-02	3.252208e-02
3.000000e-01	4.000000e-01	1.565465e-01	2.725125e-02	2.725125e-02
4.000000e-01	5.000000e-01	1.470588e-01	2.641254e-02	2.641254e-02
5.000000e-01	6.000000e-01	1.091082e-01	2.275062e-02	2.275062e-02
6.000000e-01	7.000000e-01	1.185958e-01	2.371917e-02	2.371917e-02
7.000000e-01	8.000000e-01	9.962049e-02	2.173897e-02	2.173897e-02
8.000000e-01	9.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
9.000000e-01	1.000000e+00	5.218216e-02	1.573352e-02	1.573352e-02
# END HISTO1D

