# BEGIN PLOT
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp
RatioPlot=1
LogY=1
RatioPlotYLabel=Ratio
Legend=1
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp[Weight_MERGING=0.000]
ScaledBy=1.77634532118884145e+01
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	6.166983e-02	1.710413e-02	1.710413e-02
-9.000000e-01	-8.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
-8.000000e-01	-7.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
-7.000000e-01	-6.000000e-01	1.518027e-01	2.683517e-02	2.683517e-02
-6.000000e-01	-5.000000e-01	1.043643e-01	2.225055e-02	2.225055e-02
-5.000000e-01	-4.000000e-01	1.138520e-01	2.323994e-02	2.323994e-02
-4.000000e-01	-3.000000e-01	1.660342e-01	2.806489e-02	2.806489e-02
-3.000000e-01	-2.000000e-01	1.707780e-01	2.846300e-02	2.846300e-02
-2.000000e-01	-1.000000e-01	1.660342e-01	2.806489e-02	2.806489e-02
-1.000000e-01	0.000000e+00	2.419355e-01	3.387775e-02	3.387775e-02
0.000000e+00	1.000000e-01	3.320683e-01	3.968976e-02	3.968976e-02
1.000000e-01	2.000000e-01	4.459203e-01	4.599316e-02	4.599316e-02
2.000000e-01	3.000000e-01	5.218216e-01	4.975374e-02	4.975374e-02
3.000000e-01	4.000000e-01	6.024668e-01	5.346028e-02	5.346028e-02
4.000000e-01	5.000000e-01	8.633776e-01	6.399780e-02	6.399780e-02
5.000000e-01	6.000000e-01	9.013283e-01	6.538923e-02	6.538923e-02
6.000000e-01	7.000000e-01	1.086338e+00	7.178722e-02	7.178722e-02
7.000000e-01	8.000000e-01	1.333017e+00	7.952113e-02	7.952113e-02
8.000000e-01	9.000000e-01	1.342505e+00	7.980362e-02	7.980362e-02
9.000000e-01	1.000000e+00	1.233397e+00	7.649201e-02	7.649201e-02
# END HISTO1D


# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp
LineColor=red
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/Code/bkg2l2I.yoda/CEPC_SMUON/normlizedhist_CosThetalp
ScaledBy=7.96567408603245097e-03
Title=bkg2l2I
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.000000e-01	6.166983e-02	1.710413e-02	1.710413e-02
-9.000000e-01	-8.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
-8.000000e-01	-7.000000e-01	8.064516e-02	1.955933e-02	1.955933e-02
-7.000000e-01	-6.000000e-01	1.518027e-01	2.683517e-02	2.683517e-02
-6.000000e-01	-5.000000e-01	1.043643e-01	2.225055e-02	2.225055e-02
-5.000000e-01	-4.000000e-01	1.138520e-01	2.323994e-02	2.323994e-02
-4.000000e-01	-3.000000e-01	1.660342e-01	2.806489e-02	2.806489e-02
-3.000000e-01	-2.000000e-01	1.707780e-01	2.846300e-02	2.846300e-02
-2.000000e-01	-1.000000e-01	1.660342e-01	2.806489e-02	2.806489e-02
-1.000000e-01	0.000000e+00	2.419355e-01	3.387775e-02	3.387775e-02
0.000000e+00	1.000000e-01	3.320683e-01	3.968976e-02	3.968976e-02
1.000000e-01	2.000000e-01	4.459203e-01	4.599316e-02	4.599316e-02
2.000000e-01	3.000000e-01	5.218216e-01	4.975374e-02	4.975374e-02
3.000000e-01	4.000000e-01	6.024668e-01	5.346028e-02	5.346028e-02
4.000000e-01	5.000000e-01	8.633776e-01	6.399780e-02	6.399780e-02
5.000000e-01	6.000000e-01	9.013283e-01	6.538923e-02	6.538923e-02
6.000000e-01	7.000000e-01	1.086338e+00	7.178722e-02	7.178722e-02
7.000000e-01	8.000000e-01	1.333017e+00	7.952113e-02	7.952113e-02
8.000000e-01	9.000000e-01	1.342505e+00	7.980362e-02	7.980362e-02
9.000000e-01	1.000000e+00	1.233397e+00	7.649201e-02	7.649201e-02
# END HISTO1D

