# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
DrawOnly=//home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
RatioPlotReference=//home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80330_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000]
ScaledBy=3.15620275442045880e+05
Title=80330_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.298894e+04	1.432462e+02	1.432462e+02
7.520000e+01	7.540000e+01	3.278303e+04	1.427983e+02	1.427983e+02
7.540000e+01	7.560000e+01	3.346852e+04	1.442836e+02	1.442836e+02
7.560000e+01	7.580000e+01	3.368993e+04	1.447601e+02	1.447601e+02
7.580000e+01	7.600000e+01	3.373101e+04	1.448484e+02	1.448484e+02
7.600000e+01	7.620000e+01	3.437664e+04	1.462280e+02	1.462280e+02
7.620000e+01	7.640000e+01	3.438845e+04	1.462531e+02	1.462531e+02
7.640000e+01	7.660000e+01	3.480026e+04	1.471263e+02	1.471263e+02
7.660000e+01	7.680000e+01	3.509818e+04	1.477546e+02	1.477546e+02
7.680000e+01	7.700000e+01	3.562874e+04	1.488672e+02	1.488672e+02
7.700000e+01	7.720000e+01	3.594349e+04	1.495233e+02	1.495233e+02
7.720000e+01	7.740000e+01	3.651511e+04	1.507076e+02	1.507076e+02
7.740000e+01	7.760000e+01	3.699593e+04	1.516966e+02	1.516966e+02
7.760000e+01	7.780000e+01	3.728330e+04	1.522846e+02	1.522846e+02
7.780000e+01	7.800000e+01	3.819826e+04	1.541419e+02	1.541419e+02
7.800000e+01	7.820000e+01	3.878546e+04	1.553221e+02	1.553221e+02
7.820000e+01	7.840000e+01	3.951692e+04	1.567799e+02	1.567799e+02
7.840000e+01	7.860000e+01	4.020176e+04	1.581325e+02	1.581325e+02
7.860000e+01	7.880000e+01	4.103898e+04	1.597707e+02	1.597707e+02
7.880000e+01	7.900000e+01	4.168838e+04	1.610298e+02	1.610298e+02
7.900000e+01	7.920000e+01	4.245221e+04	1.624984e+02	1.624984e+02
7.920000e+01	7.940000e+01	4.318182e+04	1.638888e+02	1.638888e+02
7.940000e+01	7.960000e+01	4.356624e+04	1.646167e+02	1.646167e+02
7.960000e+01	7.980000e+01	4.367008e+04	1.648127e+02	1.648127e+02
7.980000e+01	8.000000e+01	4.278747e+04	1.631387e+02	1.631387e+02
8.000000e+01	8.020000e+01	4.067575e+04	1.590621e+02	1.590621e+02
8.020000e+01	8.040000e+01	3.788602e+04	1.535106e+02	1.535106e+02
8.040000e+01	8.060000e+01	3.382555e+04	1.450512e+02	1.450512e+02
8.060000e+01	8.080000e+01	2.922640e+04	1.348300e+02	1.348300e+02
8.080000e+01	8.100000e+01	2.528909e+04	1.254196e+02	1.254196e+02
8.100000e+01	8.120000e+01	2.117882e+04	1.147756e+02	1.147756e+02
8.120000e+01	8.140000e+01	1.808871e+04	1.060726e+02	1.060726e+02
8.140000e+01	8.160000e+01	1.538169e+04	9.781394e+01	9.781394e+01
8.160000e+01	8.180000e+01	1.326623e+04	9.083903e+01	9.083903e+01
8.180000e+01	8.200000e+01	1.165895e+04	8.515860e+01	8.515860e+01
8.200000e+01	8.220000e+01	1.019474e+04	7.963182e+01	7.963182e+01
8.220000e+01	8.240000e+01	9.009175e+03	7.485843e+01	7.485843e+01
8.240000e+01	8.260000e+01	7.928770e+03	7.022662e+01	7.022662e+01
8.260000e+01	8.280000e+01	7.259485e+03	6.719728e+01	6.719728e+01
