# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80380_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=1.59399812523504492e-01
Title=80380_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.942332e-03	3.550499e-05	3.550499e-05
7.520000e+01	7.540000e+01	4.171598e-03	3.652278e-05	3.652278e-05
7.540000e+01	7.560000e+01	4.439882e-03	3.767892e-05	3.767892e-05
7.560000e+01	7.580000e+01	4.647085e-03	3.854810e-05	3.854810e-05
7.580000e+01	7.600000e+01	4.899064e-03	3.957943e-05	3.957943e-05
7.600000e+01	7.620000e+01	5.246315e-03	4.095810e-05	4.095810e-05
7.620000e+01	7.640000e+01	5.588785e-03	4.227383e-05	4.227383e-05
7.640000e+01	7.660000e+01	5.872100e-03	4.333211e-05	4.333211e-05
7.660000e+01	7.680000e+01	6.376675e-03	4.515543e-05	4.515543e-05
7.680000e+01	7.700000e+01	6.745680e-03	4.644357e-05	4.644357e-05
7.700000e+01	7.720000e+01	7.223400e-03	4.805997e-05	4.805997e-05
7.720000e+01	7.740000e+01	7.854300e-03	5.011489e-05	5.011489e-05
7.740000e+01	7.760000e+01	8.463760e-03	5.202290e-05	5.202290e-05
7.760000e+01	7.780000e+01	9.200805e-03	5.424076e-05	5.424076e-05
7.780000e+01	7.800000e+01	9.992545e-03	5.652637e-05	5.652637e-05
7.800000e+01	7.820000e+01	1.088468e-02	5.899580e-05	5.899580e-05
7.820000e+01	7.840000e+01	1.206331e-02	6.210779e-05	6.210779e-05
7.840000e+01	7.860000e+01	1.335417e-02	6.534631e-05	6.534631e-05
7.860000e+01	7.880000e+01	1.502332e-02	6.930997e-05	6.930997e-05
7.880000e+01	7.900000e+01	1.693965e-02	7.359781e-05	7.359781e-05
7.900000e+01	7.920000e+01	1.883650e-02	7.760917e-05	7.760917e-05
7.920000e+01	7.940000e+01	2.160434e-02	8.311575e-05	8.311575e-05
7.940000e+01	7.960000e+01	2.484255e-02	8.912731e-05	8.912731e-05
7.960000e+01	7.980000e+01	2.856425e-02	9.557059e-05	9.557059e-05
7.980000e+01	8.000000e+01	3.266038e-02	1.021935e-04	1.021935e-04
8.000000e+01	8.020000e+01	3.727743e-02	1.091782e-04	1.091782e-04
8.020000e+01	8.040000e+01	4.143115e-02	1.151003e-04	1.151003e-04
8.040000e+01	8.060000e+01	4.499647e-02	1.199505e-04	1.199505e-04
8.060000e+01	8.080000e+01	4.773329e-02	1.235445e-04	1.235445e-04
8.080000e+01	8.100000e+01	4.901104e-02	1.251871e-04	1.251871e-04
8.100000e+01	8.120000e+01	4.971518e-02	1.260832e-04	1.260832e-04
8.120000e+01	8.140000e+01	4.960164e-02	1.259392e-04	1.259392e-04
8.140000e+01	8.160000e+01	4.878691e-02	1.249006e-04	1.249006e-04
8.160000e+01	8.180000e+01	4.787176e-02	1.237236e-04	1.237236e-04
8.180000e+01	8.200000e+01	4.704005e-02	1.226441e-04	1.226441e-04
8.200000e+01	8.220000e+01	4.580194e-02	1.210194e-04	1.210194e-04
8.220000e+01	8.240000e+01	4.498497e-02	1.199352e-04	1.199352e-04
