# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=3.15620296358300897e+05
Title=80390_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.963655e+03	7.113243e+01	7.113243e+01
7.520000e+01	7.540000e+01	8.205095e+03	7.220268e+01	7.220268e+01
7.540000e+01	7.560000e+01	8.836030e+03	7.492735e+01	7.492735e+01
7.560000e+01	7.580000e+01	9.256640e+03	7.668994e+01	7.668994e+01
7.580000e+01	7.600000e+01	9.723010e+03	7.859816e+01	7.859816e+01
7.600000e+01	7.620000e+01	1.039331e+04	8.126229e+01	8.126229e+01
7.620000e+01	7.640000e+01	1.108522e+04	8.392360e+01	8.392360e+01
7.640000e+01	7.660000e+01	1.172314e+04	8.630459e+01	8.630459e+01
7.660000e+01	7.680000e+01	1.246715e+04	8.900115e+01	8.900115e+01
7.680000e+01	7.700000e+01	1.330645e+04	9.194815e+01	9.194815e+01
7.700000e+01	7.720000e+01	1.435862e+04	9.551427e+01	9.551427e+01
7.720000e+01	7.740000e+01	1.549591e+04	9.922482e+01	9.922482e+01
7.740000e+01	7.760000e+01	1.668725e+04	1.029684e+02	1.029684e+02
7.760000e+01	7.780000e+01	1.828900e+04	1.077971e+02	1.077971e+02
7.780000e+01	7.800000e+01	1.984882e+04	1.122999e+02	1.122999e+02
7.800000e+01	7.820000e+01	2.179369e+04	1.176732e+02	1.176732e+02
7.820000e+01	7.840000e+01	2.400223e+04	1.234917e+02	1.234917e+02
7.840000e+01	7.860000e+01	2.649602e+04	1.297484e+02	1.297484e+02
7.860000e+01	7.880000e+01	2.971353e+04	1.374008e+02	1.374008e+02
7.880000e+01	7.900000e+01	3.301486e+04	1.448327e+02	1.448327e+02
7.900000e+01	7.920000e+01	3.732838e+04	1.540038e+02	1.540038e+02
7.920000e+01	7.940000e+01	4.275502e+04	1.648183e+02	1.648183e+02
7.940000e+01	7.960000e+01	4.861313e+04	1.757473e+02	1.757473e+02
7.960000e+01	7.980000e+01	5.646175e+04	1.894039e+02	1.894039e+02
7.980000e+01	8.000000e+01	6.455570e+04	2.025253e+02	2.025253e+02
8.000000e+01	8.020000e+01	7.327675e+04	2.157719e+02	2.157719e+02
8.020000e+01	8.040000e+01	8.223980e+04	2.285877e+02	2.285877e+02
8.040000e+01	8.060000e+01	8.970285e+04	2.387344e+02	2.387344e+02
8.060000e+01	8.080000e+01	9.466500e+04	2.452486e+02	2.452486e+02
8.080000e+01	8.100000e+01	9.746955e+04	2.488549e+02	2.488549e+02
8.100000e+01	8.120000e+01	9.871175e+04	2.504358e+02	2.504358e+02
8.120000e+01	8.140000e+01	9.873965e+04	2.504712e+02	2.504712e+02
8.140000e+01	8.160000e+01	9.722365e+04	2.485408e+02	2.485408e+02
8.160000e+01	8.180000e+01	9.568035e+04	2.465604e+02	2.465604e+02
8.180000e+01	8.200000e+01	9.396745e+04	2.443434e+02	2.443434e+02
8.200000e+01	8.220000e+01	9.153525e+04	2.411604e+02	2.411604e+02
8.220000e+01	8.240000e+01	8.979050e+04	2.388509e+02	2.388509e+02
8.240000e+01	8.260000e+01	8.759465e+04	2.359123e+02	2.359123e+02
8.260000e+01	8.280000e+01	8.542870e+04	2.329773e+02	2.329773e+02
8.280000e+01	8.300000e+01	8.333965e+04	2.301113e+02	2.301113e+02
8.300000e+01	8.320000e+01	8.179695e+04	2.279714e+02	2.279714e+02
8.320000e+01	8.340000e+01	7.989215e+04	2.253015e+02	2.253015e+02
8.340000e+01	8.360000e+01	7.872115e+04	2.236441e+02	2.236441e+02
8.360000e+01	8.380000e+01	7.720520e+04	2.214803e+02	2.214803e+02
8.380000e+01	8.400000e+01	7.583660e+04	2.195085e+02	2.195085e+02
8.400000e+01	8.420000e+01	7.416050e+04	2.170692e+02	2.170692e+02
8.420000e+01	8.440000e+01	7.293425e+04	2.152670e+02	2.152670e+02
8.440000e+01	8.460000e+01	7.210135e+04	2.140345e+02	2.140345e+02
8.460000e+01	8.480000e+01	7.095255e+04	2.123225e+02	2.123225e+02
8.480000e+01	8.500000e+01	6.960240e+04	2.102926e+02	2.102926e+02
# END HISTO1D


# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80390_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ScaledBy=3.15620296358300911e-01
Title=80390_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.963655e+03	7.113243e+01	7.113243e+01
7.520000e+01	7.540000e+01	8.205095e+03	7.220268e+01	7.220268e+01
7.540000e+01	7.560000e+01	8.836030e+03	7.492735e+01	7.492735e+01
7.560000e+01	7.580000e+01	9.256640e+03	7.668994e+01	7.668994e+01
7.580000e+01	7.600000e+01	9.723010e+03	7.859816e+01	7.859816e+01
7.600000e+01	7.620000e+01	1.039331e+04	8.126229e+01	8.126229e+01
7.620000e+01	7.640000e+01	1.108522e+04	8.392360e+01	8.392360e+01
7.640000e+01	7.660000e+01	1.172314e+04	8.630459e+01	8.630459e+01
7.660000e+01	7.680000e+01	1.246715e+04	8.900115e+01	8.900115e+01
7.680000e+01	7.700000e+01	1.330645e+04	9.194815e+01	9.194815e+01
7.700000e+01	7.720000e+01	1.435862e+04	9.551427e+01	9.551427e+01
7.720000e+01	7.740000e+01	1.549591e+04	9.922482e+01	9.922482e+01
7.740000e+01	7.760000e+01	1.668725e+04	1.029684e+02	1.029684e+02
7.760000e+01	7.780000e+01	1.828900e+04	1.077971e+02	1.077971e+02
7.780000e+01	7.800000e+01	1.984882e+04	1.122999e+02	1.122999e+02
7.800000e+01	7.820000e+01	2.179369e+04	1.176732e+02	1.176732e+02
7.820000e+01	7.840000e+01	2.400223e+04	1.234917e+02	1.234917e+02
7.840000e+01	7.860000e+01	2.649602e+04	1.297484e+02	1.297484e+02
7.860000e+01	7.880000e+01	2.971353e+04	1.374008e+02	1.374008e+02
7.880000e+01	7.900000e+01	3.301486e+04	1.448327e+02	1.448327e+02
