# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
DrawOnly=//home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
RatioPlotReference=//home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm min}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80340_tot.yoda/CEPC_MASS/hist_Wmass_mRCmin[Weight_MERGING=0.000]
ScaledBy=3.15620292041410517e+05
Title=80340_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.287991e+04	1.432611e+02	1.432611e+02
7.520000e+01	7.540000e+01	3.307338e+04	1.436819e+02	1.436819e+02
7.540000e+01	7.560000e+01	3.352285e+04	1.446550e+02	1.446550e+02
7.560000e+01	7.580000e+01	3.376502e+04	1.451766e+02	1.451766e+02
7.580000e+01	7.600000e+01	3.408399e+04	1.458607e+02	1.458607e+02
7.600000e+01	7.620000e+01	3.440797e+04	1.465523e+02	1.465523e+02
7.620000e+01	7.640000e+01	3.449471e+04	1.467369e+02	1.467369e+02
7.640000e+01	7.660000e+01	3.464520e+04	1.470567e+02	1.470567e+02
7.660000e+01	7.680000e+01	3.535426e+04	1.485539e+02	1.485539e+02
7.680000e+01	7.700000e+01	3.566261e+04	1.492003e+02	1.492003e+02
7.700000e+01	7.720000e+01	3.597158e+04	1.498452e+02	1.498452e+02
7.720000e+01	7.740000e+01	3.669004e+04	1.513342e+02	1.513342e+02
7.740000e+01	7.760000e+01	3.696721e+04	1.519048e+02	1.519048e+02
7.760000e+01	7.780000e+01	3.738168e+04	1.527540e+02	1.527540e+02
7.780000e+01	7.800000e+01	3.816942e+04	1.543551e+02	1.543551e+02
7.800000e+01	7.820000e+01	3.905952e+04	1.561444e+02	1.561444e+02
7.820000e+01	7.840000e+01	3.945463e+04	1.569322e+02	1.569322e+02
7.840000e+01	7.860000e+01	4.037225e+04	1.587467e+02	1.587467e+02
7.860000e+01	7.880000e+01	4.106075e+04	1.600946e+02	1.600946e+02
7.880000e+01	7.900000e+01	4.154263e+04	1.610312e+02	1.610312e+02
7.900000e+01	7.920000e+01	4.275170e+04	1.633578e+02	1.633578e+02
