# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=1.58280741918818413e-01
Title=80400_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.922762e-03	3.541501e-05	3.541501e-05
7.520000e+01	7.540000e+01	4.186537e-03	3.658632e-05	3.658632e-05
7.540000e+01	7.560000e+01	4.429217e-03	3.763180e-05	3.763180e-05
7.560000e+01	7.580000e+01	4.586513e-03	3.829414e-05	3.829414e-05
7.580000e+01	7.600000e+01	4.942703e-03	3.975336e-05	3.975336e-05
7.600000e+01	7.620000e+01	5.242925e-03	4.094285e-05	4.094285e-05
7.620000e+01	7.640000e+01	5.479840e-03	4.185770e-05	4.185770e-05
7.640000e+01	7.660000e+01	5.844335e-03	4.322737e-05	4.322737e-05
7.660000e+01	7.680000e+01	6.318810e-03	4.494783e-05	4.494783e-05
7.680000e+01	7.700000e+01	6.757170e-03	4.648083e-05	4.648083e-05
7.700000e+01	7.720000e+01	7.186235e-03	4.793380e-05	4.793380e-05
7.720000e+01	7.740000e+01	7.698440e-03	4.961267e-05	4.961267e-05
7.740000e+01	7.760000e+01	8.352940e-03	5.167865e-05	5.167865e-05
7.760000e+01	7.780000e+01	9.200210e-03	5.423631e-05	5.423631e-05
7.780000e+01	7.800000e+01	9.936545e-03	5.636493e-05	5.636493e-05
7.800000e+01	7.820000e+01	1.092836e-02	5.911108e-05	5.911108e-05
7.820000e+01	7.840000e+01	1.203014e-02	6.201927e-05	6.201927e-05
7.840000e+01	7.860000e+01	1.321858e-02	6.501054e-05	6.501054e-05
7.860000e+01	7.880000e+01	1.478461e-02	6.875373e-05	6.875373e-05
7.880000e+01	7.900000e+01	1.671226e-02	7.309858e-05	7.309858e-05
7.900000e+01	7.920000e+01	1.879050e-02	7.751050e-05	7.751050e-05
7.920000e+01	7.940000e+01	2.143115e-02	8.277784e-05	8.277784e-05
7.940000e+01	7.960000e+01	2.454276e-02	8.858355e-05	8.858355e-05
7.960000e+01	7.980000e+01	2.807065e-02	9.473654e-05	9.473654e-05
7.980000e+01	8.000000e+01	3.227413e-02	1.015824e-04	1.015824e-04
8.000000e+01	8.020000e+01	3.680470e-02	1.084783e-04	1.084783e-04
8.020000e+01	8.040000e+01	4.125951e-02	1.148560e-04	1.148560e-04
8.040000e+01	8.060000e+01	4.496452e-02	1.199020e-04	1.199020e-04
8.060000e+01	8.080000e+01	4.775125e-02	1.235616e-04	1.235616e-04
8.080000e+01	8.100000e+01	4.914177e-02	1.253478e-04	1.253478e-04
8.100000e+01	8.120000e+01	4.983911e-02	1.262340e-04	1.262340e-04
8.120000e+01	8.140000e+01	4.970387e-02	1.260627e-04	1.260627e-04
8.140000e+01	8.160000e+01	4.890964e-02	1.250514e-04	1.250514e-04
8.160000e+01	8.180000e+01	4.812183e-02	1.240402e-04	1.240402e-04
8.180000e+01	8.200000e+01	4.705873e-02	1.226624e-04	1.226624e-04
8.200000e+01	8.220000e+01	4.618490e-02	1.215182e-04	1.215182e-04
8.220000e+01	8.240000e+01	4.503710e-02	1.199987e-04	1.199987e-04
8.240000e+01	8.260000e+01	4.406353e-02	1.186946e-04	1.186946e-04
8.260000e+01	8.280000e+01	4.299178e-02	1.172422e-04	1.172422e-04
8.280000e+01	8.300000e+01	4.209750e-02	1.160164e-04	1.160164e-04
8.300000e+01	8.320000e+01	4.117347e-02	1.147361e-04	1.147361e-04
8.320000e+01	8.340000e+01	4.037703e-02	1.136210e-04	1.136210e-04
8.340000e+01	8.360000e+01	3.960202e-02	1.125253e-04	1.125253e-04
8.360000e+01	8.380000e+01	3.890052e-02	1.115242e-04	1.115242e-04
8.380000e+01	8.400000e+01	3.800816e-02	1.102376e-04	1.102376e-04
8.400000e+01	8.420000e+01	3.758548e-02	1.096229e-04	1.096229e-04
8.420000e+01	8.440000e+01	3.683283e-02	1.085198e-04	1.085198e-04
8.440000e+01	8.460000e+01	3.648913e-02	1.080123e-04	1.080123e-04
8.460000e+01	8.480000e+01	3.574223e-02	1.069011e-04	1.069011e-04
8.480000e+01	8.500000e+01	3.530741e-02	1.062489e-04	1.062489e-04
# END HISTO1D


# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80400_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
ScaledBy=1.58280741918818460e-07
Title=80400_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.922762e-03	3.541501e-05	3.541501e-05
7.520000e+01	7.540000e+01	4.186537e-03	3.658632e-05	3.658632e-05
7.540000e+01	7.560000e+01	4.429216e-03	3.763180e-05	3.763180e-05
7.560000e+01	7.580000e+01	4.586513e-03	3.829414e-05	3.829414e-05
7.580000e+01	7.600000e+01	4.942703e-03	3.975336e-05	3.975336e-05
7.600000e+01	7.620000e+01	5.242925e-03	4.094285e-05	4.094285e-05
7.620000e+01	7.640000e+01	5.479840e-03	4.185770e-05	4.185770e-05
7.640000e+01	7.660000e+01	5.844335e-03	4.322737e-05	4.322737e-05
7.660000e+01	7.680000e+01	6.318810e-03	4.494783e-05	4.494783e-05
7.680000e+01	7.700000e+01	6.757170e-03	4.648083e-05	4.648083e-05
7.700000e+01	7.720000e+01	7.186235e-03	4.793380e-05	4.793380e-05
7.720000e+01	7.740000e+01	7.698440e-03	4.961267e-05	4.961267e-05
7.740000e+01	7.760000e+01	8.352940e-03	5.167865e-05	5.167865e-05
7.760000e+01	7.780000e+01	9.200210e-03	5.423631e-05	5.423631e-05
7.780000e+01	7.800000e+01	9.936545e-03	5.636493e-05	5.636493e-05
7.800000e+01	7.820000e+01	1.092836e-02	5.911108e-05	5.911108e-05
7.820000e+01	7.840000e+01	1.203014e-02	6.201927e-05	6.201927e-05
7.840000e+01	7.860000e+01	1.321858e-02	6.501054e-05	6.501054e-05
7.860000e+01	7.880000e+01	1.478461e-02	6.875373e-05	6.875373e-05
7.880000e+01	7.900000e+01	1.671226e-02	7.309858e-05	7.309858e-05
7.900000e+01	7.920000e+01	1.879050e-02	7.751050e-05	7.751050e-05
7.920000e+01	7.940000e+01	2.143115e-02	8.277784e-05	8.277784e-05
7.940000e+01	7.960000e+01	2.454276e-02	8.858355e-05	8.858355e-05
7.960000e+01	7.980000e+01	2.807065e-02	9.473654e-05	9.473654e-05
7.980000e+01	8.000000e+01	3.227413e-02	1.015824e-04	1.015824e-04
8.000000e+01	8.020000e+01	3.680470e-02	1.084783e-04	1.084783e-04
8.020000e+01	8.040000e+01	4.125951e-02	1.148560e-04	1.148560e-04
8.040000e+01	8.060000e+01	4.496452e-02	1.199020e-04	1.199020e-04
8.060000e+01	8.080000e+01	4.775125e-02	1.235616e-04	1.235616e-04
8.080000e+01	8.100000e+01	4.914177e-02	1.253478e-04	1.253478e-04
8.100000e+01	8.120000e+01	4.983911e-02	1.262340e-04	1.262340e-04
8.120000e+01	8.140000e+01	4.970387e-02	1.260627e-04	1.260627e-04
8.140000e+01	8.160000e+01	4.890964e-02	1.250514e-04	1.250514e-04
8.160000e+01	8.180000e+01	4.812183e-02	1.240402e-04	1.240402e-04
8.180000e+01	8.200000e+01	4.705873e-02	1.226624e-04	1.226624e-04
8.200000e+01	8.220000e+01	4.618490e-02	1.215182e-04	1.215182e-04
8.220000e+01	8.240000e+01	4.503710e-02	1.199987e-04	1.199987e-04
8.240000e+01	8.260000e+01	4.406353e-02	1.186946e-04	1.186946e-04
8.260000e+01	8.280000e+01	4.299178e-02	1.172422e-04	1.172422e-04
8.280000e+01	8.300000e+01	4.209750e-02	1.160164e-04	1.160164e-04
8.300000e+01	8.320000e+01	4.117347e-02	1.147361e-04	1.147361e-04
8.320000e+01	8.340000e+01	4.037703e-02	1.136210e-04	1.136210e-04
8.340000e+01	8.360000e+01	3.960202e-02	1.125253e-04	1.125253e-04
8.360000e+01	8.380000e+01	3.890052e-02	1.115242e-04	1.115242e-04
8.380000e+01	8.400000e+01	3.800816e-02	1.102376e-04	1.102376e-04
8.400000e+01	8.420000e+01	3.758548e-02	1.096229e-04	1.096229e-04
8.420000e+01	8.440000e+01	3.683283e-02	1.085198e-04	1.085198e-04
8.440000e+01	8.460000e+01	3.648913e-02	1.080123e-04	1.080123e-04
8.460000e+01	8.480000e+01	3.574223e-02	1.069011e-04	1.069011e-04
8.480000e+01	8.500000e+01	3.530741e-02	1.062489e-04	1.062489e-04
# END HISTO1D

