# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=3.15620252164033824e+05
Title=80410_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.936565e+03	7.126672e+01	7.126672e+01
7.520000e+01	7.540000e+01	8.449155e+03	7.353210e+01	7.353210e+01
7.540000e+01	7.560000e+01	8.867035e+03	7.532855e+01	7.532855e+01
7.560000e+01	7.580000e+01	9.325875e+03	7.725294e+01	7.725294e+01
7.580000e+01	7.600000e+01	9.816720e+03	7.925992e+01	7.925992e+01
7.600000e+01	7.620000e+01	1.048737e+04	8.192260e+01	8.192260e+01
7.620000e+01	7.640000e+01	1.104734e+04	8.408134e+01	8.408134e+01
7.640000e+01	7.660000e+01	1.166168e+04	8.638750e+01	8.638750e+01
7.660000e+01	7.680000e+01	1.248593e+04	8.938839e+01	8.938839e+01
7.680000e+01	7.700000e+01	1.331336e+04	9.230271e+01	9.230271e+01
7.700000e+01	7.720000e+01	1.446973e+04	9.622782e+01	9.622782e+01
7.720000e+01	7.740000e+01	1.546675e+04	9.948783e+01	9.948783e+01
7.740000e+01	7.760000e+01	1.701543e+04	1.043499e+02	1.043499e+02
7.760000e+01	7.780000e+01	1.822748e+04	1.080025e+02	1.080025e+02
7.780000e+01	7.800000e+01	1.979406e+04	1.125480e+02	1.125480e+02
7.800000e+01	7.820000e+01	2.155902e+04	1.174586e+02	1.174586e+02
7.820000e+01	7.840000e+01	2.381673e+04	1.234558e+02	1.234558e+02
7.840000e+01	7.860000e+01	2.653777e+04	1.303174e+02	1.303174e+02
7.860000e+01	7.880000e+01	2.972595e+04	1.379235e+02	1.379235e+02
7.880000e+01	7.900000e+01	3.329427e+04	1.459671e+02	1.459671e+02
7.900000e+01	7.920000e+01	3.711023e+04	1.541052e+02	1.541052e+02
7.920000e+01	7.940000e+01	4.236421e+04	1.646532e+02	1.646532e+02
7.940000e+01	7.960000e+01	4.886153e+04	1.768292e+02	1.768292e+02
7.960000e+01	7.980000e+01	5.577990e+04	1.889337e+02	1.889337e+02
7.980000e+01	8.000000e+01	6.438080e+04	2.029778e+02	2.029778e+02
8.000000e+01	8.020000e+01	7.320430e+04	2.164406e+02	2.164406e+02
8.020000e+01	8.040000e+01	8.201185e+04	2.290914e+02	2.290914e+02
8.040000e+01	8.060000e+01	8.916120e+04	2.388682e+02	2.388682e+02
8.060000e+01	8.080000e+01	9.510760e+04	2.467050e+02	2.467050e+02
8.080000e+01	8.100000e+01	9.816460e+04	2.506386e+02	2.506386e+02
8.100000e+01	8.120000e+01	9.946560e+04	2.522940e+02	2.522940e+02
8.120000e+01	8.140000e+01	9.952445e+04	2.523685e+02	2.523685e+02
8.140000e+01	8.160000e+01	9.790670e+04	2.503091e+02	2.503091e+02
8.160000e+01	8.180000e+01	9.669845e+04	2.487598e+02	2.487598e+02
8.180000e+01	8.200000e+01	9.440425e+04	2.457911e+02	2.457911e+02
8.200000e+01	8.220000e+01	9.221830e+04	2.429288e+02	2.429288e+02
8.220000e+01	8.240000e+01	9.028050e+04	2.403629e+02	2.403629e+02
8.240000e+01	8.260000e+01	8.833065e+04	2.377531e+02	2.377531e+02
8.260000e+01	8.280000e+01	8.590775e+04	2.344697e+02	2.344697e+02
8.280000e+01	8.300000e+01	8.432580e+04	2.323007e+02	2.323007e+02
8.300000e+01	8.320000e+01	8.283350e+04	2.302362e+02	2.302362e+02
8.320000e+01	8.340000e+01	8.111010e+04	2.278283e+02	2.278283e+02
8.340000e+01	8.360000e+01	7.948085e+04	2.255286e+02	2.255286e+02
8.360000e+01	8.380000e+01	7.798145e+04	2.233912e+02	2.233912e+02
8.380000e+01	8.400000e+01	7.645325e+04	2.211915e+02	2.211915e+02
8.400000e+01	8.420000e+01	7.502490e+04	2.191155e+02	2.191155e+02
8.420000e+01	8.440000e+01	7.365740e+04	2.171094e+02	2.171094e+02
8.440000e+01	8.460000e+01	7.311090e+04	2.163025e+02	2.163025e+02
8.460000e+01	8.480000e+01	7.142905e+04	2.138001e+02	2.138001e+02
8.480000e+01	8.500000e+01	7.076290e+04	2.128007e+02	2.128007e+02
# END HISTO1D


# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80410_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ScaledBy=3.15620252164033888e-01
Title=80410_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.936565e+03	7.126672e+01	7.126672e+01
7.520000e+01	7.540000e+01	8.449155e+03	7.353210e+01	7.353210e+01
7.540000e+01	7.560000e+01	8.867035e+03	7.532855e+01	7.532855e+01
7.560000e+01	7.580000e+01	9.325875e+03	7.725294e+01	7.725294e+01
7.580000e+01	7.600000e+01	9.816720e+03	7.925992e+01	7.925992e+01
7.600000e+01	7.620000e+01	1.048737e+04	8.192260e+01	8.192260e+01
7.620000e+01	7.640000e+01	1.104734e+04	8.408134e+01	8.408134e+01
7.640000e+01	7.660000e+01	1.166168e+04	8.638750e+01	8.638750e+01
7.660000e+01	7.680000e+01	1.248593e+04	8.938839e+01	8.938839e+01
7.680000e+01	7.700000e+01	1.331336e+04	9.230271e+01	9.230271e+01
7.700000e+01	7.720000e+01	1.446973e+04	9.622782e+01	9.622782e+01
7.720000e+01	7.740000e+01	1.546675e+04	9.948783e+01	9.948783e+01
7.740000e+01	7.760000e+01	1.701543e+04	1.043499e+02	1.043499e+02
7.760000e+01	7.780000e+01	1.822748e+04	1.080025e+02	1.080025e+02
7.780000e+01	7.800000e+01	1.979406e+04	1.125480e+02	1.125480e+02
7.800000e+01	7.820000e+01	2.155902e+04	1.174586e+02	1.174586e+02
7.820000e+01	7.840000e+01	2.381673e+04	1.234558e+02	1.234558e+02
7.840000e+01	7.860000e+01	2.653777e+04	1.303174e+02	1.303174e+02
7.860000e+01	7.880000e+01	2.972595e+04	1.379235e+02	1.379235e+02
7.880000e+01	7.900000e+01	3.329427e+04	1.459671e+02	1.459671e+02
7.900000e+01	7.920000e+01	3.711023e+04	1.541052e+02	1.541052e+02
7.920000e+01	7.940000e+01	4.236421e+04	1.646532e+02	1.646532e+02
7.940000e+01	7.960000e+01	4.886153e+04	1.768292e+02	1.768292e+02
7.960000e+01	7.980000e+01	5.577990e+04	1.889337e+02	1.889337e+02
7.980000e+01	8.000000e+01	6.438080e+04	2.029778e+02	2.029778e+02
8.000000e+01	8.020000e+01	7.320430e+04	2.164406e+02	2.164406e+02
8.020000e+01	8.040000e+01	8.201185e+04	2.290914e+02	2.290914e+02
8.040000e+01	8.060000e+01	8.916120e+04	2.388682e+02	2.388682e+02
8.060000e+01	8.080000e+01	9.510760e+04	2.467050e+02	2.467050e+02
8.080000e+01	8.100000e+01	9.816460e+04	2.506386e+02	2.506386e+02
8.100000e+01	8.120000e+01	9.946560e+04	2.522940e+02	2.522940e+02
8.120000e+01	8.140000e+01	9.952445e+04	2.523685e+02	2.523685e+02
8.140000e+01	8.160000e+01	9.790670e+04	2.503091e+02	2.503091e+02
8.160000e+01	8.180000e+01	9.669845e+04	2.487598e+02	2.487598e+02
8.180000e+01	8.200000e+01	9.440425e+04	2.457911e+02	2.457911e+02
8.200000e+01	8.220000e+01	9.221830e+04	2.429288e+02	2.429288e+02
8.220000e+01	8.240000e+01	9.028050e+04	2.403629e+02	2.403629e+02
8.240000e+01	8.260000e+01	8.833065e+04	2.377531e+02	2.377531e+02
8.260000e+01	8.280000e+01	8.590775e+04	2.344697e+02	2.344697e+02
8.280000e+01	8.300000e+01	8.432580e+04	2.323007e+02	2.323007e+02
8.300000e+01	8.320000e+01	8.283350e+04	2.302362e+02	2.302362e+02
8.320000e+01	8.340000e+01	8.111010e+04	2.278283e+02	2.278283e+02
8.340000e+01	8.360000e+01	7.948085e+04	2.255286e+02	2.255286e+02
8.360000e+01	8.380000e+01	7.798145e+04	2.233912e+02	2.233912e+02
8.380000e+01	8.400000e+01	7.645325e+04	2.211915e+02	2.211915e+02
8.400000e+01	8.420000e+01	7.502490e+04	2.191155e+02	2.191155e+02
8.420000e+01	8.440000e+01	7.365740e+04	2.171094e+02	2.171094e+02
8.440000e+01	8.460000e+01	7.311090e+04	2.163025e+02	2.163025e+02
8.460000e+01	8.480000e+01	7.142905e+04	2.138001e+02	2.138001e+02
8.480000e+01	8.500000e+01	7.076290e+04	2.128007e+02	2.128007e+02
# END HISTO1D

