,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,33790.227204999996,146.80171129000001,146.80171129000001
1,75.2,75.4,33966.2638925,147.183626125,147.183626125
2,75.4,75.6,34254.5451625,147.806865815,147.806865815
3,75.6,75.8,34384.0443325,148.08607097249998,148.08607097249998
4,75.8,76.0,34423.56033,148.1711271125,148.1711271125
5,76.0,76.2,34938.225777499996,149.2746228125,149.2746228125
6,76.2,76.4,35192.057715,149.8158782775,149.8158782775
7,76.4,76.6,35734.82919,150.9667692375,150.9667692375
8,76.6,76.8,35715.081165,150.9251587525,150.9251587525
9,76.8,77.0,36248.8563175,152.04870169,152.04870169
10,77.0,77.2,36420.424764999996,152.40807585,152.40807585
11,77.2,77.4,37117.5300475,153.8597950575,153.8597950575
12,77.4,77.6,37358.6155325,154.35862219,154.35862219
13,77.6,77.8,38044.8893225,155.77002750000003,155.77002750000003
14,77.8,78.0,38778.977269999996,157.26561126,157.26561126
15,78.0,78.2,39180.73986749999,158.0781726725,158.0781726725
16,78.2,78.4,40053.263465,159.82864558749998,159.82864558749998
17,78.4,78.6,40702.514695,161.1187700975,161.1187700975
18,78.6,78.8,41623.450875,162.931299685,162.931299685
19,78.8,79.0,42347.98397,164.343343315,164.343343315
20,79.0,79.2,43083.96693,165.76526095749998,165.76526095749998
21,79.2,79.4,44080.7834,167.67182306,167.67182306
22,79.4,79.6,44379.317685,168.238691115,168.238691115
23,79.6,79.8,44559.164345,168.579234835,168.579234835
24,79.8,80.0,44414.3654425,168.3050963425,168.3050963425
25,80.0,80.2,42803.3455,165.22448423249998,165.22448423249998
26,80.2,80.4,39793.028379999996,159.3085743675,159.3085743675
27,80.4,80.6,36056.2831525,151.64422623250002,151.64422623250002
28,80.6,80.8,31704.057812500003,142.1978083425,142.1978083425
29,80.8,81.0,27289.336954999995,131.92654138,131.92654138
30,81.0,81.2,23176.92046,121.580291765,121.580291765
31,81.2,81.4,19584.32584125,111.76089551999999,111.76089551999999
32,81.4,81.6,16842.502071249997,103.6427617075,103.6427617075
33,81.6,81.8,14369.2015725,95.73084515000001,95.73084515000001
34,81.8,82.0,12306.610125,88.5940884425,88.5940884425
35,82.0,82.2,10863.967030000002,83.23962091249999,83.23962091249999
36,82.2,82.4,9528.4380205,77.9554483725,77.9554483725
37,82.4,82.6,8504.79814725,73.64912223,73.64912223
38,82.6,82.8,7726.7080095,70.19930184249999,70.19930184249999
39,82.8,83.0,6912.897883499999,66.3996222525,66.3996222525
40,83.0,83.2,6280.22502075,63.2882909925,63.2882909925
41,83.2,83.4,5646.2715284999995,60.00902173,60.00902173
42,83.4,83.6,5164.74087325,57.3930866325,57.3930866325
43,83.6,83.8,4711.288319,54.815789842499996,54.815789842499996
44,83.8,84.0,4336.91164425,52.5927806,52.5927806
45,84.0,84.2,3974.0047820000004,50.34421861,50.34421861
46,84.2,84.4,3625.1429545,48.0837080675,48.0837080675
47,84.4,84.6,3474.631088,47.07498294,47.07498294
48,84.6,84.8,3291.5968175000003,45.8183901775,45.8183901775
49,84.8,85.0,3102.16139425,44.48029193,44.48029193
