# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=1.55495806464694630e-01
Title=80450_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.904707e-03	3.533418e-05	3.533418e-05
7.520000e+01	7.540000e+01	4.130124e-03	3.633978e-05	3.633978e-05
7.540000e+01	7.560000e+01	4.306944e-03	3.710953e-05	3.710953e-05
7.560000e+01	7.580000e+01	4.619967e-03	3.843439e-05	3.843439e-05
7.580000e+01	7.600000e+01	4.821408e-03	3.926337e-05	3.926337e-05
7.600000e+01	7.620000e+01	5.124525e-03	4.047878e-05	4.047878e-05
7.620000e+01	7.640000e+01	5.390230e-03	4.151493e-05	4.151493e-05
7.640000e+01	7.660000e+01	5.839145e-03	4.320909e-05	4.320909e-05
7.660000e+01	7.680000e+01	6.203985e-03	4.453857e-05	4.453857e-05
7.680000e+01	7.700000e+01	6.628920e-03	4.603860e-05	4.603860e-05
7.700000e+01	7.720000e+01	7.039145e-03	4.744173e-05	4.744173e-05
7.720000e+01	7.740000e+01	7.579185e-03	4.922795e-05	4.922795e-05
7.740000e+01	7.760000e+01	8.208770e-03	5.123180e-05	5.123180e-05
7.760000e+01	7.780000e+01	8.921480e-03	5.340960e-05	5.340960e-05
7.780000e+01	7.800000e+01	9.682780e-03	5.564173e-05	5.564173e-05
7.800000e+01	7.820000e+01	1.069669e-02	5.848245e-05	5.848245e-05
7.820000e+01	7.840000e+01	1.176239e-02	6.132652e-05	6.132652e-05
7.840000e+01	7.860000e+01	1.292691e-02	6.429071e-05	6.429071e-05
7.860000e+01	7.880000e+01	1.434528e-02	6.772596e-05	6.772596e-05
7.880000e+01	7.900000e+01	1.616271e-02	7.188825e-05	7.188825e-05
7.900000e+01	7.920000e+01	1.815695e-02	7.619426e-05	7.619426e-05
7.920000e+01	7.940000e+01	2.065157e-02	8.126009e-05	8.126009e-05
7.940000e+01	7.960000e+01	2.342630e-02	8.654708e-05	8.654708e-05
7.960000e+01	7.980000e+01	2.716538e-02	9.319844e-05	9.319844e-05
7.980000e+01	8.000000e+01	3.136106e-02	1.001374e-04	1.001374e-04
8.000000e+01	8.020000e+01	3.557272e-02	1.066496e-04	1.066496e-04
8.020000e+01	8.040000e+01	4.019716e-02	1.133701e-04	1.133701e-04
8.040000e+01	8.060000e+01	4.405200e-02	1.186816e-04	1.186816e-04
8.060000e+01	8.080000e+01	4.702401e-02	1.226198e-04	1.226198e-04
8.080000e+01	8.100000e+01	4.878928e-02	1.249001e-04	1.249001e-04
8.100000e+01	8.120000e+01	4.961966e-02	1.259585e-04	1.259585e-04
8.120000e+01	8.140000e+01	4.968971e-02	1.260474e-04	1.260474e-04
8.140000e+01	8.160000e+01	4.929513e-02	1.255459e-04	1.255459e-04
8.160000e+01	8.180000e+01	4.831289e-02	1.242889e-04	1.242889e-04
8.180000e+01	8.200000e+01	4.761682e-02	1.233903e-04	1.233903e-04
8.200000e+01	8.220000e+01	4.647501e-02	1.219019e-04	1.219019e-04
8.220000e+01	8.240000e+01	4.543744e-02	1.205335e-04	1.205335e-04
8.240000e+01	8.260000e+01	4.451720e-02	1.193066e-04	1.193066e-04
8.260000e+01	8.280000e+01	4.318291e-02	1.175051e-04	1.175051e-04
8.280000e+01	8.300000e+01	4.241457e-02	1.164550e-04	1.164550e-04
8.300000e+01	8.320000e+01	4.144512e-02	1.151165e-04	1.151165e-04
8.320000e+01	8.340000e+01	4.033943e-02	1.135705e-04	1.135705e-04
8.340000e+01	8.360000e+01	3.991740e-02	1.129749e-04	1.129749e-04
8.360000e+01	8.380000e+01	3.902784e-02	1.117089e-04	1.117089e-04
8.380000e+01	8.400000e+01	3.832155e-02	1.106935e-04	1.106935e-04
8.400000e+01	8.420000e+01	3.775784e-02	1.098764e-04	1.098764e-04
8.420000e+01	8.440000e+01	3.699812e-02	1.087653e-04	1.087653e-04
8.440000e+01	8.460000e+01	3.659814e-02	1.081758e-04	1.081758e-04
8.460000e+01	8.480000e+01	3.582018e-02	1.070199e-04	1.070199e-04
8.480000e+01	8.500000e+01	3.542499e-02	1.064279e-04	1.064279e-04
# END HISTO1D


# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/Nhist_Wmass_mRCmax
ScaledBy=1.55495806464694626e-07
Title=80450_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	3.904707e-03	3.533418e-05	3.533418e-05
7.520000e+01	7.540000e+01	4.130124e-03	3.633978e-05	3.633978e-05
7.540000e+01	7.560000e+01	4.306944e-03	3.710953e-05	3.710953e-05
7.560000e+01	7.580000e+01	4.619967e-03	3.843439e-05	3.843439e-05
7.580000e+01	7.600000e+01	4.821408e-03	3.926337e-05	3.926337e-05
7.600000e+01	7.620000e+01	5.124525e-03	4.047878e-05	4.047878e-05
7.620000e+01	7.640000e+01	5.390230e-03	4.151493e-05	4.151493e-05
7.640000e+01	7.660000e+01	5.839145e-03	4.320909e-05	4.320909e-05
7.660000e+01	7.680000e+01	6.203985e-03	4.453857e-05	4.453857e-05
7.680000e+01	7.700000e+01	6.628920e-03	4.603860e-05	4.603860e-05
7.700000e+01	7.720000e+01	7.039145e-03	4.744173e-05	4.744173e-05
7.720000e+01	7.740000e+01	7.579185e-03	4.922795e-05	4.922795e-05
7.740000e+01	7.760000e+01	8.208770e-03	5.123180e-05	5.123180e-05
7.760000e+01	7.780000e+01	8.921480e-03	5.340960e-05	5.340960e-05
7.780000e+01	7.800000e+01	9.682780e-03	5.564173e-05	5.564173e-05
7.800000e+01	7.820000e+01	1.069669e-02	5.848245e-05	5.848245e-05
7.820000e+01	7.840000e+01	1.176239e-02	6.132652e-05	6.132652e-05
7.840000e+01	7.860000e+01	1.292691e-02	6.429071e-05	6.429071e-05
7.860000e+01	7.880000e+01	1.434528e-02	6.772596e-05	6.772596e-05
7.880000e+01	7.900000e+01	1.616271e-02	7.188825e-05	7.188825e-05
7.900000e+01	7.920000e+01	1.815695e-02	7.619426e-05	7.619426e-05
7.920000e+01	7.940000e+01	2.065157e-02	8.126009e-05	8.126009e-05
7.940000e+01	7.960000e+01	2.342630e-02	8.654708e-05	8.654708e-05
7.960000e+01	7.980000e+01	2.716538e-02	9.319844e-05	9.319844e-05
7.980000e+01	8.000000e+01	3.136106e-02	1.001374e-04	1.001374e-04
8.000000e+01	8.020000e+01	3.557272e-02	1.066496e-04	1.066496e-04
8.020000e+01	8.040000e+01	4.019716e-02	1.133701e-04	1.133701e-04
8.040000e+01	8.060000e+01	4.405200e-02	1.186816e-04	1.186816e-04
8.060000e+01	8.080000e+01	4.702401e-02	1.226198e-04	1.226198e-04
8.080000e+01	8.100000e+01	4.878928e-02	1.249001e-04	1.249001e-04
8.100000e+01	8.120000e+01	4.961966e-02	1.259585e-04	1.259585e-04
8.120000e+01	8.140000e+01	4.968971e-02	1.260474e-04	1.260474e-04
8.140000e+01	8.160000e+01	4.929513e-02	1.255459e-04	1.255459e-04
8.160000e+01	8.180000e+01	4.831289e-02	1.242889e-04	1.242889e-04
8.180000e+01	8.200000e+01	4.761682e-02	1.233903e-04	1.233903e-04
8.200000e+01	8.220000e+01	4.647501e-02	1.219019e-04	1.219019e-04
8.220000e+01	8.240000e+01	4.543744e-02	1.205335e-04	1.205335e-04
8.240000e+01	8.260000e+01	4.451720e-02	1.193066e-04	1.193066e-04
8.260000e+01	8.280000e+01	4.318291e-02	1.175051e-04	1.175051e-04
8.280000e+01	8.300000e+01	4.241457e-02	1.164550e-04	1.164550e-04
8.300000e+01	8.320000e+01	4.144512e-02	1.151165e-04	1.151165e-04
8.320000e+01	8.340000e+01	4.033943e-02	1.135705e-04	1.135705e-04
8.340000e+01	8.360000e+01	3.991740e-02	1.129749e-04	1.129749e-04
8.360000e+01	8.380000e+01	3.902784e-02	1.117089e-04	1.117089e-04
8.380000e+01	8.400000e+01	3.832155e-02	1.106935e-04	1.106935e-04
8.400000e+01	8.420000e+01	3.775784e-02	1.098764e-04	1.098764e-04
8.420000e+01	8.440000e+01	3.699812e-02	1.087653e-04	1.087653e-04
8.440000e+01	8.460000e+01	3.659814e-02	1.081758e-04	1.081758e-04
8.460000e+01	8.480000e+01	3.582018e-02	1.070199e-04	1.070199e-04
8.480000e+01	8.500000e+01	3.542499e-02	1.064279e-04	1.064279e-04
# END HISTO1D

