# BEGIN PLOT
LegendOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
DrawOnly=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000] //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlotReference=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
RatioPlot=1
LogY=0
RatioPlotYMax=1.05
RatioPlotYLabel=Ratio
XLabel=$m_{\rm RC}^{\rm max}$ [GeV]
YLabel=Events
Legend=1
RatioPlotYMin=0.95
# END PLOT

# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ErrorBars=1
LineColor=red!30
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax[Weight_MERGING=0.000]
ScaledBy=3.15620241710903938e+05
Title=80450_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.925645e+03	7.172015e+01	7.172015e+01
7.520000e+01	7.540000e+01	8.383190e+03	7.376129e+01	7.376129e+01
7.540000e+01	7.560000e+01	8.742095e+03	7.532370e+01	7.532370e+01
7.560000e+01	7.580000e+01	9.377455e+03	7.801287e+01	7.801287e+01
7.580000e+01	7.600000e+01	9.786335e+03	7.969550e+01	7.969550e+01
7.600000e+01	7.620000e+01	1.040159e+04	8.216249e+01	8.216249e+01
7.620000e+01	7.640000e+01	1.094091e+04	8.426562e+01	8.426562e+01
7.640000e+01	7.660000e+01	1.185211e+04	8.770438e+01	8.770438e+01
7.660000e+01	7.680000e+01	1.259264e+04	9.040292e+01	9.040292e+01
7.680000e+01	7.700000e+01	1.345516e+04	9.344762e+01	9.344762e+01
7.700000e+01	7.720000e+01	1.428782e+04	9.629566e+01	9.629566e+01
7.720000e+01	7.740000e+01	1.538398e+04	9.992127e+01	9.992127e+01
7.740000e+01	7.760000e+01	1.666189e+04	1.039886e+02	1.039886e+02
7.760000e+01	7.780000e+01	1.810853e+04	1.084090e+02	1.084090e+02
7.780000e+01	7.800000e+01	1.965379e+04	1.129398e+02	1.129398e+02
7.800000e+01	7.820000e+01	2.171180e+04	1.187058e+02	1.187058e+02
7.820000e+01	7.840000e+01	2.387491e+04	1.244786e+02	1.244786e+02
7.840000e+01	7.860000e+01	2.623862e+04	1.304951e+02	1.304951e+02
7.860000e+01	7.880000e+01	2.911757e+04	1.374679e+02	1.374679e+02
7.880000e+01	7.900000e+01	3.280653e+04	1.459164e+02	1.459164e+02
7.900000e+01	7.920000e+01	3.685438e+04	1.546566e+02	1.546566e+02
7.920000e+01	7.940000e+01	4.191788e+04	1.649390e+02	1.649390e+02
7.940000e+01	7.960000e+01	4.754993e+04	1.756704e+02	1.756704e+02
7.960000e+01	7.980000e+01	5.513940e+04	1.891711e+02	1.891711e+02
7.980000e+01	8.000000e+01	6.365565e+04	2.032555e+02	2.032555e+02
8.000000e+01	8.020000e+01	7.220435e+04	2.164739e+02	2.164739e+02
8.020000e+01	8.040000e+01	8.159085e+04	2.301148e+02	2.301148e+02
8.040000e+01	8.060000e+01	8.941530e+04	2.408960e+02	2.408960e+02
8.060000e+01	8.080000e+01	9.544780e+04	2.488896e+02	2.488896e+02
8.080000e+01	8.100000e+01	9.903085e+04	2.535181e+02	2.535181e+02
8.100000e+01	8.120000e+01	1.007163e+05	2.556664e+02	2.556664e+02
8.120000e+01	8.140000e+01	1.008585e+05	2.558469e+02	2.558469e+02
8.140000e+01	8.160000e+01	1.000576e+05	2.548290e+02	2.548290e+02
8.160000e+01	8.180000e+01	9.806390e+04	2.522774e+02	2.522774e+02
8.180000e+01	8.200000e+01	9.665105e+04	2.504535e+02	2.504535e+02
8.200000e+01	8.220000e+01	9.433345e+04	2.474324e+02	2.474324e+02
8.220000e+01	8.240000e+01	9.222740e+04	2.446549e+02	2.446549e+02
8.240000e+01	8.260000e+01	9.035955e+04	2.421646e+02	2.421646e+02
8.260000e+01	8.280000e+01	8.765125e+04	2.385079e+02	2.385079e+02
8.280000e+01	8.300000e+01	8.609170e+04	2.363766e+02	2.363766e+02
8.300000e+01	8.320000e+01	8.412395e+04	2.336596e+02	2.336596e+02
8.320000e+01	8.340000e+01	8.187965e+04	2.305216e+02	2.305216e+02
8.340000e+01	8.360000e+01	8.102300e+04	2.293126e+02	2.293126e+02
8.360000e+01	8.380000e+01	7.921740e+04	2.267431e+02	2.267431e+02
8.380000e+01	8.400000e+01	7.778380e+04	2.246821e+02	2.246821e+02
8.400000e+01	8.420000e+01	7.663960e+04	2.230234e+02	2.230234e+02
8.420000e+01	8.440000e+01	7.509755e+04	2.207683e+02	2.207683e+02
8.440000e+01	8.460000e+01	7.428570e+04	2.195717e+02	2.195717e+02
8.460000e+01	8.480000e+01	7.270665e+04	2.172255e+02	2.172255e+02
8.480000e+01	8.500000e+01	7.190445e+04	2.160238e+02	2.160238e+02
# END HISTO1D


# BEGIN HISTO1D //home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//home/buding/Workshop/Events/WMass/80450_tot.yoda/CEPC_MASS/hist_Wmass_mRCmax
ScaledBy=3.15620241710903859e-01
Title=80450_tot
# xlow	 xhigh	 val	 errminus	 errplus
7.500000e+01	7.520000e+01	7.925645e+03	7.172015e+01	7.172015e+01
7.520000e+01	7.540000e+01	8.383190e+03	7.376129e+01	7.376129e+01
7.540000e+01	7.560000e+01	8.742095e+03	7.532370e+01	7.532370e+01
7.560000e+01	7.580000e+01	9.377455e+03	7.801287e+01	7.801287e+01
7.580000e+01	7.600000e+01	9.786335e+03	7.969550e+01	7.969550e+01
7.600000e+01	7.620000e+01	1.040159e+04	8.216249e+01	8.216249e+01
7.620000e+01	7.640000e+01	1.094091e+04	8.426562e+01	8.426562e+01
7.640000e+01	7.660000e+01	1.185211e+04	8.770438e+01	8.770438e+01
7.660000e+01	7.680000e+01	1.259264e+04	9.040292e+01	9.040292e+01
7.680000e+01	7.700000e+01	1.345516e+04	9.344762e+01	9.344762e+01
7.700000e+01	7.720000e+01	1.428782e+04	9.629566e+01	9.629566e+01
7.720000e+01	7.740000e+01	1.538398e+04	9.992127e+01	9.992127e+01
7.740000e+01	7.760000e+01	1.666189e+04	1.039886e+02	1.039886e+02
7.760000e+01	7.780000e+01	1.810853e+04	1.084090e+02	1.084090e+02
7.780000e+01	7.800000e+01	1.965379e+04	1.129398e+02	1.129398e+02
7.800000e+01	7.820000e+01	2.171180e+04	1.187058e+02	1.187058e+02
7.820000e+01	7.840000e+01	2.387491e+04	1.244786e+02	1.244786e+02
7.840000e+01	7.860000e+01	2.623862e+04	1.304951e+02	1.304951e+02
7.860000e+01	7.880000e+01	2.911757e+04	1.374679e+02	1.374679e+02
7.880000e+01	7.900000e+01	3.280653e+04	1.459164e+02	1.459164e+02
7.900000e+01	7.920000e+01	3.685438e+04	1.546566e+02	1.546566e+02
7.920000e+01	7.940000e+01	4.191788e+04	1.649390e+02	1.649390e+02
7.940000e+01	7.960000e+01	4.754993e+04	1.756704e+02	1.756704e+02
7.960000e+01	7.980000e+01	5.513940e+04	1.891711e+02	1.891711e+02
7.980000e+01	8.000000e+01	6.365565e+04	2.032555e+02	2.032555e+02
8.000000e+01	8.020000e+01	7.220435e+04	2.164739e+02	2.164739e+02
8.020000e+01	8.040000e+01	8.159085e+04	2.301148e+02	2.301148e+02
8.040000e+01	8.060000e+01	8.941530e+04	2.408960e+02	2.408960e+02
8.060000e+01	8.080000e+01	9.544780e+04	2.488896e+02	2.488896e+02
8.080000e+01	8.100000e+01	9.903085e+04	2.535181e+02	2.535181e+02
8.100000e+01	8.120000e+01	1.007163e+05	2.556664e+02	2.556664e+02
8.120000e+01	8.140000e+01	1.008585e+05	2.558469e+02	2.558469e+02
8.140000e+01	8.160000e+01	1.000576e+05	2.548290e+02	2.548290e+02
8.160000e+01	8.180000e+01	9.806390e+04	2.522774e+02	2.522774e+02
8.180000e+01	8.200000e+01	9.665105e+04	2.504535e+02	2.504535e+02
8.200000e+01	8.220000e+01	9.433345e+04	2.474324e+02	2.474324e+02
8.220000e+01	8.240000e+01	9.222740e+04	2.446549e+02	2.446549e+02
8.240000e+01	8.260000e+01	9.035955e+04	2.421646e+02	2.421646e+02
8.260000e+01	8.280000e+01	8.765125e+04	2.385079e+02	2.385079e+02
8.280000e+01	8.300000e+01	8.609170e+04	2.363766e+02	2.363766e+02
8.300000e+01	8.320000e+01	8.412395e+04	2.336596e+02	2.336596e+02
8.320000e+01	8.340000e+01	8.187965e+04	2.305216e+02	2.305216e+02
8.340000e+01	8.360000e+01	8.102300e+04	2.293126e+02	2.293126e+02
8.360000e+01	8.380000e+01	7.921740e+04	2.267431e+02	2.267431e+02
8.380000e+01	8.400000e+01	7.778380e+04	2.246821e+02	2.246821e+02
8.400000e+01	8.420000e+01	7.663960e+04	2.230234e+02	2.230234e+02
8.420000e+01	8.440000e+01	7.509755e+04	2.207683e+02	2.207683e+02
8.440000e+01	8.460000e+01	7.428570e+04	2.195717e+02	2.195717e+02
8.460000e+01	8.480000e+01	7.270665e+04	2.172255e+02	2.172255e+02
8.480000e+01	8.500000e+01	7.190445e+04	2.160238e+02	2.160238e+02
# END HISTO1D

