# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELm[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	3.883145e-07	2.745798e-07	2.745798e-07
4.000000e+00	5.000000e+00	9.707863e-07	4.341488e-07	4.341488e-07
5.000000e+00	6.000000e+00	2.135730e-06	6.439468e-07	6.439468e-07
6.000000e+00	7.000000e+00	2.135730e-06	6.439468e-07	6.439468e-07
7.000000e+00	8.000000e+00	1.747415e-06	5.824718e-07	5.824718e-07
8.000000e+00	9.000000e+00	5.824718e-06	1.063443e-06	1.063443e-06
9.000000e+00	1.000000e+01	6.407190e-06	1.115349e-06	1.115349e-06
1.000000e+01	1.100000e+01	1.339685e-05	1.612791e-06	1.612791e-06
1.100000e+01	1.200000e+01	1.378517e-05	1.635998e-06	1.635998e-06
1.200000e+01	1.300000e+01	2.291056e-05	2.109088e-06	2.109088e-06
1.300000e+01	1.400000e+01	3.650157e-05	2.662150e-06	2.662150e-06
1.400000e+01	1.500000e+01	7.785707e-05	3.887997e-06	3.887997e-06
1.500000e+01	1.600000e+01	2.694903e-04	7.233498e-06	7.233498e-06
1.600000e+01	1.700000e+01	4.622885e-04	9.474000e-06	9.474000e-06
1.700000e+01	1.800000e+01	5.242246e-04	1.008871e-05	1.008871e-05
1.800000e+01	1.900000e+01	5.628619e-04	1.045388e-05	1.045388e-05
1.900000e+01	2.000000e+01	6.185851e-04	1.095914e-05	1.095914e-05
2.000000e+01	2.100000e+01	6.193617e-04	1.096602e-05	1.096602e-05
2.100000e+01	2.200000e+01	6.315936e-04	1.107378e-05	1.107378e-05
