# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_ELp[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	2.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e+00	3.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.000000e+00	4.000000e+00	3.883145e-07	2.745798e-07	2.745798e-07
4.000000e+00	5.000000e+00	5.824718e-07	3.362902e-07	3.362902e-07
5.000000e+00	6.000000e+00	9.707863e-07	4.341488e-07	4.341488e-07
6.000000e+00	7.000000e+00	1.164944e-06	4.755863e-07	4.755863e-07
7.000000e+00	8.000000e+00	4.465617e-06	9.311455e-07	9.311455e-07
8.000000e+00	9.000000e+00	4.853932e-06	9.707863e-07	9.707863e-07
9.000000e+00	1.000000e+01	7.183819e-06	1.181013e-06	1.181013e-06
1.000000e+01	1.100000e+01	1.164944e-05	1.503936e-06	1.503936e-06
1.100000e+01	1.200000e+01	1.553258e-05	1.736596e-06	1.736596e-06
1.200000e+01	1.300000e+01	2.388134e-05	2.153308e-06	2.153308e-06
1.300000e+01	1.400000e+01	4.038471e-05	2.800176e-06	2.800176e-06
1.400000e+01	1.500000e+01	8.271100e-05	4.007361e-06	4.007361e-06
1.500000e+01	1.600000e+01	2.817222e-04	7.395837e-06	7.395837e-06
1.600000e+01	1.700000e+01	4.510273e-04	9.357897e-06	9.357897e-06
1.700000e+01	1.800000e+01	5.164583e-04	1.001370e-05	1.001370e-05
1.800000e+01	1.900000e+01	5.811127e-04	1.062202e-05	1.062202e-05
