# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_LSP[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.883145e-07	2.745798e-07	2.745798e-07
1.000000e+00	2.000000e+00	2.718202e-06	7.264700e-07	7.264700e-07
2.000000e+00	3.000000e+00	3.688988e-06	8.463119e-07	8.463119e-07
3.000000e+00	4.000000e+00	5.824718e-06	1.063443e-06	1.063443e-06
4.000000e+00	5.000000e+00	7.960448e-06	1.243213e-06	1.243213e-06
5.000000e+00	6.000000e+00	7.377976e-06	1.196866e-06	1.196866e-06
6.000000e+00	7.000000e+00	9.319549e-06	1.345161e-06	1.345161e-06
7.000000e+00	8.000000e+00	1.145528e-05	1.491350e-06	1.491350e-06
8.000000e+00	9.000000e+00	1.203775e-05	1.528796e-06	1.528796e-06
9.000000e+00	1.000000e+01	2.155146e-05	2.045574e-06	2.045574e-06
1.000000e+01	1.100000e+01	2.155146e-05	2.045574e-06	2.045574e-06
1.100000e+01	1.200000e+01	3.028853e-05	2.425024e-06	2.425024e-06
1.200000e+01	1.300000e+01	3.514247e-05	2.612119e-06	2.612119e-06
1.300000e+01	1.400000e+01	4.776269e-05	3.045238e-06	3.045238e-06
1.400000e+01	1.500000e+01	6.290696e-05	3.494830e-06	3.494830e-06
1.500000e+01	1.600000e+01	1.062040e-04	4.540956e-06	4.540956e-06
1.600000e+01	1.700000e+01	1.681402e-04	5.713636e-06	5.713636e-06
1.700000e+01	1.800000e+01	2.211451e-04	6.552628e-06	6.552628e-06
1.800000e+01	1.900000e+01	2.667721e-04	7.196926e-06	7.196926e-06
1.900000e+01	2.000000e+01	3.496772e-04	8.239683e-06	8.239683e-06
2.000000e+01	2.100000e+01	3.987990e-04	8.799416e-06	8.799416e-06
2.100000e+01	2.200000e+01	4.708314e-04	9.561137e-06	9.561137e-06
2.200000e+01	2.300000e+01	5.448053e-04	1.028484e-05	1.028484e-05
2.300000e+01	2.400000e+01	6.162552e-04	1.093848e-05	1.093848e-05
2.400000e+01	2.500000e+01	7.007136e-04	1.166399e-05	1.166399e-05
2.500000e+01	2.600000e+01	7.746875e-04	1.226422e-05	1.226422e-05
2.600000e+01	2.700000e+01	8.787558e-04	1.306204e-05	1.306204e-05
2.700000e+01	2.800000e+01	9.604960e-04	1.365604e-05	1.365604e-05
