# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dM_RC[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	3.883145e-07	2.745798e-07	2.745798e-07
1.000000e+00	2.000000e+00	9.707863e-07	4.341488e-07	4.341488e-07
2.000000e+00	3.000000e+00	2.135730e-06	6.439468e-07	6.439468e-07
3.000000e+00	4.000000e+00	3.883145e-06	8.682977e-07	8.682977e-07
4.000000e+00	5.000000e+00	4.271460e-06	9.106783e-07	9.106783e-07
5.000000e+00	6.000000e+00	5.824718e-06	1.063443e-06	1.063443e-06
6.000000e+00	7.000000e+00	6.407190e-06	1.115349e-06	1.115349e-06
7.000000e+00	8.000000e+00	7.377976e-06	1.196866e-06	1.196866e-06
8.000000e+00	9.000000e+00	7.572134e-06	1.212512e-06	1.212512e-06
9.000000e+00	1.000000e+01	7.766291e-06	1.227958e-06	1.227958e-06
1.000000e+01	1.100000e+01	1.300854e-05	1.589246e-06	1.589246e-06
1.100000e+01	1.200000e+01	1.630921e-05	1.779481e-06	1.779481e-06
1.200000e+01	1.300000e+01	1.786247e-05	1.862291e-06	1.862291e-06
1.300000e+01	1.400000e+01	2.659955e-05	2.272553e-06	2.272553e-06
1.400000e+01	1.500000e+01	3.688988e-05	2.676273e-06	2.676273e-06
1.500000e+01	1.600000e+01	4.679190e-05	3.014131e-06	3.014131e-06
1.600000e+01	1.700000e+01	8.659414e-05	4.100351e-06	4.100351e-06
1.700000e+01	1.800000e+01	1.436764e-04	5.281648e-06	5.281648e-06
1.800000e+01	1.900000e+01	1.733824e-04	5.802022e-06	5.802022e-06
1.900000e+01	2.000000e+01	2.273582e-04	6.644038e-06	6.644038e-06
2.000000e+01	2.100000e+01	2.774507e-04	7.339556e-06	7.339556e-06
2.100000e+01	2.200000e+01	3.178355e-04	7.855575e-06	7.855575e-06
2.200000e+01	2.300000e+01	3.731703e-04	8.511975e-06	8.511975e-06
2.300000e+01	2.400000e+01	4.133608e-04	8.958628e-06	8.958628e-06
2.400000e+01	2.500000e+01	4.543280e-04	9.392076e-06	9.392076e-06
2.500000e+01	2.600000e+01	5.094687e-04	9.945705e-06	9.945705e-06
2.600000e+01	2.700000e+01	5.574255e-04	1.040328e-05	1.040328e-05
2.700000e+01	2.800000e+01	5.950920e-04	1.074902e-05	1.074902e-05
2.800000e+01	2.900000e+01	6.358651e-04	1.111116e-05	1.111116e-05
2.900000e+01	3.000000e+01	6.735316e-04	1.143552e-05	1.143552e-05
3.000000e+01	3.100000e+01	7.203235e-04	1.182607e-05	1.182607e-05
3.100000e+01	3.200000e+01	7.438165e-04	1.201738e-05	1.201738e-05
3.200000e+01	3.300000e+01	7.906084e-04	1.238961e-05	1.238961e-05
