# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lm_Recoil[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.242245e-05	7.133793e-06	7.133793e-06
2.000000e-01	4.000000e-01	1.514426e-04	1.212512e-05	1.212512e-05
4.000000e-01	6.000000e-01	3.902561e-04	1.946420e-05	1.946420e-05
6.000000e-01	8.000000e-01	7.601255e-04	2.716468e-05	2.716468e-05
8.000000e-01	1.000000e+00	2.712377e-03	5.131411e-05	5.131411e-05
1.000000e+00	1.200000e+00	9.275865e-03	9.489406e-05	9.489406e-05
1.200000e+00	1.400000e+00	1.987782e-02	1.389141e-04	1.389141e-04
1.400000e+00	1.600000e+00	3.260483e-02	1.779110e-04	1.779110e-04
1.600000e+00	1.800000e+00	4.583956e-02	2.109512e-04	2.109512e-04
1.800000e+00	2.000000e+00	5.981595e-02	2.409741e-04	2.409741e-04
2.000000e+00	2.200000e+00	7.493210e-02	2.697092e-04	2.697092e-04
2.200000e+00	2.400000e+00	8.979095e-02	2.952420e-04	2.952420e-04
2.400000e+00	2.600000e+00	1.047721e-01	3.189222e-04	3.189222e-04
2.600000e+00	2.800000e+00	1.180981e-01	3.385971e-04	3.385971e-04
2.800000e+00	3.000000e+00	1.191980e-01	3.401703e-04	3.401703e-04
3.000000e+00	3.200000e+00	9.788340e-02	3.082594e-04	3.082594e-04
3.200000e+00	3.400000e+00	5.242440e-02	2.255945e-04	2.255945e-04
3.400000e+00	3.600000e+00	3.171073e-02	1.754547e-04	1.754547e-04
3.600000e+00	3.800000e+00	2.046612e-02	1.409547e-04	1.409547e-04
3.800000e+00	4.000000e+00	1.311726e-02	1.128453e-04	1.128453e-04
4.000000e+00	4.200000e+00	8.354585e-03	9.005843e-05	9.005843e-05
4.200000e+00	4.400000e+00	5.270400e-03	7.152924e-05	7.152924e-05
4.400000e+00	4.600000e+00	3.336593e-03	5.691325e-05	5.691325e-05
4.600000e+00	4.800000e+00	2.097869e-03	4.512852e-05	4.512852e-05
4.800000e+00	5.000000e+00	1.193096e-03	3.403295e-05	3.403295e-05
5.000000e+00	5.200000e+00	7.814830e-04	2.754366e-05	2.754366e-05
5.200000e+00	5.400000e+00	4.582111e-04	2.109088e-05	2.109088e-05
