# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_dR_lp_Recoil[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	5.921795e-05	7.582084e-06	7.582084e-06
2.000000e-01	4.000000e-01	1.737707e-04	1.298824e-05	1.298824e-05
4.000000e-01	6.000000e-01	3.601618e-04	1.869866e-05	1.869866e-05
6.000000e-01	8.000000e-01	8.125480e-04	2.808577e-05	2.808577e-05
8.000000e-01	1.000000e+00	2.625007e-03	5.048089e-05	5.048089e-05
1.000000e+00	1.200000e+00	9.032195e-03	9.363937e-05	9.363937e-05
1.200000e+00	1.400000e+00	2.009722e-02	1.396786e-04	1.396786e-04
1.400000e+00	1.600000e+00	3.263201e-02	1.779851e-04	1.779851e-04
1.600000e+00	1.800000e+00	4.651038e-02	2.124891e-04	2.124891e-04
1.800000e+00	2.000000e+00	5.996255e-02	2.412692e-04	2.412692e-04
2.000000e+00	2.200000e+00	7.470590e-02	2.693018e-04	2.693018e-04
2.200000e+00	2.400000e+00	8.946380e-02	2.947036e-04	2.947036e-04
2.400000e+00	2.600000e+00	1.042547e-01	3.181337e-04	3.181337e-04
2.600000e+00	2.800000e+00	1.182680e-01	3.388406e-04	3.388406e-04
2.800000e+00	3.000000e+00	1.190795e-01	3.400012e-04	3.400012e-04
3.000000e+00	3.200000e+00	9.788825e-02	3.082671e-04	3.082671e-04
3.200000e+00	3.400000e+00	5.260980e-02	2.259931e-04	2.259931e-04
3.400000e+00	3.600000e+00	3.189130e-02	1.759535e-04	1.759535e-04
3.600000e+00	3.800000e+00	2.067193e-02	1.416616e-04	1.416616e-04
3.800000e+00	4.000000e+00	1.298621e-02	1.122802e-04	1.122802e-04
4.000000e+00	4.200000e+00	8.470110e-03	9.067893e-05	9.067893e-05
4.200000e+00	4.400000e+00	5.219920e-03	7.118585e-05	7.118585e-05
4.400000e+00	4.600000e+00	3.241456e-03	5.609599e-05	5.609599e-05
4.600000e+00	4.800000e+00	2.002732e-03	4.409337e-05	4.409337e-05
4.800000e+00	5.000000e+00	1.164943e-03	3.362902e-05	3.362902e-05
5.000000e+00	5.200000e+00	7.484765e-04	2.695571e-05	2.695571e-05
5.200000e+00	5.400000e+00	4.514156e-04	2.093390e-05	2.093390e-05
5.400000e+00	5.600000e+00	2.912359e-04	1.681451e-05	1.681451e-05
5.600000e+00	5.800000e+00	1.805662e-04	1.323976e-05	1.323976e-05
5.800000e+00	6.000000e+00	1.213483e-04	1.085372e-05	1.085372e-05
6.000000e+00	6.200000e+00	1.029033e-04	9.994857e-06	9.994857e-06
6.200000e+00	6.400000e+00	5.630560e-05	7.393289e-06	7.393289e-06
6.400000e+00	6.600000e+00	3.203595e-05	5.576744e-06	5.576744e-06
6.600000e+00	6.800000e+00	3.009437e-05	5.405109e-06	5.405109e-06
6.800000e+00	7.000000e+00	1.553258e-05	3.883145e-06	3.883145e-06
7.000000e+00	7.200000e+00	3.883145e-06	1.941573e-06	1.941573e-06
7.200000e+00	7.400000e+00	7.766290e-06	2.745799e-06	2.745799e-06
7.400000e+00	7.600000e+00	4.853932e-06	2.170744e-06	2.170744e-06
7.600000e+00	7.800000e+00	9.707865e-07	9.707864e-07	9.707864e-07
7.800000e+00	8.000000e+00	9.707865e-07	9.707864e-07	9.707864e-07
8.000000e+00	8.200000e+00	2.912359e-06	1.681451e-06	1.681451e-06
8.200000e+00	8.400000e+00	1.941572e-06	1.372899e-06	1.372899e-06
8.400000e+00	8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
8.600000e+00	8.800000e+00	9.707865e-07	9.707864e-07	9.707864e-07
8.800000e+00	9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.000000e+00	9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.200000e+00	9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.400000e+00	9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.600000e+00	9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.800000e+00	1.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+01	1.020000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.020000e+01	1.040000e+01	9.707865e-07	9.707864e-07	9.707864e-07
1.040000e+01	1.060000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060000e+01	1.080000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.080000e+01	1.100000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.100000e+01	1.120000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.120000e+01	1.140000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.140000e+01	1.160000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.160000e+01	1.180000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.180000e+01	1.200000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.200000e+01	1.220000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.220000e+01	1.240000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.240000e+01	1.260000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.260000e+01	1.280000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.280000e+01	1.300000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.300000e+01	1.320000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.320000e+01	1.340000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.340000e+01	1.360000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.360000e+01	1.380000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.380000e+01	1.400000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.420000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.420000e+01	1.440000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.440000e+01	1.460000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.460000e+01	1.480000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.480000e+01	1.500000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.520000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.520000e+01	1.540000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.540000e+01	1.560000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.560000e+01	1.580000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.580000e+01	1.600000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.620000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.620000e+01	1.640000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.640000e+01	1.660000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.660000e+01	1.680000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.680000e+01	1.700000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.720000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720000e+01	1.740000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.740000e+01	1.760000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.760000e+01	1.780000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.780000e+01	1.800000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.800000e+01	1.820000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.820000e+01	1.840000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.840000e+01	1.860000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.860000e+01	1.880000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.880000e+01	1.900000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.900000e+01	1.920000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.920000e+01	1.940000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.940000e+01	1.960000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.960000e+01	1.980000e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.980000e+01	2.000000e+01	0.000000e+00	0.000000e+00	0.000000e+00
