# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mLSPmax[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.184359e-04	4.795331e-06	4.795331e-06
1.000000e+00	2.000000e+00	4.830633e-04	9.684537e-06	9.684537e-06
2.000000e+00	3.000000e+00	7.791531e-04	1.229952e-05	1.229952e-05
3.000000e+00	4.000000e+00	1.108638e-03	1.467140e-05	1.467140e-05
4.000000e+00	5.000000e+00	1.398127e-03	1.647593e-05	1.647593e-05
5.000000e+00	6.000000e+00	1.741591e-03	1.838865e-05	1.838865e-05
6.000000e+00	7.000000e+00	2.052825e-03	1.996424e-05	1.996424e-05
7.000000e+00	8.000000e+00	2.406968e-03	2.161782e-05	2.161782e-05
8.000000e+00	9.000000e+00	2.807708e-03	2.334817e-05	2.334817e-05
9.000000e+00	1.000000e+01	3.166899e-03	2.479670e-05	2.479670e-05
1.000000e+01	1.100000e+01	3.592492e-03	2.641038e-05	2.641038e-05
1.100000e+01	1.200000e+01	3.939063e-03	2.765498e-05	2.765498e-05
1.200000e+01	1.300000e+01	4.366985e-03	2.911841e-05	2.911841e-05
1.300000e+01	1.400000e+01	4.774327e-03	3.044619e-05	3.044619e-05
1.400000e+01	1.500000e+01	5.260885e-03	3.195996e-05	3.195996e-05
1.500000e+01	1.600000e+01	5.559111e-03	3.285334e-05	3.285334e-05
1.600000e+01	1.700000e+01	5.604155e-03	3.298618e-05	3.298618e-05
1.700000e+01	1.800000e+01	5.536589e-03	3.278672e-05	3.278672e-05
1.800000e+01	1.900000e+01	5.444752e-03	3.251366e-05	3.251366e-05
1.900000e+01	2.000000e+01	5.399125e-03	3.237714e-05	3.237714e-05
2.000000e+01	2.100000e+01	5.242440e-03	3.190389e-05	3.190389e-05
2.100000e+01	2.200000e+01	5.072359e-03	3.138209e-05	3.138209e-05
2.200000e+01	2.300000e+01	4.917809e-03	3.090030e-05	3.090030e-05
2.300000e+01	2.400000e+01	4.724235e-03	3.028604e-05	3.028604e-05
2.400000e+01	2.500000e+01	4.580170e-03	2.982069e-05	2.982069e-05
2.500000e+01	2.600000e+01	4.394361e-03	2.920954e-05	2.920954e-05
2.600000e+01	2.700000e+01	4.226610e-03	2.864659e-05	2.864659e-05
2.700000e+01	2.800000e+01	4.039830e-03	2.800647e-05	2.800647e-05
2.800000e+01	2.900000e+01	3.857128e-03	2.736585e-05	2.736585e-05
2.900000e+01	3.000000e+01	3.659865e-03	2.665688e-05	2.665688e-05
3.000000e+01	3.100000e+01	3.504150e-03	2.608364e-05	2.608364e-05
3.100000e+01	3.200000e+01	3.332321e-03	2.543608e-05	2.543608e-05
3.200000e+01	3.300000e+01	3.177190e-03	2.483696e-05	2.483696e-05
3.300000e+01	3.400000e+01	3.051764e-03	2.434178e-05	2.434178e-05
3.400000e+01	3.500000e+01	2.919349e-03	2.380783e-05	2.380783e-05
3.500000e+01	3.600000e+01	2.776643e-03	2.321864e-05	2.321864e-05
3.600000e+01	3.700000e+01	2.681312e-03	2.281658e-05	2.281658e-05
3.700000e+01	3.800000e+01	2.512978e-03	2.208875e-05	2.208875e-05
3.800000e+01	3.900000e+01	2.409492e-03	2.162915e-05	2.162915e-05
3.900000e+01	4.000000e+01	2.253972e-03	2.091949e-05	2.091949e-05
4.000000e+01	4.100000e+01	2.146214e-03	2.041331e-05	2.041331e-05
4.100000e+01	4.200000e+01	2.060979e-03	2.000385e-05	2.000385e-05
4.200000e+01	4.300000e+01	1.948562e-03	1.945064e-05	1.945064e-05
4.300000e+01	4.400000e+01	1.835369e-03	1.887724e-05	1.887724e-05
4.400000e+01	4.500000e+01	1.734601e-03	1.835171e-05	1.835171e-05
4.500000e+01	4.600000e+01	1.702177e-03	1.817938e-05	1.817938e-05
4.600000e+01	4.700000e+01	1.607428e-03	1.766618e-05	1.766618e-05
4.700000e+01	4.800000e+01	1.533066e-03	1.725271e-05	1.725271e-05
4.800000e+01	4.900000e+01	1.464917e-03	1.686488e-05	1.686488e-05
4.900000e+01	5.000000e+01	1.368420e-03	1.629996e-05	1.629996e-05
5.000000e+01	5.100000e+01	1.313280e-03	1.596818e-05	1.596818e-05
5.100000e+01	5.200000e+01	1.266682e-03	1.568233e-05	1.568233e-05
5.200000e+01	5.300000e+01	1.217172e-03	1.537279e-05	1.537279e-05
5.300000e+01	5.400000e+01	1.123006e-03	1.476617e-05	1.476617e-05
5.400000e+01	5.500000e+01	1.103202e-03	1.463539e-05	1.463539e-05
