# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCLSP[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
1.000000e+00	2.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
2.000000e+00	3.000000e+00	9.707863e-07	4.341488e-07	4.341488e-07
3.000000e+00	4.000000e+00	9.707863e-07	4.341488e-07	4.341488e-07
4.000000e+00	5.000000e+00	1.941573e-06	6.139792e-07	6.139792e-07
5.000000e+00	6.000000e+00	2.329887e-06	6.725805e-07	6.725805e-07
6.000000e+00	7.000000e+00	2.912359e-06	7.519679e-07	7.519679e-07
7.000000e+00	8.000000e+00	3.300674e-06	8.005309e-07	8.005309e-07
8.000000e+00	9.000000e+00	3.494831e-06	8.237395e-07	8.237395e-07
9.000000e+00	1.000000e+01	2.718202e-06	7.264700e-07	7.264700e-07
1.000000e+01	1.100000e+01	2.912359e-06	7.519679e-07	7.519679e-07
1.100000e+01	1.200000e+01	4.659774e-06	9.511725e-07	9.511725e-07
1.200000e+01	1.300000e+01	4.659774e-06	9.511725e-07	9.511725e-07
1.300000e+01	1.400000e+01	4.465617e-06	9.311455e-07	9.311455e-07
1.400000e+01	1.500000e+01	3.494831e-06	8.237395e-07	8.237395e-07
1.500000e+01	1.600000e+01	5.630561e-06	1.045569e-06	1.045569e-06
1.600000e+01	1.700000e+01	7.377976e-06	1.196866e-06	1.196866e-06
1.700000e+01	1.800000e+01	7.960448e-06	1.243213e-06	1.243213e-06
1.800000e+01	1.900000e+01	6.407190e-06	1.115349e-06	1.115349e-06
1.900000e+01	2.000000e+01	6.795504e-06	1.148650e-06	1.148650e-06
2.000000e+01	2.100000e+01	9.125392e-06	1.331075e-06	1.331075e-06
2.100000e+01	2.200000e+01	9.513706e-06	1.359101e-06	1.359101e-06
2.200000e+01	2.300000e+01	1.087281e-05	1.452940e-06	1.452940e-06
2.300000e+01	2.400000e+01	1.029034e-05	1.413486e-06	1.413486e-06
2.400000e+01	2.500000e+01	1.300854e-05	1.589246e-06	1.589246e-06
2.500000e+01	2.600000e+01	1.048449e-05	1.426759e-06	1.426759e-06
2.600000e+01	2.700000e+01	1.359101e-05	1.624436e-06	1.624436e-06
2.700000e+01	2.800000e+01	1.320269e-05	1.601062e-06	1.601062e-06
2.800000e+01	2.900000e+01	1.397932e-05	1.647479e-06	1.647479e-06
2.900000e+01	3.000000e+01	1.960988e-05	1.951257e-06	1.951257e-06
3.000000e+01	3.100000e+01	1.689168e-05	1.810978e-06	1.810978e-06
3.100000e+01	3.200000e+01	1.902741e-05	1.922059e-06	1.922059e-06
3.200000e+01	3.300000e+01	1.747415e-05	1.841938e-06	1.841938e-06
3.300000e+01	3.400000e+01	2.116314e-05	2.027061e-06	2.027061e-06
3.400000e+01	3.500000e+01	2.329887e-05	2.126886e-06	2.126886e-06
3.500000e+01	3.600000e+01	2.349303e-05	2.135730e-06	2.135730e-06
3.600000e+01	3.700000e+01	2.776449e-05	2.321783e-06	2.321783e-06
3.700000e+01	3.800000e+01	2.854112e-05	2.354032e-06	2.354032e-06
3.800000e+01	3.900000e+01	3.339505e-05	2.546349e-06	2.546349e-06
3.900000e+01	4.000000e+01	3.281258e-05	2.524045e-06	2.524045e-06
4.000000e+01	4.100000e+01	3.514247e-05	2.612119e-06	2.612119e-06
4.100000e+01	4.200000e+01	4.271460e-05	2.879818e-06	2.879818e-06
4.200000e+01	4.300000e+01	4.407370e-05	2.925274e-06	2.925274e-06
4.300000e+01	4.400000e+01	4.640359e-05	3.001599e-06	3.001599e-06
4.400000e+01	4.500000e+01	5.785887e-05	3.351674e-06	3.351674e-06
4.500000e+01	4.600000e+01	5.591729e-05	3.294958e-06	3.294958e-06
