# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax[Weight_MERGING=0.000] //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax
LegendOnly=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax
RatioPlot=1
RatioPlotReference=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax[Weight_MERGING=0.000]
LineColor=red!30
LineStyle=solid
Path=//Users/zhupengxuan/Buding/mRC-variables/WW.yoda/CEPC_SMUON/hist_mRCmax[Weight_MERGING=0.000]
ScaledBy=1.00000000000000000e+00
Title=WW
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
1.000000e+00	2.000000e+00	1.941573e-07	1.941573e-07	1.941573e-07
2.000000e+00	3.000000e+00	3.883145e-07	2.745798e-07	2.745798e-07
3.000000e+00	4.000000e+00	7.766291e-07	3.883146e-07	3.883146e-07
4.000000e+00	5.000000e+00	1.164944e-06	4.755863e-07	4.755863e-07
5.000000e+00	6.000000e+00	1.359101e-06	5.136918e-07	5.136918e-07
6.000000e+00	7.000000e+00	1.359101e-06	5.136918e-07	5.136918e-07
7.000000e+00	8.000000e+00	2.329887e-06	6.725805e-07	6.725805e-07
8.000000e+00	9.000000e+00	2.718202e-06	7.264700e-07	7.264700e-07
9.000000e+00	1.000000e+01	2.912359e-06	7.519679e-07	7.519679e-07
1.000000e+01	1.100000e+01	3.106516e-06	7.766291e-07	7.766291e-07
1.100000e+01	1.200000e+01	2.912359e-06	7.519679e-07	7.519679e-07
1.200000e+01	1.300000e+01	2.912359e-06	7.519679e-07	7.519679e-07
1.300000e+01	1.400000e+01	2.135730e-06	6.439468e-07	6.439468e-07
1.400000e+01	1.500000e+01	3.688988e-06	8.463119e-07	8.463119e-07
1.500000e+01	1.600000e+01	4.465617e-06	9.311455e-07	9.311455e-07
1.600000e+01	1.700000e+01	3.106516e-06	7.766291e-07	7.766291e-07
1.700000e+01	1.800000e+01	2.329887e-06	6.725805e-07	6.725805e-07
1.800000e+01	1.900000e+01	3.688988e-06	8.463119e-07	8.463119e-07
1.900000e+01	2.000000e+01	5.048089e-06	9.900117e-07	9.900117e-07
2.000000e+01	2.100000e+01	6.795504e-06	1.148650e-06	1.148650e-06
2.100000e+01	2.200000e+01	6.795504e-06	1.148650e-06	1.148650e-06
2.200000e+01	2.300000e+01	5.048089e-06	9.900117e-07	9.900117e-07
2.300000e+01	2.400000e+01	6.018875e-06	1.081022e-06	1.081022e-06
2.400000e+01	2.500000e+01	6.795504e-06	1.148650e-06	1.148650e-06
2.500000e+01	2.600000e+01	7.572134e-06	1.212512e-06	1.212512e-06
2.600000e+01	2.700000e+01	8.154605e-06	1.258283e-06	1.258283e-06
2.700000e+01	2.800000e+01	9.125392e-06	1.331075e-06	1.331075e-06
2.800000e+01	2.900000e+01	9.902021e-06	1.386560e-06	1.386560e-06
2.900000e+01	3.000000e+01	1.048449e-05	1.426759e-06	1.426759e-06
3.000000e+01	3.100000e+01	9.319549e-06	1.345161e-06	1.345161e-06
3.100000e+01	3.200000e+01	1.106696e-05	1.465855e-06	1.465855e-06
3.200000e+01	3.300000e+01	1.048449e-05	1.426759e-06	1.426759e-06
3.300000e+01	3.400000e+01	1.009618e-05	1.400088e-06	1.400088e-06
3.400000e+01	3.500000e+01	1.203775e-05	1.528796e-06	1.528796e-06
3.500000e+01	3.600000e+01	1.630921e-05	1.779481e-06	1.779481e-06
3.600000e+01	3.700000e+01	1.262022e-05	1.565346e-06	1.565346e-06
3.700000e+01	3.800000e+01	1.475595e-05	1.692624e-06	1.692624e-06
3.800000e+01	3.900000e+01	1.747415e-05	1.841938e-06	1.841938e-06
3.900000e+01	4.000000e+01	1.592090e-05	1.758169e-06	1.758169e-06
4.000000e+01	4.100000e+01	1.533842e-05	1.725708e-06	1.725708e-06
4.100000e+01	4.200000e+01	2.077483e-05	2.008378e-06	2.008378e-06
4.200000e+01	4.300000e+01	1.844494e-05	1.892411e-06	1.892411e-06
4.300000e+01	4.400000e+01	2.116314e-05	2.027061e-06	2.027061e-06
4.400000e+01	4.500000e+01	2.368719e-05	2.144537e-06	2.144537e-06
4.500000e+01	4.600000e+01	2.291056e-05	2.109088e-06	2.109088e-06
